№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
213	Государственное бюджетное учреждение культуры города Москвы «ЦБС №2 СВАО»	129344, г.Москва, ул. Верхоянская, д.6 корп.1	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
214	Библиотека №5	129337, г.Москва, Ярославское ш., д.6 копр.1	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
215	Библиотека №49	129336, г.Москва, ул. Челюскинская, д.2	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
216	Библиотека №50	129128, г.Москва, пр-т Мира, д.198 корп.2	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
217	Библиотека №52	129344, г.Москва, ул. Коминтерна, д.6	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
218	Библиотека №86	129323, г.Москва, ул. Седова, д.3	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
219	Библиотека №96	129346, г.Москва, Анадырский пр-д, д.39 корп.2	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
220	Центральная библиотека №110	129344, г.Москва, ул. Верхоянская, д.6 корп.1	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
221	Библиотека №165	129164, г.Москва, ул. Кибальчича, д.4/6	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
222	Библиотека №218	129281, г.Москва, ул. Менжинского, д.26 корп.2	Северо-Восточный АО	Бабушкинский	129344, г.Москва, ул. Верхоянская, д.6 корп.1	(495) 470-42-47, (495) 470-03-10	(495) 470-42-47	biblioterra.ru	lib110@yandex.ru
223	Государственное бюджетное учреждение культуры города Москвы «ЦБС №3 СВАО»	129626, г.Москва, ул. Новоалексеевская, д.1	Северо-Восточный АО	Алексеевский	127254, г.Москва, ул. Руставели д.13/12 стр.2	(495) 687-75-71, (495) 687-74-44	(495) 687-74-44		lib94@mail.ru
224	Детская библиотека №47	129075, г.Москва, ул. Аргуновская, д.14 стр.2	Северо-Восточный АО	Алексеевский	127254, г.Москва, ул. Руставели д.13/12 стр.2	(495) 687-75-71, (495) 687-74-44	(495) 687-74-44		lib94@mail.ru
225	Центральная библиотека №94 им.М.Горького	129626, г.Москва, ул. Новоалексеевская, д.1	Северо-Восточный АО	Алексеевский	127254, г.Москва, ул. Руставели д.13/12 стр.2	(495) 687-75-71, (495) 687-74-44	(495) 687-74-44		lib94@mail.ru
226	Библиотека №97 им. О.Мандельштама	129515, г.Москва, Звездный б-р, д.4	Северо-Восточный АО	Алексеевский	127254, г.Москва, ул. Руставели д.13/12 стр.2	(495) 687-75-71, (495) 687-74-44	(495) 687-74-44		lib94@mail.ru
227	Библиотека №187 им. П.Неруды	129366, г.Москва, пр-т Мира, д.180	Северо-Восточный АО	Алексеевский	127254, г.Москва, ул. Руставели д.13/12 стр.2	(495) 687-75-71, (495) 687-74-44	(495) 687-74-44		lib94@mail.ru
228	Библиотека №129	111396, г.Москва, Свободный пр-т, д.24	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
229	Библиотека №130	111672, г.Москва, ул. Новокосинская, д.38 корп.2	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
230	Библиотека №162 им. И.Бабеля	111558, г.Москва, Зеленый пр-т, д.87 корп.1	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
231	Государственное бюджетное учреждение культуры города Москвы «ЦБС №4 ВАО»	107014, г.Москва, ул. Барболина, д.6	Восточный АО	Сокольники	107014, г.Москва, ул. Барболина, д.6	(499) 748-07-30	(499) 748-07-30		cbs4vao@mail.ru
232	Библиотека №53 им. И.А. Крылова	107113, г.Москва, ул. Сокольническая слободка, д.14/18	Восточный АО	Сокольники	107014, г.Москва, ул. Барболина, д.6	(499) 748-07-30	(499) 748-07-30		cbs4vao@mail.ru
233	Библиотека №54	107014, г.Москва, ул. Короленко, д.2/23 корп.4	Восточный АО	Сокольники	107014, г.Москва, ул. Барболина, д.6	(499) 748-07-30	(499) 748-07-30		cbs4vao@mail.ru
234	Центральная библиотека №102 им. М.Ю. Лермонтова	107014, г.Москва, ул. Барболина, д.6	Восточный АО	Сокольники	107014, г.Москва, ул. Барболина, д.6	(499) 748-07-30	(499) 748-07-30		cbs4vao@mail.ru
235	Библиотека №108	107113, г.Москва, ул. Шумкина, д.17/16	Восточный АО	Сокольники	107014, г.Москва, ул. Барболина, д.6	(499) 748-07-30	(499) 748-07-30		cbs4vao@mail.ru
236	Государственное бюджетное учреждение культуры города Москвы «Юношеская библиотека №214 ВАО»	111531, г.Москва, ул. Саянская, д.7а	Восточный АО	Ивановское	111141, г.Москва, ул. Зеленный пр-т, д.7а	(495) 307-86-05	(495) 307-86-05, (495) 918-84-81		biblioteka126@mail.ru
237	Библиотека №67 юношеская	107077, г.Москва, ул. 11-я Парковая, д.21	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs2vao@cumail.ru
238	Государственное бюджетное учреждение культуры города Москвы «ЦБС №1 ВАО»	107392, г.Москва, ул. Халтуринская, д.18	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
239	Детская библиотека №55	107150, г.Москва, ул. Ивантеевская, д.4., корп .2	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
240	Библиотека №57	107497, г.Москва, ул. Хабаровская, д.3	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
241	Детская библиотека №16	109507, г.Москва, Ферганский пр-д, д.3 корп.3	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
242	Детская библиотека №77	109428, г.Москва, ул. Шатурская, д.49 корп.1	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
243	Детская библиотека №79	109428, г.Москва, ул. 3-я Институтская, д.15	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
244	Библиотека №84	109125, г.Москва, Волгоградский пр-т, д.91	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
245	Детская библиотека №121	109444, г.Москва, ул. Ташкентская, д.18 корп.1	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
246	Библиотека №131	109202, г.Москва, Перовское ш., д.16/2	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
247	Детская библиотека №132	109457, г.Москва, ул. Жигулевская, д.6 корп.2	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
248	Библиотека №142	109378, г.Москва, ул. Федора Полетаева, д.28	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
249	Библиотека №143	109456, г.Москва, ул. Яснополянская, д.3 корп.2	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
250	Библиотека №210 семейного чтения	111674, г.Москва, ул. 2-я Вольская, д.20	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
251	Библиотека №213	109444, г.Москва, ул. Ташкентская, д.18 корп.1	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
252	Библиотека №19	109428, г.Москва, ул. Зарайская, д.56а	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
253	Библиотека №222 семейного чтения	109542, г.Москва, Рязанский пр-т, д.95 корп.2	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
254	Государственное бюджетное учреждение культуры города Москвы «ЦБС «Лефортово»	111024, г.Москва, Энтузиастов ш., д.20	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
255	Библиотека №10	109052, г.Москва, ул. Верхняя Хохловка, д.39/47	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
256	Юношеская библиотека №16 им.А.Грина	109033, г.Москва, ул. Волочаевская, д.14а	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
257	Библиотека №17	109193, г.Москва, ул. Сайкина, д.9/1	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
258	Библиотека №69	109052, г.Москва, ул. Нижегородская, д.70 корп.1	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
259	Библиотека №72	111020, г.Москва, ул. Сторожевая, д.22 корп.1	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
260	Библиотека №73	111250, г.Москва, ул. Красноказарменная, д.10	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
261	Центральная детская библиотека №85	109432, г.Москва, ул. Трофимова, д.15	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
262	Библиотека №87	111024, г.Москва, ш. Энтузиастов ш., д.24/43	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
263	Центральная библиотека №122	111024, г.Москва, ш. Энтузиастов, д.20	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
264	Библиотека №124	111020, г.Москва, ул. Ухтомская, д.21	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
265	Библиотека №125	111250, г.Москва, ул. Энергетическая, д.4	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
266	Библиотека №136	109052, г.Москва, пос. Рогожский, д.5	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
267	Библиотека №147	109088, г.Москва, ул. Велозаводская, д.11/1	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
268	Библиотека №149	109193, г.Москва, ул. Петра Романова, д.6	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
269	Библиотека №153	109432, г.Москва, ул. Трофимова, д.29	Юго-Восточный АО	Лефортово	111024, г.Москва, Энтузиастов ш., д.20	(495) 361-66-83, (495) 362-28-42	(499) 763-52-16	cbslefort.ru	cbs@cbslefort.ru
270	Государственное бюджетное учреждение культуры города Москвы «ЦБС «Люблино»	109263, г.Москва, ул. Чистова, д.15/15	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
271	Библиотека семейного чтения №30	109369, г.Москва, ул. Перерва, д.56/2	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
272	Детская библиотека №31	109451, г.Москва, ул. Братиславская, д.19 корп.1	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
273	Библиотека №32	109382, г.Москва, ул. Краснодарская, д.20/1	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
274	Библиотека №33	109469, г.Москва, ул. Братиславская, д.26	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
275	Центральная библиотека №239	119619, г.Москва, ул. Авиаторов, д.7	Западный АО	Солнцево	119619, г.Москва, ул. Авиаторов, д.7	(495) 439-54-29	(495) 439-54-29	cbs-solncevo.ru	art-solncevo@yandex.ru
276	Библиотека №240	119634, г.Москва, ул. Лукинская, д.11	Западный АО	Солнцево	119619, г.Москва, ул. Авиаторов, д.7	(495) 439-54-29	(495) 439-54-29	cbs-solncevo.ru	art-solncevo@yandex.ru
277	Библиотека №241	119620, г.Москва, Солнцевский пр-т, д.30	Западный АО	Солнцево	119619, г.Москва, ул. Авиаторов, д.7	(495) 439-54-29	(495) 439-54-29	cbs-solncevo.ru	art-solncevo@yandex.ru
278	Библиотека №242	119619, г.Москва, ул. Производственная, д.5	Западный АО	Солнцево	119619, г.Москва, ул. Авиаторов, д.7	(495) 439-54-29	(495) 439-54-29	cbs-solncevo.ru	art-solncevo@yandex.ru
279	Библиотека №243	119634, г.Москва, Боровское ш., д.33 корп.1	Западный АО	Солнцево	119619, г.Москва, ул. Авиаторов, д.7	(495) 439-54-29	(495) 439-54-29	cbs-solncevo.ru	art-solncevo@yandex.ru
280	Детская библиотека №243	119633, г.Москва, ул. Ново-Переделкинская, д.8	Западный АО	Солнцево	119619, г.Москва, ул. Авиаторов, д.7	(495) 439-54-29	(495) 439-54-29	cbs-solncevo.ru	art-solncevo@yandex.ru
281	Центральная библиотека №42, ОГБ	109382, г.Москва, ул. Краснодонская, д.24	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
282	Центральная детская библиотека №80	109129, г.Москва, ул. 8-я Текстильщиков, д.14	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
283	Детская библиотека №81	109125, г.Москва, ул. Саратовская, д.18/10	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
284	Детская библиотека №82	109382, г.Москва, ул. Краснодарская, д.20/1	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
285	Детская библиотека №127	109369, г.Москва, ул. Перерва, д.24	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
286	Библиотека №133	109388, г.Москва, ул. Шоссейная, д.50	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
287	Библиотека №137	109518, г.Москва, ул. Саратовская, д.1 корп.2	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
288	Библиотека №139	109235, г.Москва, ул. Батюнинская, д.14	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
289	Библиотека №140	109559, г.Москва, Тихорецкий б-р, д.12 корп.1	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
290	Детская библиотека №142	109388, г.Москва, ул. Шоссейная, д.50	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
291	Библиотека №151	109649, г.Москва, 5-й квартал Капотни, д.17	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
292	Библиотека №152	109651, г.Москва, ул. Донецкая, д.33	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
293	Детская библиотека №162	109429, г.Москва, 3-й квартал Капотни, д.13	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
294	Библиотека №181	109651, г.Москва, ул. Донецкая, д.23	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
295	Библиотека №232	109387, г.Москва, ул. Кубанская, д.16/2	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
296	Государственное бюджетное учреждение культуры города Москвы «ЦБС №1 ЮАО»	115201, г.Москва, Каширское ш., д.16	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
297	Библиотека №83	115582, г.Москва, ул. Домодедовская, д.44	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
298	Библиотека №89	115516, г.Москва, ул. Севанская, д.13 корп.1	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
299	Библиотека №101	115583, г.Москва, ул. Воронежская, д.10	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
300	Библиотека №102	115404, г.Москва, ул. Касимовская, д.21	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
301	Библиотека №109	115682, г.Москва, Задонский пр-д, д.24 корп.3	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
302	Библиотека №119	115304, г.Москва, ул. Медиков, д.22 корп.3	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
303	Библиотека №130	115597, г.Москва, Гурьевский пр-д, д.15 корп.2	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
304	Библиотека №137	115551, г.Москва, ул. Домодедовская, д.1 корп.1	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
305	Библиотека №143	115573, г.Москва, ул. Мусы Джалиля, д.34 корп.3	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
306	Библиотека №146	115201, г.Москва, Каширское ш., д.16	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
307		115487, г.Москва, Коломенский пр-д, д.21	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
308	Библиотека №154	115304, г.Москва, ул. Каспийская, д.20 корп.2	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
309	Библиотека №155	115404, г.Москва, ул. Липецкая, д.10 корп.1	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
310	Библиотека №158	115598, г.Москвы, ул. Лебедянская, д.24 корп.2	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
311	Библиотека №159	115551, г.Москва, ул. Домодедовская, д.11 корп.1	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
312	Библиотека №160	115547, г.Москва, Михневский пр-д, д.8 стр.2а	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
313	Библиотека №164	115573, г.Москва, Ореховый б-р, д.37 корп.2	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
314	Библиотека №205	115516, г.Москва, ул. Бакинская, д.15	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
315	Библиотека №258	115211, г.Москва, ул. Борисовские пруды, д.10 корп.5	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
316	Библиотека №259	115612, г.Москва, ул. Ключевая, д.10 корп.2	Южный АО	Нагатино-Садовники	115201, г.Москва, Каширское ш., д.16	(499) 613-39-96, (499) 612-25-63	(499) 612-72-98	tolstovka infograd.ru	ekarimova@inbox.ru
317	Государственное бюджетное учреждение культуры города Москвы «ЦБС №2 ЮАО»	115556, г.Москва, Чонгарский б-р, д.10 корп.2	Южный АО	Царицыно	115556, г.Москва, Чонгарский б-р, д.10 корп.2	(499) 610-29-00, (499) 610-08-24	(499) 610-29-00	cbs2uao.ru	cbs2uao@yandex.ru
318	Библиотека №1	117648, г.Москва, мкр. Северное Чертаново, д.2 корп.207	Южный АО	Царицыно	115556, г.Москва, Чонгарский б-р, д.10 корп.2	(499) 610-29-00, (499) 610-08-24	(499) 610-29-00	cbs2uao.ru	cbs2uao@cumail.ru
319	Библиотека №4	117534, г.Москва, ул. Кировоградская, д.44 корп.2	Южный АО	Царицыно	115556, г.Москва, Чонгарский б-р, д.10 корп.2	(499) 610-29-00, (499) 610-08-24	(499) 610-29-00	cbs2uao.ru	cbs2uao@yandex.ru
320	Библиотека №92, ИИЦ семейного чтения и досуга	117152, г.Москва, Загородное ш., д.9 корп.1	Южный АО	Царицыно	115556, г.Москва, Чонгарский б-р, д.10 корп.2	(499) 610-29-00, (499) 610-08-24	(499) 610-29-00	cbs2uao.ru	cbs2uao@yandex.ru
