№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
181	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета». Клуб «Мозаика»	119361, г.Москва, ул. Наташи Ковшовой, д.5/2	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
182	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета». ДК «Гагаринец»	119517, г.Москва, ул. Матвеевская, д.18 корп.1	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
183	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета». Клуб «Спутник»	119517, г.Москва, ул. Веерная, д.3 корп.6	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
184	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета». Клуб «Резонанс»	119501, г.Москва, ул. Веерная, д.12 корп.1	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
185	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета». Клуб МКДЦ «Планета молодых»	119631, г.Москва, ул. Озерная, д.4/9	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
186	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм»	121170, г.Москва, пл. Победы, д.1 корп.А	Западный АО	Дорогомилово	121170, г.Москва, пл. Победы, д.1 корп.А	(499) 148-56-10	(499) 148-47-42	astrum-club.ru	astrumdk@mail.ru
187	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм». ЦТТ «Аструм»	121170, г.Москва, пл. Победы, д.1 корп.А	Западный АО	Дорогомилово	121170, г.Москва, пл. Победы, д.1 корп.А	(499) 148-56-10	(499) 148-47-42	astrum-club.ru	astrumdk@mail.ru
188	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм». Клуб-филиал «Виртуоз»	121170, г.Москва, ул. Дениса Давыдова, д.3	Западный АО	Дорогомилово	121170, г.Москва, пл. Победы, д.1 корп.А	(499) 148-56-10	(499) 148-47-42	astrum-club.ru	astrumdk@mail.ru
189	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм». Клуб-филиал «Аструм-айс»	121170, г.Москва, ул. Генерала Ермолова, д.10/6	Западный АО	Дорогомилово	121170, г.Москва, пл. Победы, д.1 корп.А	(499) 148-56-10	(499) 148-47-42	astrum-club.ru	astrumdk@mail.ru
190	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм». Клуб-филиал «На Ермолова»	121170, г.Москва, ул. Генерала Ермолова, д.6	Западный АО	Дорогомилово	121170, г.Москва, пл. Победы, д.1 корп.А	(499) 148-56-10	(499) 148-47-42	astrum-club.ru	astrumdk@mail.ru
191	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм». Клуб «Азбука»	121170, г.Москва, пл. Победы, д.2 корп.2	Западный АО	Дорогомилово	121170, г.Москва, пл. Победы, д.1 корп.А	(499) 148-56-10	(499) 148-47-42	astrum-club.ru	astrumdk@mail.ru
192	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Зодчие»	121351, г.Москва, ул. Партизанская, д.23	Западный АО	Кунцево	121351, г.Москва, ул. Партизанская, д.23	(499) 141-23-29	(499) 141-45-21	zodchie.ru	dk_zodchie@mail.ru
193	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123592, г.Москва, ул. Маршала Катукова, д.15 корп.2	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
194	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123181, г.Москва, ул. Исаковского, д.6 корп.1	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
195	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123060, г.Москва, ул. Вершинина, д.8 корп.2	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
196	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123060, г.Москва, ул. Маршала Рыбалко, д.13	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
197	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123060, г.Москва, ул. Расплетина, д.13 корп.1	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
198	Государственное бюджетное учреждение культуры города Москвы «Клуб «Феникс»	123182, г.Москва, ул. Авиационная, д.19	Северо-Западный АО	Щукино	123182, г.Москва, ул. Авиационная, д.19	(499) 193-54-08	(499) 193-54-08	club-fenix.ru	fenixclubszao@mail.ru
199	Государственное бюджетное учреждение культуры города Москвы «Клуб «Феникс»	123060, г.Москва, ул. Маршала Рыбалко, д.10	Северо-Западный АО	Щукино	123182, г.Москва, ул. Авиационная, д.19	(499) 193-54-08	(499) 193-54-08	club-fenix.ru	fenixclubszao@mail.ru
200	Государственное бюджетное учреждение культуры города Москвы «Клуб «Феникс»	123060, г.Москва, ул. Маршала Бирюзова, д.12, кв.1	Северо-Западный АО	Щукино	123182, г.Москва, ул. Авиационная, д.19	(499) 193-54-08	(499) 193-54-08	club-fenix.ru	fenixclubszao@mail.ru
201	Государственное бюджетное учреждение культуры города Москвы «Клуб «Феникс»	123182, г.Москва, ул. Живописная, д.30 корп.2	Северо-Западный АО	Щукино	123182, г.Москва, ул. Авиационная, д.19	(499) 193-54-08	(499) 193-54-08	club-fenix.ru	fenixclubszao@mail.ru
202	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Солнечный»	119619, г.Москва, ул. Производственная, д.7	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
203	Государственное бюджетное учреждение культуры города Москвы «Клуб «Силуэт»	124617, г.Москва, Зеленоград, корп.1432, пом.6	Зеленоградский АО	Крюково	124617, г.Москва, Зеленоград, корп.1432	(499) 733-25-66	(499) 733-24-31		clabsiluet@mail.ru
204	Государственное бюджетное учреждение культуры города Москвы «Клуб «Силуэт»	124617, г.Москва, Зеленоград, корп.1432, пом.7	Зеленоградский АО	Крюково	124617, г.Москва, Зеленоград, корп.1432	(499) 733-25-66	(499) 733-24-31		clabsiluet@mail.ru
205	Государственное бюджетное учреждение культуры города Москвы «Клуб «Силуэт»	124617, г.Москва, Зеленоград, корп.1444	Зеленоградский АО	Крюково	124617, г.Москва, Зеленоград, корп.1432	(499) 733-25-66	(499) 733-24-31		clabsiluet@mail.ru
206	Государственное бюджетное учреждение культуры города Москвы «Клуб «Силуэт»	124617, г.Москва, Зеленоград, корп.1410, пом.5	Зеленоградский АО	Крюково	124617, г.Москва, Зеленоград, корп.1432	(499) 733-25-66	(499) 733-24-31		clabsiluet@mail.ru
207	Государственное бюджетное учреждение культуры города Москвы «Клуб «Силуэт»	124617, г.Москва, Зеленоград, корп.1410, пом.5, 1а, 1б	Зеленоградский АО	Крюково	124617, г.Москва, Зеленоград, корп.1432	(499) 733-25-66	(499) 733-24-31		clabsiluet@mail.ru
208	Государственное бюджетное учреждение культуры города Москвы «Дворец культуры «Зеленоград»	124482, г.Москва, Зеленоград, Центральная пл., д.1	Зеленоградский АО	Матушкино-Савелки	124482, г.Москва, Зеленоград, Центральная пл., д.1	(499) 734-53-51	(499) 734-53-51		dkzelenograd@gmail.com
209	Государственное бюджетное учреждение культуры города Москвы «Клуб «Радуга»	124575, г.Москва, Зеленоград, корп.1013а	Зеленоградский АО	Панфиловский	124575, г.Москва, Зеленоград, корп.1006	(499) 732-30-02	(499) 732-30-02		radugazel@yandex.ru
210	Государственное бюджетное учреждение культуры города Москвы «Клуб «Радуга»	124575, г.Москва, Зеленоград, корп.1006	Зеленоградский АО	Панфиловский	124575, г.Москва, Зеленоград, корп.1006	(499) 732-30-02	(499) 732-30-02		radugazel@yandex.ru
211	Государственное бюджетное учреждение культуры города Москвы «Экспериментальный центр социальной адаптации и творческого развития детей и подростков «Творческий лицей»	124527, г.Москва, Зеленоград, корп.832, н.п.1,4,5	Зеленоградский АО	Крюково	124527, г.Москва, Зеленоград. корп.848, кв.3	(499) 731-20-72	(499) 731-20-72	tvorchlitsey.ru	stafizagriya@mail.ru
212	Государственное бюджетное учреждение культуры города Москвы «Экспериментальный центр социальной адаптации и творческого развития детей и подростков «Творческий лицей»	124527, г.Москва, Зеленоград, корп.813, н.п.2	Зеленоградский АО	Крюково	124527, г.Москва, Зеленоград. корп.848, кв.3	(499) 731-20-72	(499) 731-20-72	tvorchlitsey.ru	stafizagriya@mail.ru
213	Государственное бюджетное учреждение культуры города Москвы «Экспериментальный центр социальной адаптации и творческого развития детей и подростков «Творческий лицей»	124575, г.Москва, Зеленоград, ул. Гоголя, д.11а, н.п.6	Зеленоградский АО	Крюково	124527, г.Москва, Зеленоград. корп.848, кв.3	(499) 731-20-72	(499) 731-20-72	tvorchlitsey.ru	stafizagriya@mail.ru
214	Государственное бюджетное учреждение культуры города Москвы «Клуб «Восток»	105173, г.Москва, пос. Восточный, ул. Западная, д.1	Восточный АО	Поселок Восточный	105173, г.Москва, пос. Восточный, ул. Западная, д.1	(499) 780-16-38	(499) 780-59-51		clud_vostok@list.ru
215	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово»	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
216	Государственное бюджетное учреждение культуры города Москвы «ТКС «Орехово». Районный культурно-досуговый центр «Созвездие»	115563, г.Москва, Борисовский пр-д, д.22 корп.1 стр.2	Южный АО	Орехово-Борисово-Северное	115563, г.Москва, Борисовский пр., д.22, корп.1, стр.2	(495) 394-59-34	(495) 394-59-34	tks-orehovo.ru	tksorehovo@mail.ru
217	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Темп»	127349, г.Москва, Шенкурский пр-д, д.3	Северо-Восточный АО	Бибирево	127349, г.Москва, Шенкурский пр-д, д.3а	(499) 209-09-00	(499) 209-09-00	active.detstvo.ru/yasli/1503.html	dktemp@starlink.ru
218	Государственное бюджетное учреждение культуры города Москвы «Дворец культуры «Капотня»	109429, г.Москва, 2-й квартал Капотни, д.20а	Юго-Восточный АО	Капотня	109429, г.Москва, 2-й квартал Капотни, д.20а	(495) 355-19-38	(495) 355-19-38	dk-kapotnja.ru	dk-kapotnja@mai.ru
219	Дом культуры МАИ	ул.Дубосековская, Д.4-а							
220	Дом культуры им.Горького	ул.Вятская,41-а							
221	Дом культуры Пищевого Университета	ул.Врубеля, 12							
222	Клуб МАПО МИГ	Ленинградское ш., д.6							
223	Клуб МГТУ ГА	Кронштадтский б-р Д.20							
224	Государственное учреждение «Дворец культуры    Московского государственного университета путей сообщения (МИИТа)»	127055, Новосущёвский пер., д. 6							
225	Дом культуры «Яуза»	129301, ул. Касаткина, 15							
226	Дом культуры ВВЦ	129223, пр-т. Мира, д.119 стр.82							
227	Культурный центр ЗАО «Ростокинская камольно-отделочная фабрика» (Дом культуры им. Луначарского)	ул. Сельскохозяйственная, д. 24							
228	Дом культуры ОАО «БКСМ»	127410, Стандартная ул., Д. 2							
229	Дом культуры "Знамя Октября"	ул. Верейская, д.12							
230	Клуб Московского Локомотивно-ремонтного завода	111524, ул. Плющева, д. 18 «а»							
231	ГУП КСК «Луч»	111123, ул. 1-я Владимировская, д. 10б							
232	Дом культуры «Прожектор»	111123, г.Москва, улица 1-я Владимирская, д.10Б							
233	Дом культуры «Чайка»	105118 Пр-т. Буденного, д. 14							
234	Дворец культуры МГСУ	107076, г.Москва, улица Стромынка, д.18 корп.4							
235	Дом культуры МЭЛЗ (Дворец на Яузе)	Площадь Журавлева, 12							
236	Культурный центр ГУ МВД по городу Москве	Новослободская ул. 45/2							
237	Дом культуры Российской экономической Академии им. Г.В. Плеханова	Стремянный пер., 28 кор.2а							
238	Дом культуры Московского Государственного технического университета им. Н.Э. Баумана	Бауманская 2-я, 5							
239	Клуб МГТУ «Станкин»	Вадковский пер, За							
240	Центральный Дом культуры железнодорожников	Комсомольская пл., 4							
241	Дворец культуры Метростроя	Костомаровский пер. 3							
242	Дом культуры им. Зуева	Лесная, 18							
243	Клуб ЗАО «Салют»**	Сущевская, 25, стр.5							
244	Дом культуры «Кросна»	улица Пресненский вал, д.29							
245	Отдел клубной и спортивной работы «Красный Октябрь»	Берсеневская наб., 6							
246	Клуб АОЗТ «Краснохолмский камвольный комбинат»	Садовническая улица, д.73 стр.17							
247	Дом культуры им. С.Серафимовича	Тишинский средний пер., 5/7							
248	Дом культуры энергетиков	Раушская наб., 14, стр.1							
249	Московский Дворец молодежи	Комсомольский пр-т, 28							
250	Центральный Дом Российской Армии им. Фрунзе	Суворовская пл.,2				281-67-59			
251	Общественный Культурный центр МИДа России	Смоленская-Сенная пл., д.32/34				244-13-70			
252	Культурный Центр МВД России	ул. Большая Лубянка., д.13/16 стр.1				222-52-83			
253	Клуб московского химико-технологического института им. Менделеева	Миусская пл., 9				978-86-60			
254	ЦК Полиграфической фирмы «Красный пролетарий»	Делегатская, 7				973-90-60			
255	Всероссийский центр художественного творчества Министерства Образования России (ВЦХТ)	Дербеневская, д. 16							
256	Дом культуры МЭИ	Энергетический пр-д,3							
257	Дом культуры 1-го ГПЗ	ул Мельникова, 7							
258	Дом культуры завода автоматических линий	ул. Подъемная, 9							
259	Доми культуры 40-летия Октября	Рязанский пр-кт, 39							
260	Культурный центр «Люблино»	ул. Артюхиной, 25							
261	Клуб "Звезда»	пр. Кирова, 6/2							
262	Дворец культуры «Заветы Ильича»	Можайское ш. д. 13							
263	Дом культуры «Медик»	ул.Академика Павлова, д.9,к.2							
264	Детская юношеская, спортивная школа. (Ранее Дом культуры «Сетунь»)	ул.Толбухина, д.10							
265	Дворец культуры им.Горбунова	ул.Новозаводская,д.27							
266	Клуб МУК ОАО МПО «Пластик»	Бережковская наб. д.28							
267	Дом культуры «Высотник»	ул. Раменки, Д.5							
268	Центр досуга «Микрон»	124460, Москва, Зеленоград, 1-й Западный проезд, д.12 стр.6							
269	Клуб МГИЭТ (ТУ)	124498, г.Зеленоград, 4806 пр-д, д.5 стр.2							
270	Дом культуры«Железнодорожник»	пр.Черепановых Д.24							
271	Дом культуры «Ховрино»	ул.Новая, 2							
272	Дом культуры Культурно- спортивный реабилитационный комплекс	ул.Куусинена, Д.19-а							
