№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Дополнительная информация
199	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 203  Департамента здравоохранения города Москвы»	117513, Москва, ул. академика Бакулева, д.18	ЮЗАО	Волков Дмитрий Владимирович	(495)438-4070	(495)438-4070	с 15.09.2012г. присоединяется к «КДЦ № 1»
200	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 204  Департамента здравоохранения   города Москвы»	115582,Москва, ул. Домодедовская, д.29, к.1	ЮАО	Костиков Юрий Николаевич	(495)391-9135	(495)392-4195	с 15.09.2012г. присоединяется к «ГП № 166»
201	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 205 Департамента здравоохранения  города Москвы»	117647, Москва, ул. Профсоюзная, д.111а	ЮЗАО	Камалов Марат Тимерханович	(495)420-3133	(495)420-0611	с 15.09.2012г. присоединяется к «КДЦ № 1»
202	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 206  Департамента здравоохранения города Москвы»	111672, Москва, ул. Новокосинская, д.42	ВАО	Добуляк Лилия Михайловна.	(495)702-32-31	(495)702-3231	с 15.09.2012г. присоединяется к «ГП № 66»
203	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 207  Департамента здравоохранения города Москвы»	117042, Москва, ул. ак. Семенова, д.13,к.1	ЮЗАО	Фоменко Геннадий Васильевич	(495)715-3701	(495)715-3701	с 15.09.2012г. присоединяется к «КДП № 121»
204	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 208  Департамента здравоохранения города Москвы»	113648, Москва, Северное Чертаново, кор.805	ЮАО	и.о. Захаров Виталий Владиславович	(495)310-9388	(495)3109388	с 15.09.2012г. присоединяется к «Кардиологическому диспансеру № 2»
205	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209  Департамента здравоохранения города Москвы»	119607, Москва, ул. Раменки, д.29	ЗАО	Мочалов Владимир Иванович	(495)931-6000	(495)932-1122	самостоятельное
206	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника восстановительного лечения № 1 Департамента здравоохранения города Москвы»	109263, Москва, 7-я ул. Текстильщиков, д.4а	ЮВАО	и.о. Гайдамак Олег Игоревич	8-499-179-6008	8-499-178-7725	с 01.09.2012г. присоединяется к МНПЦ мед. реабилитации, восстановительной и спортивной медицины
207	Государственное  бюджетное учреждение здравоохранения города Москвы «Поликлиника восстановительного лечения № 2 Департамента здравоохранения города Москвы»	123007, Москва, Хорошевское шоссе, д.1	САО	Павлов Никита Владимирович	(495)941-2148	(495)941-2923	самостоятельное
208	Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника восстановительного лечения № 4  Департамента здравоохранения города Москвы»	119297, Москва, ул. Родниковая, д.4, кор.4	ЗАО	Унмут Станислав Вячеславович	(495)435-4814	(495)435-4814	с 01.09.2012г. присоединяется к МНПЦ мед. реабилитации, восстановительной и спортивной медицины
209	Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника восстановительного лечения № 6  Департамента здравоохранения города Москвы»	117574, Москва, ул. Тарусская, д.22, кор.1	ЮЗАО	Коровенкова Ирина Алексеевна	8-499-137-7389	(495)423-6100	с 01.09.2012г. присоединяется к МНПЦ мед. реабилитации, восстановительной и спортивной медицины
210	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 2  Департамента здравоохранения  города Москвы»	107014, Москва, 1-я Сокольническая ул., д.8	ВАО	Петрунина Галина Артемьевна	(499) 268-6805	(499) 268-7141	самостоятельное
211	Государственное бюджетное  учреждение здравоохранения города Москвы «Медико-санитарная часть № 6  Департамента здравоохранения  города Москвы»	115114, Москва, Шлюзовая набережная, д.6	ЦАО	Тимофеева Марина Геннадьевна	(495) 235-4858	(495) 235-4858	с 15.09.2012г. присоединяется к «ГП № 68»
212	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 8  Департамента здравоохранения города Москвы»	105118, Москва, шоссе Энтузиастов, д.40	ЮВАО	и.о. Маева Ирина Валерьевна	(495)673-5113	(495)673-5113	с 01.09.2012г. присоединяется к ГБУЗ «МСЧ № 26»
213	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 13  Департамента здравоохранения города Москвы»	123022, Москва, ул. Рочдельская, д.15	ЦАО	и.о. Макеев Иван Евгеньевич	(499) 255-0447	(499) 255- 6963	с 15.09.2012г. присоединяется к «ГП № 220»
214	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 165  Департамента здравоохранения  города Москвы»	127490, Москва, ул. Пестеля, д.6а	СВАО	Анисимов Михаил Валерьевич	(499) 203-3994	(499) 203-3994	присоединяется к "ГП № 107"
215	МСЧ № 67 - структурное подразделение Государственного бюджетного учреждения здравоохранения города Москвы «Городская поликлиника № 165  Департамента здравоохранения  города Москвы»	127490, Москва, ул. Декабристов, стр.51	СВАО	Зрелова Татьяна Васильевна	(495)404-8784	(495)404-8783	с 15.09.2012г. присоединяется к «ГП № 107»
216	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 166 Департамента здравоохранения  города Москвы»	115551, Москва, ул. Домодедовская, д.9	ЮАО	Артемова Тамара Михайловна	(495)343-3540	(495)343-3539	самостоятельное
217	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 167  Департамента здравоохранения города Москвы»	109456, Москва, ул. Вострухина, д.5	ЮВАО	Синопальников Владимир Игоревич	(495)371-9608	(495)371-0720	с 15.09.2012г. присоединяется к «ГП № 23»
218	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 168  Департамента здравоохранения  города Москвы»	121596, Москва, ул. маршала Неделина, д.2	ЗАО	Приходько Михаил Николаевич	(495)448-0515	(495)448-0515	с 15.09.2012г. присоединяется к «ГП № 195»
219	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 169  Департамента здравоохранения города Москвы»	127549, Москва, ул. Мурановская. д.10а	СВАО	и.о. Ломовцева Валентина Николаевна	(499) 205-4781	(499) 206-6283	с 15.09.2012г. присоединяется к «ДЦ № 5 с поликлиническим отделением»
220	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 170  Департамента здравоохранения города Москвы»	113545, ул. Подольских курсантов, д.2, кор.2	ЮАО	Полунина Ирина Станиславовна	(495)381-9934	8(495) 381-99-34	самостоятельное
221	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 171  Департамента здравоохранения  города Москвы»	119034,Москва, 1-й Зачатьевский пер., д.1/15	ЦАО	Попова Эмма Семеновна	(499) 766-9242	(499) 766-9242	с 15.09.2012г. присоединяется к «ГП № 68»
222	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 172  Департамента здравоохранения города Москвы»	105203, Москва Измайловский проспект, д.91а	ВАО	Шавлохова Светлана Хасакоевна	(495)465-5585	(495)465-1498	с 15.09.2012г. присоединяется к «ГП № 175»
223	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 173  Департамента здравоохранения города Москвы»	123060, Москва, ул. маршала Бирюзова, д.30	СЗАО	Касьянов Виталий Григорьевич	8-499-194-0794	8-499-194-2344	с 15.09.2012г. присоединяется к «ГП № 115»
224	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 174  Департамента здравоохранения  города Москвы»	123022, Москва, Расторгуевский пер., д.3	ЦАО	Михалевская Татьяна Ивановна	(499) 253-9991	(499) 253-9991	с 15.09.2012г. присоединяется к «ГП № 220»
225	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 175  Департамента здравоохранения  города Москвы»	105568, Москва, ул. Челябинская, д.16	ВАО	Соколова Мария Валерьяновна	(495)300-7250	(495)300-7250	самостоятельное
226	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 176  Департамента здравоохранения города Москвы»	117463, Москва, Новоясеневский проспект, д.30, кор.2	ЮЗАО	Гордеев Михаил Александрович	(495)422-4755	(495)422-4755	с 15.09.2012г. присоединяется к «ГП № 134»
227	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 177  Департамента здравоохранения города Москвы»	119361, Москва, Большая Очаковская ул., д.38	ЗАО	Дятлова Татьяна Александровна	(495)430-2966	(495)430-2966	с 15.09.2012г. присоединяется к «ГП № 8»
228	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 178  Департамента здравоохранения  города Москвы»	Москва, ул. Брусилова, дом 15, корп.2	ЮЗАО	Когинова Наталия Владимировна	(499) 234-0010	(499) 234-0010	с 15.09.2012г. присоединяется к «КДП № 121»
229	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 179  Департамента здравоохранения города Москвы»	127349, Москва, Шенкурский проезд, д.8а	СВАО	Карасев Александр Иванович	(499) 207-9544	(499) 206-9788	с 15.09.2012г. присоединяется к «ДЦ № 5 с поликлиническим отделением»
230	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 180   Департамента здравоохранения города Москвы»	125222, Москва, Уваровский пер., д.4	СЗАО	Лысенко Ирина Леонидовна	(495)759-8065	(495)759-8097	самостоятельное
231	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 181  Департамента здравоохранения города Москвы»	123181, Москва, ул. Исаковского, д.16, кор.3	СЗАО	и.о. Платонов Виталий Георгиевич	(495)750-6897	(495)757-5349	с 15.09.2012г. присоединяется к «ГП № 180»
232	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 182  Департамента здравоохранения города Москвы»	105043, Москва, 7-я Парковая ул,, д.8/61	ВАО	Антоненко Владимир Петрович	8-499-367-6118	8-499-367-6181	с 15.09.2012г. присоединяется к ГП № 191»
233	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 183  Департамента здравоохранения города Москвы»	127521, Москва, 9-й проезд Марьиной Рощи, д.8а	СВАО	Кузнецов Павел Игоревич	(495)618-6056	(495)618-6056	с 15.09.2012г. присоединяется к «ГП № 12»
234	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 185  Департамента здравоохранения города Москвы»	109144, Москва, Новочеркасский бульвар, д.48	ЮВАО	Трунова Тамара Васильевна	8-499-357-0880	8-499-356-0511	с 15.09.2012г. присоединяется к ГП № 36»
235	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 186  Департамента здравоохранения города Москвы»	107258, Москва, 2-я Прогонная ул., д.7а	ВАО	Кокарева Инга Викторовна	(495)963-3954	(495)963-3954	с 15.09.2012г. присоединяется к «КДЦ № 2»
236	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 187 Департамента здравоохранения  города Москвы»	111033, Москва, Таможенный проезд, д.3	ЮВАО	Сурков Михаил Юрьевич	8-499-362-8570	8-499-362-8570	с 15.09.2012г. присоединяется к «ДЦ № 3»
237	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 188  Департамента здравоохранения  города Москвы»	127591, Москва, ул. Дубнинская.д.40,кор.2	САО	Чирков Виталий Анатольевич	(495) 485-0948	(495) 485-6355	с 15.09.2012г. присоединяется к «КДЦ № 6»
238	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 189  Департамента здравоохранения города Москвы»	109559, Москва, ул. Краснодарская, д.63	ЮВАО	Кочин Геннадий Павлович	(495)352-0833	(495)358-3381	с 15.09.2012г. присоединяется к «ГП № 19
239	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 191 Департамента здравоохранения города Москвы»	107589, Москва, ул. Алтайская, д.13	ВАО	Болдырев Игорь Юрьевич	(495)460-3634	(495)460-3644	самостоятельное
240	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 210  Департамента здравоохранения  города Москвы»	115211, Москва, Каширское шоссе, д.57, к.1	ЮАО	Винокуров Владимир Геннадьевич	(495)344-6568	(495)344-6571	самостоятельное
241	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 211 Департамента здравоохранения города Москвы»	113519, Москва, Варшавское шоссе, д.148,к.1	ЮАО	Бульбас Ольга Ивановна	(495)388-1618	(495)388-1618	с 15.09.2012г. присоединяется к « ГП № 170»
242	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 212  Департамента здравоохранения  города Москвы»	119620, Москва, Солнцевский проспект, д.11а	ЗАО	Пиддэ Ольга Васильевна	(495)934-2355	(495)934-2311	самостоятельное
243	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 213  Департамента здравоохранения города Москвы»	115409, Москва, ул. Кошкина, д.21	ЮАО	Баринов Василий Владимирович	(495)320-3022	(495)320-2112	с 15.09.2012г. присоединяется к «ГП № 210»
244	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 214  Департамента здравоохранения  города Москвы»	115583, Москва, ул. Елецкая, д.14	ЮАО	Кудрявцев Вячеслав Александрович	(495)397-0237	(495)397-8201	самостоятельное
245	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 215  Департамента здравоохранения   города Москвы»	129347, Москва, ул. Ротерта, д.12	СВАО	Алексеева Татьяна Ивановна	(499) 188-1444	(499) 188-1444	с 15.09.2012г. присоединяется к «ГП № 218»
246	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 217  Департамента здравоохранения города Москвы»	119027, Москва, ул. Насосная, д.1а	ЗАО	Абраамян Буден Анушаванович	(495)436-7538	(495)436-7538	с 15.09.2012г. присоединяется к «ГП № 212»
247	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218  Департамента здравоохранения  города Москвы»	127642, Москва, проезд Шокальского, д.8	СВАО	Дьякова Элеонора Николаевна	(495) 479-7261	(495) 478-4518	самостоятельное
248	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219  Департамента здравоохранения  города Москвы»	125373, Москва, бул. Яна Райниса, д.47	СЗАО	Тедтоев Таймураз Асламбекович	(495)948-3200	(495)948-2500	самостоятельное
249	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 14  Департамента здравоохранения города Москвы»	123022, Москва, Столярный пер., д.3	ЦАО	и.о. Мясников Георгий Михайлович	(499) 795-3584	(499) 795-3584	с 15.09.2012г. присоединяется к «ГП № 220»
250	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 15 Департамента здравоохранения города Москвы»	125284, Москва, 1-й Боткинский проезд, д. 6	САО	Ткачев Сергей Владимирович	(499)795-8461	(499) 795-8414	самостоятельное
251	Государственное  бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 17  Департамента здравоохранения  города Москвы»	127015, Москва, ул. Бутырская, д.86	САО	Лукьянчикова Наталья Ивановна	(495) 685-39-84	(499) 760-8908	с 26.12.2012г. Присоединяется к "ГП № 12" отделение № 1
252	Государственное  бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 23  Департамента здравоохранения  города Москвы»	129301, Москва, ул. Касаткина, д.20	СВАО	и.о. Бабаянц Виктор Дмитриевич	(495) 683-9651	(495) 683-9651	с 26.12.2012г. Присоединяется к "ГП № 12" отделение № 2
253	Государственное  бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 26  Департамента здравоохранения  города Москвы»	105118, Москва, проспект Буденного, д.18-а	ВАО	Белялова Людмила Исмаиловна	(499) 785-8715	(499) 785-8715	самостоятельное
254	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 32 Департамента здравоохранения  города Москвы»	115054, Москва, ул. Татарская, д.20	ЦАО	Хрупалов Андрей Александрович	(495)951-1422	(495)951-1422	самостоятельное
255	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 33 Департамента здравоохранения  города Москвы»	129128, Москва, ул. Малахитовая, д.16	СВАО	Пожитков Анатолий Фёдорович	(499) 181-1812	(499) 187-1088	самостоятельное
256	Государственное бюджетное  учреждение здравоохранения города Москвы «Медико-санитарная часть № 34  Департамента здравоохранения города Москвы»	115280, Москва, 2-й Автозаводской проезд, д.3	ЮАО	Аверин Сергей Валерьевич	(495)675-0831	(495)675-7616	с 15.09.2012г. присоединяется к «ГП № 67»
257	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 42  Департамента здравоохранения города Москвы»	11123, Москва, шоссе Энтузиастов, д.31	ЮВАО	Белякова Ирина Михайловна	(495)672-1727	(495)672-1727	с 01.09.2012г. присоединяется к ГБУЗ «МСЧ № 26»
258	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 51 Департамента здравоохранения города Москвы	125171, Москва, 5-й Войковский проезд, д. 12	САО	Шевченко Владимир Александрович	8-499-159-6330	8-499-150-3391	самостоятельное
259	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 60  Департамента здравоохранения города Москвы»	125424, Москва, Сходненский  тупик, д.6	СЗАО	Ершов Александр Алексеевич	(495)491-7172	(495)491-1545	с 01.11.2012г. присоединяется к «ГКБ № 67 им.Л.А.Ворохобова»
260	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 63  Департамента здравоохранения  города Москвы»	107120, Москва, ул. Нижняя Сыромятническая, д. 11	ЦАО	Яцушко Светлана Анатольевна	(499) 916-0767	(499) 916-0767	с 15.09.2012г. присоединяется к «ГП № 46»
261	Государственное бюджетное учреждение здравоохранения города Москвы «Медико-санитарная часть № 68  Департамента здравоохранения города Москвы»	105275, Москва, шоссе Энтузиастов, д.29/53	ЮВАО	Брычкина Ираида Генриховна	(495)673-4112	(495)673-4112	с 01.09.2012г. присоединяется к ГБУЗ «МСЧ № 26»
262	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 83  Департамента здравоохранения города Москвы»	121500, Москва, ул. Советская, д.2, стр.1	ЗАО	Красненкова Инна Вадимовна	(499) 727-1228	(499) 727-1228	С 15.09.2012г. присоединяется к «ГП № 195»
263	Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника восстановительного лечения № 7  Департамента здравоохранения  города Москвы»	105005, Москва, ул. Бауманская, д.70	ЦАО	Костенко Елена Владимировна	(499) 261-8183	(499) 261-8183	с 01.09.2012г. присоединяется к МНПЦ мед. реабилитации, восстановительной и спортивной медицины
