№ строки	Название	Адрес	Телефон	Режим работы
261	Государственное Бюджетное Учреждение Москвы «Троицкий Центр Социальной Реабилитации Детей – инвалидов и Детей с Ограничениями жизнедеятельности «Солнышко».	г. Троицк, ул. Пушковых, д.5	8-495-851-13-05	Пн-Чт 9.00 – 18.00, Обед – 13.00 – 13.45, Пятница 9.00 – 16.45 
262	Центр социального обслуживания Московский, ТиНАО	142784, Москва, г.п. Московский, 3 микр., стр. 2 а	(495) 276-09-91, (495) 276-09-93	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
263	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 5, ТиНАО	142780, г. Москва, поселение Филимонковское, пос. Филимонки	(495) 436-64-69; (498) 627-79-38	круглосуточно (администрация пн-пт 09.00 – 18.00)
264	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 24	121353, Москва, Сколковское шоссе, д. 6	(495) 446-11-04	круглосуточно (администрация пн-пт 09.00 – 18.00)
265	Государственное бюджетное образовательное учреждение города Москвы Санаторный детский дом № 17	121614, Москва, Крылатские холмы ул., д.28, корп.4-5	(495) 415-54- 02	круглосуточно
266	Территориальный центр социального обслуживания №28, ЗАО	121354, г.Москва, ул.Гришина, д. 8/3	(495) 446-24-82	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
267	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 9, СЗАО	123480, Москва, ул. Вилиса Лациса д. 2	8(495)495-63-91	круглосуточно (администрация пн-пт 09.00 – 18.00)
268	Территориальный центр социального обслуживания №33, СЗАО	123363, г.Москва, ул.Новопоселковая, д.5б	(495) 401-78-60	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
269	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 1, САО	125445, Москва, ул. Правобережная, д. 4	(499) 457-14-58	круглосуточно (администрация пн-пт 09.00 – 18.00)
270	Территориальный центр социального обслуживания №31, ЗАО	121357, г.Москва, ул.Артамонова, д.6, корп.2	(499) 233-28-49	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
271	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 4, ЗАО	121433, Москва, ул. Полосухина д. 3	(499) 144-42-12	круглосуточно (администрация пн-пт 09.00 – 18.00)
272	Государственное бюджетное учреждение города Москвы « Центр медико-социальной реабилитации инвалидов Департамента социальной защиты населения города Москвы».	г. Москва, Ул.Лодочная д.15к2 	8-499-493-50-49	ежедневно с 8 до 8 кроме субботы и воскресенья
273	ТЦСО №32 филиал "Хорошево-Мневники"	123154, г. Москва, просп. Жукова, д. 47	(499) 199-36-95	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
274	ГКУ Социально-реабилитационный центр для несовершеннолетних «Хорошево-Мневники» СЗАО	ул.Народного Ополчения, д.3, корп.2	499-199-55-20	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
275	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 29, ЗАО	119501, Москва, ул. Нежинская , д. 2	(495) 442-54-91	круглосуточно (администрация пн-пт 09.00 – 18.00)
276	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 21	123182, Москва, ул. Сосновая, д.8/10	(499)190-49-16	круглосуточно (администрация пн-пт 09.00 – 18.00)
277	ГКУ Социальный приют для детей и подростков «Ховрино» САО	Зеленоградская ул., д.35б	495-707-70-17	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
278	Территориальный центр социального обслуживания №29, ЗАО	117454, г.Москва, ул.Лобачевского, д.72	(499) 432-97-78	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
279	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 6, ЮЗАО	117437, Москва, ул. Островитянова, д. 10	(495) 330-44-29	круглосуточно (администрация пн-пт 09.00 – 18.00)
280	Территориальный центр социального обслуживания №32, СЗАО	123298, г.Москва. Ул.Маршала Бирюзова, д.4, корп.2	(499) 195-91-07	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
281	Государственное бюджетное учреждение города Москвы Пансионат «Коньково» для ветеранов войны, ЮЗАО	117321, Москва, ул. Профсоюзная, д. 140, кор. 6	(495) 339-91-97	круглосуточно (администрация пн-пт 09.00 – 18.00)
282	Территориальный центр социального обслуживания №6, САО	125413, г. Москва, ул. Флотская, д. 15, корп. 1	(495) 456-68-88	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
283	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 31, ЮЗАО	117321, Москва, ул. Островитянова, д. 16 кор. 5	(495) 338-19-27	круглосуточно (администрация пн-пт 09.00 – 18.00)
284	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 20, ЮЗАО	117421, Москва, ул. Обручева, д. 28, кор. 4	(495) 936-57-32	круглосуточно (администрация пн-пт 09.00 – 18.00)
285	Территориальный центр социального обслуживания №7, САО	123007, г. Москва, Хорошевское шоссе д.82 к.7	(499) 250-25-51	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
286	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 28	125412, Москвы, ул. Талдомская, д. 4	(495) 487-00-57	круглосуточно (администрация пн-пт 09.00 – 18.00)
287	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 25, САО	127412,Москва, ул. Талдомская, д. 6	(495) 484-30-10	круглосуточно (администрация пн-пт 09.00 – 18.00)
288	Территориальный центр социального обслуживания №25, ЮЗАО	117313, г.Москва, Ленинский пр-т, д.87	(499) 132-75-94	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
289	осударственное бюджетное учреждение города Москвы Центр социальной реабилитации и досуговой работы с инвалидами «Южное Бутово»	ул. Южнобутовская, д.25	8-499-743-47-90	Пн.-Чт. 9.00-18.00, Пт. 9.00-16.45, Обед: 13.30-14.15 
290	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей "Южное Бутово"	117042, Москва, ул. Южнобутовская, д. 19	(499) 743-48-63	круглосуточно (администрация пн-пт 09.00 – 18.00)
291	Территориальный центр социального обслуживания №26, ЮЗАО	117042, г.Москва, ул.Веневская, д.1	(495) 716-31-36	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
292	Территориальный центр социального обслуживания №27, ЮЗАО	117463, г.Москва, ул.Голубинская, д.32, корп.2	(495) 421-80-54	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
293	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 7	117420, Москва, ул. Профсоюзная, д. 47/2	(499) 120-23-17	круглосуточно (администрация пн-пт 09.00 – 18.00)
294	Территориальный центр социального обслуживания №4, САО	127474, г. Москва, ул.Дубнинская, д.31	(499) 219-31-30	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
295	осударственное бюджетное учреждение города Москвы Центр социальной реабилитации и досуговой работы с инвалидами «Южное Бутово»	ул. Изюмская, 47	8-499-743-47-90	Пн.-Чт. 9.00-18.00, Пт. 9.00-16.45, Обед: 13.30-14.15 
296	Территориальный центр социального обслуживания №5, САО	127422, г. Москва ул. Тимирязевская дом 10/12	(495) 611-46-97	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
297	Государственное бюджетное учреждение города Москвы Реабилитационный центр для инвалидов, СВАО	127572, Москва, ул. Абрамцевская, д. 15	(499) 200-10-10	круглосуточно (администрация пн-пт 09.00 – 18.00)
298	ГКУ Социальный приют для детей и подростков «Алтуфьево» ДСЗН	Алтуфьевское ш., д.13, к.4, с. 4	499-201-00-79 Гор.линия по беспризорным и безнадзорным детям: 8-499-201-06-50 Гор.линия социально-психологической помощи детям и семьям мигрантов, находящихся в трудной жизненной ситуации: 8-499-201-59-47	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 Приемное отделение круглосуточно 
299	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 30, ЮАО	117525,Москва, ул. Днепропетровская, д. 14	(495) 313-40-10	круглосуточно (администрация пн-пт 09.00 – 18.00)
300	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 18, ЮЗАО	117303, Москва, ул. Каховка д. 8	(499) 121-92-10	круглосуточно (администрация пн-пт 09.00 – 18.00)
301	Центр социального обслуживания «Щербинский»	117148, г.Москва, ул. Брусилова, д. 17	(499) 234-05-85, (499) 234-05-85	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
302	Территориальный центр социального обслуживания №1, ЦАО	121069, Трубниковский пер., д.21, стр.1, 3	(495) 951-38-05 (в настоящее время), (495) 691-48-21 (с 01.12.2012)	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
303	Территориальный центр социального обслуживания №10, СВАО	127549, г.Москва, ул.Пришвина, д.12, корп.2	(499) 901-02-24	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
304	Территориальный центр социального обслуживания №24, ЮЗАО	117149, г.Москва, ул.Одесская, д.9, корп.1	(499) 613-93-88	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
305	Территориальный центр социального обслуживания №23, ЮАО	117519, г.Москва, ул.Красного Маяка, д.4, корп.5	(495) 313-83-44	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
306	Социальный приют для детей и подростков «Зюзино» ЮЗАО	ул. Азовская, д.33, корп.3	495-310-34-00	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
307	ГКУ Социально-реабилитационный центр для несовершеннолетних «Отрадное» ДСЗН	ул. Декабристов, д.22а	499-907-55-00 499-907-57-90	пон. - четв.: 09.00 - 20.00 пятн.: 09.00 - 20.00 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
308	Учебно-методический центр по проблемам опеки, попечительства и социально-педагогической реабилитации детей и подростков «Детство»	115419, Москва, ул. Шаболовка д. 48  	495 958-22-29 495 958-59-08	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45
309	Государственное бюджетное учреждение города Москвы Социально-реабилитационный центр ветеранов войн и Вооруженных Сил, ЦАО	129110, Москва, Олимпийский пр-т, д.7 кор. 1	(495) 631-11-24	круглосуточно (администрация пн-пт 09.00 – 18.00)
310	Территориальный центр социального обслуживания №2, ЦАО	129110, г. Москва, Переяславский пер., д. 6	(499) 245-18-19 (в настоящее время), (499) 763-18-02 (с 01.12.2012)	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
311	ГКУ Социально-реабилитационный центр для несовершеннолетних «Красносельский» ЦАО	Скорняжный пер.. д.4, стр.2	499-975-23-33 Круглосуточная приемная:(495) 607-17-19 Городская круглосуточная мобильная служба: 8-499-975-27-50;  8-499-975-23-33	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно, Мобильная служба и городская Приемная функционируют круглосуточно. 
312	Территориальный центр социального обслуживания №8, СВАО	129164, г. Москва, ул. Ярославская, дом 5	(495) 514-00-07	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
313	Территориальный центр социального обслуживания №3, ЦАО	109004, Москва, Земляной вал, д. 68, стр. 1	(495) 915-25-08	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
314	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 16, ЮАО	115487, Москва, ул. Садовники, д. 15	(499) 612-00-47; (499) 612-24-97 факс	круглосуточно (администрация пн-пт 09.00 – 18.00)
315	Территориальный центр социального обслуживания №9, СВАО	129281, г.Москва, ул. Енисейская, д.31, корп.1	(499) 478-21-31	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
316	Территориальный центр социального обслуживания №22, ЮАО	115515.г.Москва, ул.Веселая, д.11	(495) 325-08-90	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
317	Территориальный центр социального обслуживания №19, ЮВАО	115088, г.Москва, ул.Шарикоподшипниковская, д.40	(495) 675-08-72	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
318	Территориальный центр социального обслуживания №15, ВАО	1070076, г.Москва,  ул.Стромынка, д.19, корп.2	(499) 785-21-75	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
319	Территориальный центр социального обслуживания №11, СВАО	129347, г.Москва, ул.Палехская, д.14	(499) 188-56-02	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
320	Территориальный центр социального обслуживания №21, ЮАО	155569, г.Москва, ул.Шипиловская, д.9, корп.2	(499) 218-36-30	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
321	Территориальный центр социального обслуживания №20, ЮАО	115142, г.Москва, ул.Коломенская, д.5, стр.3	(499) 615-61-18	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
322	Государственное бюджетное учреждение города Москвы Геронтопсихиатрический Центр Милосердия, ЮАО	115569, Москва, ул. Шипиловский пр-д, д. 31	8 495 391-93-62	круглосуточно (администрация пн-пт 09.00 – 18.00)
323	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 22, ВАО	107150, Москва, ул. Лосиноостровская, д. 27	(499) 160-02-86	круглосуточно (администрация пн-пт 09.00 – 18.00)
324	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 8	115563, Москва, Борисовский пр-д., д. 3/3	(495) 394-93-11	круглосуточно (администрация пн-пт 09.00 – 18.00)
325	ГКУ Социально-реабилитационный центр для несовершеннолетних «Возрождение» СВАО	ул.Проходчиков, д.6, стр.1	495-656-12-31	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
326	ГКУ Социальный приют для детей и подростков  Южного административного округа	Борисовский пр-д, .15, к.3	495-343-69-30	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
327	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 23, СВАО	129347,Москва, ул. Ротерта, д. 6	(499) 182-03-92	круглосуточно (администрация пн-пт 09.00 – 18.00)
328	ТЦСО №18 филиал "Люблино"	109382 г. Москва ул. Люблинская д. 125а стр. 1,2	(499) 784-52-01	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
329	Территориальный центр социального обслуживания №18, ЮВАО	109341, г.Москва, ул.Люблинская, д.159	(495) 345-85-00	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
330	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов войны и труда «Турист», СВАО	141850, Московская обл., Дмитровский р-н, п. Деденево	8 (495) 993-81-54; 8 (496)22-2-12-12	круглосуточно (администрация пн-пт 09.00 – 18.00)
331	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 2	142200, Московская обл., Серпуховской р-н, п. Данки	(4967) 707-138	круглосуточно (администрация пн-пт 09.00 – 18.00)
332	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 10, ЮАО	142700, Московская обл., г. Видное, ул. Центральная д. 13	(495) 541-53-78	круглосуточно (администрация пн-пт 09.00 – 18.00)
333	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 13, ЮАО	142817, Московская обл., Ступинский р-н, с. Лужники	8-496-64-2-38-22	круглосуточно (администрация пн-пт 09.00 – 18.00)
334	Государственное бюджетное учреждение города Москвы Пансионат для инвалидов по зрению	142850, Московская область, Ступинский район, п/о Малинино	8-964-570-33-98	круглосуточно (администрация пн-пт 09.00 – 17.15)
