№ строки	Название	Адрес	Телефон	Режим работы	Адрес головной организации	Тип объекта
2083	ООО "ИДИЛЛИЯ"	111524, г. Москва, ул. Перовская, д.6, корп.1	309-08-36	режим работы устанавливается юридическим лицом самостоятельно	115487, Россия, г. Москва, ул. Академика Миллионщикова, д.13/1	Аптека
2084	ООО "БИ-МЕДИКАЛ"	113209, г. Москва, Севастопольский проспект, д.24 А, стр.1	241-61-58	режим работы устанавливается юридическим лицом самостоятельно	111020, Россия, ул. Ухтомская, д.12	Аптечный пункт
2085	ООО "ФАРМА-МИА"	, г. Москва, ул. Якорная, д.7	766-06-62	режим работы устанавливается юридическим лицом самостоятельно	109377, Россия, г. Москва, 4-я Новокузьминская д.12, стр.1	Аптечный пункт
2086	ООО "Пилюлькин Плюс"	115432, г. Москва, ул. Трофимова, д. 23, стр. 1	772-60-30	режим работы устанавливается юридическим лицом самостоятельно	115432, Россия, г. Москва, ул. Трофимова, д. 23, корп. 1	Аптечный пункт
2087	ООО "МЕДЭП-лечебный центр"	115516, г. Москва, ул. Промышленная, д.11	737-43-89	режим работы устанавливается юридическим лицом самостоятельно	115516, Россия, ул. Промышленная, д.11	Аптечный пункт
2088	ООО "Элион"	127486, г. Москва, ул. Ивана Сусанина, д. 4, корп. 7	8-903-629-79-38	режим работы устанавливается юридическим лицом самостоятельно	129090, Россия, г. Москва, проспект Мира, д. 7, стр. 1	Аптечный пункт
2089	ООО "ИКА"	125481, г. Москва, ул. Фомичевой, д. 4, стр. 2	514-71-87	режим работы устанавливается юридическим лицом самостоятельно	127411, Россия, г. Москва, Дмитровское ш., д. 151, корп. 5	Аптечный пункт
2090	ООО "ВИЛМАФАРМ"	123592, г. Москва, Строгинский бульвар, д. 5	8-925-585-71-21	режим работы устанавливается юридическим лицом самостоятельно	129090, Россия, г. Москва, ул. Щепкина, д. 25/20	отсутствует
2091	ООО "МИЦАР-Н"	109153, Москва, ул. Саранская, д. 4/24	375-65-69	режим работы устанавливается юридическим лицом самостоятельно	109145, Россия, г. Москва, ул. Пронская, д. 2	Аптека
2092	ООО "АЛЬФАКОМ"	109451, г. Москва, ул. Братиславская, д. 21, корп.1	347-27-59	режим работы устанавливается юридическим лицом самостоятельно	109451, Россия, г. Москва, ул. Братиславская, д. 21, корп.1	отсутствует
2093	ООО "ЕЛИЗАВЕТА"	117042, г. Москва, ул. Южнобутовская, д. 45	8-926-218-82-17	режим работы устанавливается юридическим лицом самостоятельно	117042, Россия, г. Москва, ул. Южнобутовская, д. 45, помещение IV	Аптечный пункт
2094	ООО "Нордик"	117279, г. Москва, улица Островитянова, дом 33	8-903-728-21-82	режим работы устанавливается юридическим лицом самостоятельно	127051, Россия, г. Москва, Малый Сухаревский переулок, д. 9, стр. 1, офис 36	Аптечный пункт
2095	ООО "Аптека-органик"	125464, г. Москва, пр. Новотушинский, д. 6, корп. 1, пом. X, пом. Xa	769-40-70	режим работы устанавливается юридическим лицом самостоятельно	125464, Россия, г. Москва, Новотушинский проезд, д.6, корп.1	Аптечный пункт
2096	ООО "АЙБОЛИТ"	127577, г. Москва, пр. Высоковольтный, д. 1, корп. 2	8-985-769-04-00	режим работы устанавливается юридическим лицом самостоятельно	127577, Россия, г. Москва, Высоковольтный проезд, д. 1, корп. 2	Аптека
2097	ООО "Здоровье и Долголетие"	109044, г. Москва, ул. Дубровская 1-я, д. 1А	8(495)-514-40-42	режим работы устанавливается юридическим лицом самостоятельно	109147, Россия, г. Москва, пер. Большой Рогожский, д. 10, корп. 2, комн. 5А	Аптечный пункт
2098	ООО "Восход"	119019, г. Москва, ул. Вавилова, д. 64/1, стр. 1	8(499)-340-84-62	режим работы устанавливается юридическим лицом самостоятельно	123007, Россия, г. Москва, Хорошевское шоссе, д. 33/1, стр. 1-1А, оф. 34	Аптечный пункт
2099	ООО "Велма"	127055, г. Москва, ул. Тихвинская, д. 3, корп. 1	8(495)-909-91-92	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, Тихвинская ул., д. 3, корп. 1, пом. III	Аптека
2100	ООО "Медвей"	109052, г. Москва, ул. Нижегородская, д. 83	8(903)-1645055	режим работы устанавливается юридическим лицом самостоятельно	109052, Россия, г. Москва, ул. Нижегородская, д.83	Аптека
2101	ООО "ВУЛКАН"	125362, г. Москва, ул. Тушинская, д. 16	8-909-975-89-01	режим работы устанавливается юридическим лицом самостоятельно	109341, Россия, г. Москва, Перервинский бульвар, д. 14, корп. 3	Аптечный пункт
2102	ООО фирма "ДИАС"	109316, г. Москва, ул. Талалихина, д. 35	8(495)-244-89-18	режим работы устанавливается юридическим лицом самостоятельно	109316, Россия, г. Москва, ул. Талалихина, д. 35	Аптечный пункт
2103	ООО "ФАРМАСК"	115487, Москва, ул. Академика Миллионщикова, д. 7, корп. 1	8(495)-380-33-80	режим работы устанавливается юридическим лицом самостоятельно	119425, Россия, г. Москва, ул. М. Пироговская, дом 13, стр. 1	Аптечный пункт
2104	ЗАО "Ай-Болит-01"	129010, г. Москва, проспект Мира, д. 54, стр.1	8-495-688-58-69	режим работы устанавливается юридическим лицом самостоятельно	129110, Россия, г. Москва, Проспект Мира, д. 54, стр. 1	Аптечный пункт
2105	ООО "Альфарма"	125466, г. Москва, ш. Новокуркинское, д.51	998-81-98	режим работы устанавливается юридическим лицом самостоятельно	125466, Россия, г. Москва, Новокуркинское шоссе, д.51, помещение 1а	Аптечный пункт
2106	ООО "Альфарма"	125466, г. Москва, ул. Родионовская, д.5	998-81-98	режим работы устанавливается юридическим лицом самостоятельно	125466, Россия, г. Москва, Новокуркинское шоссе, д.51, помещение 1а	Аптечный пункт
2107	ООО "Альфарма"	119049, г. Москва, Калужская площадь, дом 1, стр. 7	998-81-98	режим работы устанавливается юридическим лицом самостоятельно	125466, Россия, г. Москва, Новокуркинское шоссе, д.51, помещение 1а	Аптечный пункт
2108	ООО "Голден Роуз"	125239, Москва, Коптевский б-р, д. 17	8-495-601-40-08	режим работы устанавливается юридическим лицом самостоятельно	125239, Россия, г. Москва, Коптевский бульвар, д.17	Аптечный пункт
2109	ООО "Голден Роуз"	127220, г. Москва, ул. Полтавская, д. 4	8-495-601-40-08	режим работы устанавливается юридическим лицом самостоятельно	125239, Россия, г. Москва, Коптевский бульвар, д.17	Аптечный пункт
2110	ООО "Максимум"	117556, Москва, Варшавское ш., д. 88	8-926-216-43-87	режим работы устанавливается юридическим лицом самостоятельно	105064, Россия, г. Москва, пер. Мрузовский, д.12	Аптечный пункт
2111	ООО "Максимум"	105120, г. Москва, ул. Радонежского Сергия, д.23-25, стр.1	8-926-216-43-87	режим работы устанавливается юридическим лицом самостоятельно	105064, Россия, г. Москва, пер. Мрузовский, д.12	Аптечный пункт
2112	ОАО "Аптека "Малыш"	117403, г. Москва, ул. Булатниковская, д. 5	384-78-85	режим работы устанавливается юридическим лицом самостоятельно	117403, Россия, г. Москва, ул. Булатниковская, д. 5	Аптечный пункт
2113	ЗАО "ЭРКАФАРМ"	125080, г. Москва, Волоколамское шоссе, д. 6, стр. 1	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптека готовых лекарственных форм
2114	ЗАО "ЭРКАФАРМ"	107005, г. Москва, ул. Бакунинская, д. 14, стр. 1	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптека готовых лекарственных форм
2115	ЗАО "ЭРКАФАРМ"	117403, г. Москва, ул. Булатниковская, д. 2А	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2116	ЗАО "ЭРКАФАРМ"	109202, г. Москва, ул. Карачаровская, 2-я, д. 6/16	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2117	ЗАО "ЭРКАФАРМ"	127576, г. Москва, ул. Череповецкая, д. 4А	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2118	ЗАО "ЭРКАФАРМ"	127410, г. Москва, ул. Инженерная, д. 3	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2119	ЗАО "ЭРКАФАРМ"	117437, г. Москва, ул. Миклухо-Маклая, д. 18, корп. 2	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2120	ЗАО "ЭРКАФАРМ"	115172, г. Москва, Гончарный проезд, д. 8/40	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2121	ООО "Фармамед"	127051, г. Москва, ул. Садовая-Каретная, д. 20/6, стр. 1	499-977-1300	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптечный пункт
2122	ООО "Фармамед"	127055, г. Москва, ул. Новослободская, д. 36/1, стр. 1	499-977-1300	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптека готовых лекарственных форм
2123	ООО "Фармамед"	119334, г. Москва, просп. 60-Летия Октября, д. 3, корп. 1	499-977-1300	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптечный пункт
2124	ООО "Фармамед"	109147, г. Москва, ул. Таганская, д. 26, стр. 1	499-977-1300	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптека готовых лекарственных форм
2125	ООО "Фармамед"	115487, г. Москва, просп. Андропова, д. 29	499-977-1300	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптечный пункт
2126	ООО "Фармамед"	127434, г. Москва, пр. Красностуденческий, д. 1	499-977-1300	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптечный пункт
2127	ООО "Фармамед"	107061, г. Москва, ул. Преображенский Вал, д. 14	499-977-1300	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптечный пункт
2128	ЗАО Фармацевтическая Компания МедТехНовации	127238, г. Москва, Дмитровское шоссе, д. 85	105-6700	режим работы устанавливается юридическим лицом самостоятельно	127238, Россия, г. Москва, Дмитровское шоссе, д. 85	Организация оптовой торговли лекарственными средствами для медицинского применения
2129	ООО "МАКфарма"	125466, г. Москва, ул. Родионовская, д. 10, корп. 1	609-6876	режим работы устанавливается юридическим лицом самостоятельно	125466, Россия, г. Москва, ул. Родионовская, д. 10, корп. 1, пом. XLV	Аптечный пункт
2130	ООО "МАКфарма"	125466, г. Москва, ул. Соколово-Мещерская, д. 25	609-6876	режим работы устанавливается юридическим лицом самостоятельно	125466, Россия, г. Москва, ул. Родионовская, д. 10, корп. 1, пом. XLV	Аптечный пункт
2131	ООО "ФармаЛюкс"	127521, г. Москва, ул. Шереметьевская, д. 13, корп. 1	8-903-204-0030	режим работы устанавливается юридическим лицом самостоятельно	127562, Россия, г. Москва, ул. Декабристов, д.10, корп.1, кв.183	Аптечный пункт
2132	ООО "Си Ай Пи фарм"	105037, г. Москва, ул. 2-я Прядильная, д.4, стр.1	8-916-347-40-48	режим работы устанавливается юридическим лицом самостоятельно	109451, Россия, г. Москва, ул. Верхние Поля, д.36, корп.2	Аптечный пункт
2133	ООО "СайнсГрупп"	127015, г. Москва, ул. Расковой, д. 34, корп. 2	8-926-589-32-23	режим работы устанавливается юридическим лицом самостоятельно	125373, Россия, г. Москва, бульвар Яна Райниса, дом 43, корпус 1, помещ. II, комн. 4, 2 этаж	Аптечный пункт
2134	ООО "Оптима"	125212, г. Москва, бульв. Кронштадтский, д. 3, стр. 3	8-967-099-95-99	режим работы устанавливается юридическим лицом самостоятельно	125635, Россия, г. Москва, улица Ангарская, д. 6, пом. IV	Аптечный пункт
2135	ООО "Профарм"	125212, г. Москва, ш. Головинское, вл. 2/14, стр. 5	8-916-344-95-27	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптечный пункт
2136	ООО "Профарм"	105122, г. Москва, ш. Щелковское, д. 10А, стр. 1	8-916-344-95-28	режим работы устанавливается юридическим лицом самостоятельно	127055, Россия, г. Москва, переулок Угловой, д. 2, пом. 22, комн. 3	Аптечный пункт
2137	ООО "МирЗдрав"	105064, г. Москва, ул. Земляной Вал, д. 29, стр. 1	8-903-179-78-52	режим работы устанавливается юридическим лицом самостоятельно	125459, Россия, г. Москва, бульвар Яна Райниса, д. 10	Аптечный пункт
2138	ОАО "Московское производственное химико-фармацевтическое объединение им. Н.А.Семашко"	115172, г. Москва, ул. Большая Каменщики, д. 9, стр. С	8(495)-912-46-24	режим работы устанавливается юридическим лицом самостоятельно	115172, Россия, г. Москва, ул. Большие Каменщики, д. 9	Аптечный пункт
2139	ООО "АПТЕКА "ФОРТЕ"	123423, г. Москва, ул. Народного Ополчения, д.20, корп.1	572-57-12	режим работы устанавливается юридическим лицом самостоятельно	123423, Россия, г. Москва, ул. Народного Ополчения, д. 20, корп. 1	Аптечный пункт
2140	ООО "АПТЕКА "ФОРТЕ"	111033, г. Москва, ул. Волочаевская, д.12 А, стр.1	572-57-13	режим работы устанавливается юридическим лицом самостоятельно	123423, Россия, г. Москва, ул. Народного Ополчения, д. 20, корп. 1	Аптечный пункт
2141	ООО "АПТЕКА "ФОРТЕ"	123262, г. Москва, ул. Ореховый бульвар, д.25	572-57-14	режим работы устанавливается юридическим лицом самостоятельно	123423, Россия, г. Москва, ул. Народного Ополчения, д. 20, корп. 1	Аптека
2142	ООО "АПТЕКА "ФОРТЕ"	125363, г. Москва, бульвар Яна Райниса, д.1	572-57-15	режим работы устанавливается юридическим лицом самостоятельно	123423, Россия, г. Москва, ул. Народного Ополчения, д. 20, корп. 1	Аптечный пункт
2143	ООО "Хани-Фарм"	117546, г. Москва, пр-д Булатниковский, д.6, стр.3	916-347-40-48	режим работы устанавливается юридическим лицом самостоятельно	115191, Россия, г. Москва, ул. 2-я Рощинская, д.4, оф.503	Аптечный пункт
2144	ООО "КРОНУС"	124460, г. Москва, Зеленоград, ул. Яблоневая аллея, д.313 Б	511-08-53	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, ул. Васильевская, д. 4	Аптечный пункт
2145	ООО "Альфарма"	127521, г. Москва, ул. Шереметьевская, д.13, корп.1	998-81-98	режим работы устанавливается юридическим лицом самостоятельно	125466, Россия, г. Москва, Новокуркинское шоссе, д.51, помещение 1а	Аптечный пункт
2146	ООО "Альфарма"	127055, г. Москва, ул. Новослободская, д.46	998-81-98	режим работы устанавливается юридическим лицом самостоятельно	125466, Россия, г. Москва, Новокуркинское шоссе, д.51, помещение 1а	Аптечный пункт
2147	ООО "Кемист"	117105, г. Москва, ш. Варшавское, д.32	8-903-003-41-78	режим работы устанавливается юридическим лицом самостоятельно	125373, Россия, г. Москва, бульвар Яна Райниса, дом 43, корпус 1, помещ.II, комн.№ 4,2 этаж	Аптечный пункт
2148	ООО "Любимая аптека"	109930, г. Москва, ул. Люблинская, д.17, корп.3	8-915-450-02-58	режим работы устанавливается юридическим лицом самостоятельно	117042, Россия, г. Москва, ул. Южнобутовская, д.101, оф.18	Аптечный пункт
2149	ООО "Фармлайн"	125502, г. Москва, ул. Фестивальная, д.63, корп.2	8-495-742-81-85	режим работы устанавливается юридическим лицом самостоятельно	125414, Россия, г. Москва, ул. Фестивальная, д.28, стр.1	Аптечный пункт
2150	ООО "Фармпроф"	117624, г. Москва, бульвар Адмирала Ушакова, д.11	8-925-092-32-18	режим работы устанавливается юридическим лицом самостоятельно	101000, Россия, г. Москва, Архангельский переулок, д.9, стр.1, офис 6	Аптечный пункт
2151	ООО "Соцстор"	129346, г. Москва, ул. Изумрудная, д.40	8-925-092-32-18	режим работы устанавливается юридическим лицом самостоятельно	105094, Россия, г. Москва, Семеновская наб., д.2/1, стр.1, помещение VII, офис 1	Аптечный пункт
2152	ООО "Фармкласс"	117630, г. Москва, ул. Академика Челомея, д.8, корп. 3	8-903-772-39-90	режим работы устанавливается юридическим лицом самостоятельно	117342, Россия, г. Москва, улица Введенского, д.23 А, стр.3, помещение XX, комната 62	Аптечный пункт
2153	ООО "Соус"	117624, г. Москва, ул. Изюмская, д.36	н.д.	режим работы устанавливается юридическим лицом самостоятельно	127566, Россия, г. Москва, Алтуфьевское ш., д. 44	Аптечный пункт
2154	ООО "АСКЛЕПИЙ"	127572, г. Москва, Северный бульвар, владение 14А	8-495-602-05-89	режим работы устанавливается юридическим лицом самостоятельно	127572, Россия, г. Москва, Северный бульвар, владение 14А	Аптечный пункт
2155	ООО "Забота и Здоровье"	000000, г. Москва, ж. д. Станция "Нижние Котлы" МЖД (ПК2-ПК4)	8-499-237-68-42	режим работы устанавливается юридическим лицом самостоятельно	115612, Россия, г. Москва, ул. Ключевая, д.14, корп.1	Аптечный пункт
2156	ООО "Лада-доктор"	113186, Москва, ул. Нагорная, д. 12, корп. 1	8-495-670-89-86	режим работы устанавливается юридическим лицом самостоятельно	143404, Россия, Московская область, г. Красногорск, ул. Ленина, д. 55	Аптечный пункт
2157	ООО "Лада-доктор"	121500, Москва, ул. Василия Ботылева, д. 14 А	8-495-670-89-86	режим работы устанавливается юридическим лицом самостоятельно	143404, Россия, Московская область, г. Красногорск, ул. Ленина, д. 55	Аптечный пункт
2158	ЗАО "ЭРКАФАРМ"	117198, г. Москва, ул. Машела Саморы, д. 8, корп. 2	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2159	ЗАО "ЭРКАФАРМ"	101000, г. Москва, Тургеневская пл., д. 2	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2160	ЗАО "ЭРКАФАРМ"	123298, г. Москва, ул. Маршала Бирюзова, д.3	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
2161	ООО "Наша Аптека"	117437, Москва, ул. Островитянова, д. 21А	716-10-65; 8-926-526-62-94	режим работы устанавливается юридическим лицом самостоятельно	109382, Россия, г. Москва, ул. Нижние Поля, д.15	Аптечный киоск
2162	ООО "Таймер-С"	119602, г. Москва, ул. Покрышкина, домовл. 8	8-499-344-74-98	режим работы устанавливается юридическим лицом самостоятельно	121352, Россия, г. Москва, ул. Кременчугская, д. 5, корп. 3, кв. 49	Аптечный пункт
2163	ООО "Таймер-С"	127018, г. Москва, ул. Складочная, д.1, стр.1	8-499-344-74-98	режим работы устанавливается юридическим лицом самостоятельно	121352, Россия, г. Москва, ул. Кременчугская, д. 5, корп. 3, кв. 49	Аптечный пункт
2164	ООО "Здоровые Люди Москва"	111673, г. Москва, ул. Новокосинская, д. 24, корп. 1	8-495-956-13-58	режим работы устанавливается юридическим лицом самостоятельно	119002, Россия, г. Москва, Карманицкий пер., д.9	Аптека
2165	ООО "Здоровые Люди Москва"	117216, г. Москва, ул. Грина, д. 24	8-495-956-13-58	режим работы устанавливается юридическим лицом самостоятельно	119002, Россия, г. Москва, Карманицкий пер., д.9	Аптека
2166	ООО "Здоровые Люди Москва"	127322, г. Москва, ул. Милашенкова, д. 8	8-495-956-13-58	режим работы устанавливается юридическим лицом самостоятельно	119002, Россия, г. Москва, Карманицкий пер., д.9	Аптека
2167	ООО "Здоровые Люди Москва"	119313, г. Москва, Ленинский пр-т, д. 89/2	8-495-956-13-58	режим работы устанавливается юридическим лицом самостоятельно	119002, Россия, г. Москва, Карманицкий пер., д.9	Аптека
2168	ООО "Здоровые Люди Москва"	117209, г. Москва, ул. Болотниковская, вл. 53, стр. 1	8-495-956-13-58	режим работы устанавливается юридическим лицом самостоятельно	119002, Россия, г. Москва, Карманицкий пер., д.9	Аптечный пункт
2169	ООО "Здоровые Люди Москва"	117519, г. Москва, ул. Кировоградская, д. 24 А	8-495-956-13-58	режим работы устанавливается юридическим лицом самостоятельно	119002, Россия, г. Москва, Карманицкий пер., д.9	Аптека
2170	ООО "Здоровые Люди Москва"	121099, г. Москва, пер. Карманицкий, д. 9	8-495-956-13-58	режим работы устанавливается юридическим лицом самостоятельно	119002, Россия, г. Москва, Карманицкий пер., д.9	Аптека
2171	ЗАО "РИГЕЛЬМЕД"	119435, г. Москва, Абрикосовский переулок, д. 2	245-12-13	режим работы устанавливается юридическим лицом самостоятельно	117420, Россия, г. Москва, ул. Наметкина, д.13, корп.2	Аптечный пункт
2172	ЗАО "РИГЕЛЬМЕД"	117420, г. Москва, ул. Намёткина, д. 13, корп. 2	245-12-13	режим работы устанавливается юридическим лицом самостоятельно	117420, Россия, г. Москва, ул. Наметкина, д.13, корп.2	Аптечный пункт
2173	ЗАО "Аптека на Кузнецком мосту"	107031, г. Москва, ул. Кузнецкий мост, д. 18/7, стр. 1	628-46-70	режим работы устанавливается юридическим лицом самостоятельно	103031, Россия, г. Москва, ул. Кузнецкий мост, дом 18/7, строение 1	Аптека
2174	ООО "ЛИРА-М"	143350, г. Москва, пос. Толстопальцево, ул. Советская, д. 1, стр. 27	736-71-52	режим работы устанавливается юридическим лицом самостоятельно	124482, Россия, г. Москва, г. Зеленоград, пл. Юности, д. 4, пом. 3, ком. 1-7	Аптечный пункт
2175	ООО "Медицинская компания Амбулатория-3000"	121433, г. Москва, ул. Малая Филевская, д.2, кор.1	972-37-15	режим работы устанавливается юридическим лицом самостоятельно	121433, Россия, г. Москва, ул. Малая Филевская, д.4, корп.2	Аптечный пункт
2176	ООО "Фармаплекс"	121096, г. Москва, ул. Кастанаевская, д. 16, корп. 1	920-14-18	режим работы устанавливается юридическим лицом самостоятельно	121609, Россия, г. Москва, Осенний бульвар, д. 10, корп. 1, кв. 483	Аптечный пункт
2177	ООО "ФармаВит"	109129, г. Москва, ул. Текстильщиков 8-я, д. 19.	924-16-90	режим работы устанавливается юридическим лицом самостоятельно	115516, Россия, г. Москва, Кавказский бульвар, д. 50, кв. 176	Аптечный пункт
2178	ООО "Русмед"	109559, г. Москва, ул. Совхозная, д.12	358-32-29	режим работы устанавливается юридическим лицом самостоятельно	109429, Россия, г. Москва, Капотня 3-й квартал, дом 11	Аптека
2179	ООО "Флэт Дэко"	117303, г. Москва, ул. Болотниковская, д. 23	310-77-70	режим работы устанавливается юридическим лицом самостоятельно	117303, Россия, г. Москва, ул. Болотниковская, дом 23	Аптечный пункт
2180	ООО "Ринотэк"	109559, г. Москва, ул. Совхозная, д. 16	358-34-74	режим работы устанавливается юридическим лицом самостоятельно	109429, Россия, г. Москва, Капотня 3-й квартал, дом 11	Аптечный пункт
2181	ООО "Звезда"	117036, г. Москва, просп. Шестидесятилетия Октября, д. 18, корп. 1	310-73-18	режим работы устанавливается юридическим лицом самостоятельно	117036, Россия, г. Москва, просп. Шестидесятилетия Октября, д. 18, корп. 1 , пом. VIII	Аптечный пункт
2182	ООО "Ваше здоровье 2"	115054, г. Москва, Стремянный пер., д. 26	271-55-83	режим работы устанавливается юридическим лицом самостоятельно	123308, Россия, г. Москва, ул. Куусинена, дом 9, корп. 3, пом.2	Аптека
2183	ООО "Мегаполис"	125466, г. Москва, ш. Новокуркинское, д. 47	223-63-61	режим работы устанавливается юридическим лицом самостоятельно	125493, Россия, г. Москва, ул. Михалковская, д. 2, стр. 2	Аптечный пункт
2184	ООО "РОСА"	127486, г. Москва, ул. Ивана Сусанина, вл.1	980-81-47	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, 1-ая Аэропортовская ул., д.6, помещение VI, комната 1-4	Аптечный пункт
2185	ООО "МИЦАР-Н"	117342, г. Москва, ул. Островитянова, д.43А	748-01-44	режим работы устанавливается юридическим лицом самостоятельно	109145, Россия, г. Москва, ул. Пронская, д. 2	Аптека
2186	ООО "ИнтерФарм+"	115280, г. Москва, ул. Велозаводская, д.13, стр.1	534-54-67	режим работы устанавливается юридическим лицом самостоятельно	129281, Россия, г. Москва, ул. Менжинского, д. 38, корп. 1, стр. 2	Аптечный пункт
2187	ООО "ЛАС-Фарм"	129090, г. Москва, просп. Олимпийский, д.10, стр.7	916-128-91-28	режим работы устанавливается юридическим лицом самостоятельно	129090, Россия, г. Москва, Олимпийский проспект, д.10, стр.7	Аптечный пункт
2188	ООО "Токер Фарм"	119021, г. Москва, пер. Оболенский, д.9, корп.1	544-04-25	режим работы устанавливается юридическим лицом самостоятельно	119034, Россия, г. Москва, Мансуровский пер., д.10, стр.1	Аптека
2189	ООО "Илайс"	109456, г. Москва, Рязанский просп., д.79	371-91-14	режим работы устанавливается юридическим лицом самостоятельно	109444, Россия, г. Москва, ул. Ферганская, д.12	Аптечный пункт
2190	ЗАО Многопрофильная Врачебная Практика "Семейный доктор"	105203, г. Москва, ул. Первомайская Нижняя, д.43А	780-07-71	режим работы устанавливается юридическим лицом самостоятельно	105066, Россия, г. Москва, ул. Ольховская, д.45, стр.1, офис 4	Аптечный пункт
2191	ООО "ЛАТИС-ТОРГ"	123458, г. Москва, ул. Таллинская, д.9	903-118-31-15	режим работы устанавливается юридическим лицом самостоятельно	119331, Россия, г. Москва, ул. Крупской, д.19/17	Аптечный пункт
2192	ООО "ЛАТИС-ТОРГ"	123592, г. Москва, ул. Кулакова, д.14	903-118-31-15	режим работы устанавливается юридическим лицом самостоятельно	119331, Россия, г. Москва, ул. Крупской, д.19/17	Аптечный пункт
2193	ООО "Еврофармекс"	109004, г. Москва, ул. Таганская, д.17-23	514-47-04	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая пл., д.4А, оф. 309	Аптечный пункт
2194	ООО "Ромашка"	115516, г. Москва, ул. Бехтерева, д.31, корп.4	725-91-97	режим работы устанавливается юридическим лицом самостоятельно	115516, Россия, г. Москва, ул. Бехтерева, д.31, корп.4	Аптечный пункт
2195	ЗАО "Флория"	127576, г. Москва, Алтуфьевское шоссе, д.88	947-90-32, 737-82-92	режим работы устанавливается юридическим лицом самостоятельно	127422, Россия, г. Москва, ул. Костякова, д.6/5	Аптечный пункт
2196	ООО "Аптека-М+"	127562, г. Москва, Алтуфьевское шоссе, 22Б	514-47-04	режим работы устанавливается юридическим лицом самостоятельно	127562, Россия, г. Москва, Алтуфьевское шоссе, 22Б	Аптечный киоск
2197	ООО "Лада-доктор"	109147, г. Москва, ул. Талалихина, д. 1, корп. 1	8-495-670-89-86	режим работы устанавливается юридическим лицом самостоятельно	143404, Россия, Московская область, г. Красногорск, ул. Ленина, д. 55	Аптека
2198	ООО "Лада-доктор"	121500, Москва, ул. Василия Ботылева, д. 14 А	8-495-670-89-86	режим работы устанавливается юридическим лицом самостоятельно	143404, Россия, Московская область, г. Красногорск, ул. Ленина, д. 55	Аптечный пункт
2199	ЗАО "ЭКОХЕЛП БУТОВО"	117216, г. Москва, ул. Грина, д.15	712-46-18	режим работы устанавливается юридическим лицом самостоятельно	119571, Россия, г. Москва, Ленинский проспект, д.156	Аптека
2200	ООО "ИНТЕРФАРМ"	11396, г. Москва, Свободный проспект, д.37/18	787-17-75	режим работы устанавливается юридическим лицом самостоятельно	129281, Россия, г. Москва, ул. Менжинского, д.38, корп.1, стр.2	Аптечный пункт
