0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Муниципальный район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
170;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Рязанская детская школа искусств «Дар»                                                                                                                  ;ГБОУ ДОД г.Москвы «Рязанская детская школа искусств «Дар»                                                                                                                                                                                                     ;142134, г.Москва, Подольский р-н, пос. Знамя Октября, д.31 стр.3                                                                                                                                                                                              ;37,541721;55,473228;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Новомосковкий АО                                                                                                                                                                                                                                              ;Рязановская                                                                                                                                                                                                                                                   ;142134, г.Москва, Подольский р-н, пос. Знамя Октября, д.31 стр.3                                                                                                                                                                                              ;(495) 767-97-29                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;dshidar@list.ru                                                                                                                                                                                                                                               
171;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств «Дети синей птицы»                                                                                                               ;ГБОУ ДОД г.Москвы «Детская школа искусств «Дети синей птицы»                                                                                                                                                                                                  ;142102, г.Москва, Подольский р-н, пос. Ерино, ул. Высокая, д.3 стр.2                                                                                                                                                                                          ;37,513966;55,448185;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Новомосковкий АО                                                                                                                                                                                                                                              ;Рязановское                                                                                                                                                                                                                                                   ;142102, г.Москва, Подольский р-н, пос. Ерино,  ул. Высокая, д.3 стр.2                                                                                                                                                                                         ;(495) 767-55-01                                                                                                                                                                                                                                               ;(495) 767-55-01, (962) 935-53-93                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;detisineiptici@mail.ru                                                                                                                                                                                                                                        
175;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Щаповская детская школа искусств «Гармония»                                                                                                             ;ГБОУ ДОД г.Москвы «Щаповская детская школа искусств «Гармония»                                                                                                                                                                                                ;142144, г.Москва, Подольский р-н, пос. Щапово                                                                                                                                                                                                                 ;37,404838;55,417744;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Троицкий АО                                                                                                                                                                                                                                                   ;Щаповское                                                                                                                                                                                                                                                     ;142144, г.Москва, Подольский р-н, пос. Щапово                                                                                                                                                                                                                 ;(495) 765-60-59                                                                                                                                                                                                                                               ;(916) 053-59-86                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dshi.garmoniya@gmail.com                                                                                                                                                                                                                                      
176;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Михайлово-Ярцевская детская школа искусств»                                                                                                             ;ГБОУ ДОД г.Москвы «Михайлово-Ярцевская детская школа искусств»                                                                                                                                                                                                ;142140, г.Москва, Подольский р-н, пос. Шишкин Лес, стр.35                                                                                                                                                                                                     ;37,188966;55,41342;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Троицкий АО                                                                                                                                                                                                                                                   ;Михайло-Ярцеславское                                                                                                                                                                                                                                          ;142140, г.Москва, Подольский р-н, пос. Шишкин Лес, стр.35                                                                                                                                                                                                     ;(495) 750-56-51                                                                                                                                                                                                                                               ;(495) 750-56-51, (926) 553-40-61, (926) 553-40-64                                                                                                                                                                                                             ;                                                                                                                                                                                                                                                              ;mih-yarcdshi@yandex.ru                                                                                                                                                                                                                                        
177;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Краснопахорская детская школа искусств»                                                                                                                 ;ГБОУ ДОД г.Москвы «Краснопахорская детская школа искусств»                                                                                                                                                                                                    ;142150, г.Москва, Подольский р-н, пос. Красная Пахра, ул. Заводская, д.20                                                                                                                                                                                     ;37,273775;55,431007;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Троицкий АО                                                                                                                                                                                                                                                   ;Краснопахорское                                                                                                                                                                                                                                               ;142150, г.Москва, Подольский р-н, пос. Красная Пахра, ул. Заводская, д.20                                                                                                                                                                                     ;(495) 750-83-14                                                                                                                                                                                                                                               ;(495) 750-83-14, (903) 264-83-64                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;kpdshi@yandex.ru                                                                                                                                                                                                                                              
178;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Вороновская детская школа искусств»                                                                                                                     ;ГБОУ ДОД г.Москвы «Вороновская детская школа искусств»                                                                                                                                                                                                        ;142160, г.Москва, Подольский р-н, м-н Центральный, д.12Б                                                                                                                                                                                                      ;37,56253;55,433194;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Троицкий АО                                                                                                                                                                                                                                                   ;Вороновское                                                                                                                                                                                                                                                   ;142160, г.Москва, Подольский р-н, м-н Центральный, д.12Б                                                                                                                                                                                                      ;(495) 750-66-10                                                                                                                                                                                                                                               ;(495) 750-66-10                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dshi_voronovo@mail.ru                                                                                                                                                                                                                                         
206;Государственное бюджетное образовательное учреждение города Москвы детская школа искусств «Вдохновение»                                                                                                                                                       ;Детская школа искусств «Вдохновение»                                                                                                                                                                                                                          ;119607 Мичуринский проспект, д. 9 б                                                                                                                                                                                                                           ;633,3131446;3874,213483;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Раменки                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ; (499) 726-58-07                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;www.sch-vdohnovenie.mskzapad.ru                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              
209;Государственное бюджетное образовательное учреждение города Москвы детская школа искусств                                                                                                                                                                     ;Детская школа искусств                                                                                                                                                                                                                                        ;129642 Дежнева проезд, д. 8А                                                                                                                                                                                                                                  ;9014,683457;22925,92342;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Южное Медведково                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ; (495) 477-11-44                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
211;Государственное бюджетное образовательное учреждение города Москвы детская школа искусств «Аккорд»                                                                                                                                                            ;Детская школа искусств «Аккорд»                                                                                                                                                                                                                               ;117463 Новоясеневский проспект, 32 к.2                                                                                                                                                                                                                        ;2515,74195;-7141,798454;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Западный АО                                                                                                                                                                                                                                               ;Ясенево                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;(495) 422-87-83                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
212;Государственное бюджетное образовательное учреждение города Москвы детская школа искусств «Юность»                                                                                                                                                            ;Детская школа искусств «Юность»                                                                                                                                                                                                                               ;117420 Новочеремушкинская улица, 64, корп.3                                                                                                                                                                                                                   ;3725,98115;-309,9302217;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Западный АО                                                                                                                                                                                                                                               ;Черемушки                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;(495) 331-41-66                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;www.unost.mosuzedu.ru                                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              
213;Государственное бюджетное образовательное учреждение города Москвы детская школа искусств «Родник»                                                                                                                                                            ;Детская школа искусств «Родник»                                                                                                                                                                                                                               ;115477 Кантемировская улица, д. 15, корп. 2                                                                                                                                                                                                                   ;10738,98248;-3542,259291;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Царицыно                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;(495) 322-54-17                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;www.rodnikart.ru/                                                                                                                                                                                                                                             ;                                                                                                                                                                                                                                                              
