0_Код;1_Название;1_Адрес;1_Телефон;1_Режим работы;0_Доп.компания;0_Тип;0_Тип Выходного;0_Доп информация
4729;ООО Эко-Гарант;109542, город Москва, Свободы улица, дом 6/3;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-2872,0104;17639,4625
5153;ГУП Столичные аптеки - 64;125239, город Москва, Уссурийская улица, дом 11, корпус 3;(499)616-22-11;"Пн-Пт 09.00-20.00; Сб. Вс. - выходной";нет информации;Аптека;20197,4076;17795,9987
671;ООО АПТЕКА-А.в.е - 22;115093, город Москва, Свободы улица, дом 14;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-2790,4231;18265,6724
5252;ГУП Столичные аптеки - 129;125239, город Москва, 2-й Тушинский проезд, дом 8;(499)616-22-11;пн-пт с 9 до 20. сб с 10 до 18. вс вых.;нет информации;Аптека;-4970,1178;18730,9639
4013;ООО Аптека-органик;125464, город Москва, Новотушинский проезд, дом 6, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-7219,4722;18947,6485
2722;ООО ФАРМ-ОРИОН - 2;129344, город Москва, Ярославское шоссе, дом 63;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;12676,4797;22134,8095
744;ООО Цито Фарм;109559, город Москва, Ярославское шоссе, дом 107;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;12970,7696;22355,3824
3422;ООО Эталон-М;129337, город Москва, Ярославское шоссе, дом 114, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;13124,7778;22180,1679
5301;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 73;127018, город Москва, Смольная улица, дом 63;(499)616-22-11;ПН-ПТ 08.00-20.00. СБ 10.00-18.00. ВС-выходной;нет информации;Аптека;-1671,9829;22605,0887
766;ОАО Торговая сеть АПТЕЧКА - 10;129515, город Москва, Генерала Тюленева улица, дом 25, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-630,9728;-5259,07
1005;ОАО Торговая сеть АПТЕЧКА - 249;129515, город Москва, Генерала Тюленева улица, дом 25А;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-699,5523;-5321,2004
1134;ООО Витим и Ко - 65;115201, город Москва, Бакинская улица, дом 17;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10049,9766;-5180,6848
5113;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 17;127018, город Москва, Маршала Захарова улица, дом 18, корпус 2;(495)343-35-55;ПН-ПТ 08.00-20.00. СБ-ВС 10.00-18.00;нет информации;Аптека;12513,7227;-5149,5309
3315;ООО ДОКТОР Н;127051, город Москва, Шипиловская улица, дом 40;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;14332,4775;-5138,0998
992;ОАО Торговая сеть АПТЕЧКА - 236;129515, город Москва, Ореховый проезд, дом 33, строение 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14642,6105;-5335,6417
4551;ООО Телесервис;115580, город Москва, Мусы Джалиля улица, дом 27, корпус 2, строение 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15608,2017;-5317,5931
3483;ООО Аптечная сеть Знахарь - 3;121359, город Москва, Ореховый Бульвар, дом 71, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16603,1398;-5287,9365
119;Аптечный пункт. Филиал № 2 Государственное бюджетное учреждениеЗ ГП № 134 ДЗМ;125009, город Москва, Профсоюзная улица, дом 154, корпус 4;(499)404-92-70;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00";ОАО Фармимекс;Аптечный пункт;216,0404;-4913,8255
5024;ИП Скобелева Марина Александровна;115563, город Москва, Генерала Белова улица, дом 9;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;13796,3257;-4940,7703
4667;ООО Здоровье.Ком;125414, город Москва, Фестивальная улица, дом 44;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;747,9473;21833,0202
2360;ООО Наша Аптека - 1;109382, город Москва, Хачатуряна улица, дом 20;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6646,9539;21709,8177
5218;ГУП Столичные аптеки - 104;125239, город Москва, Старобитцевская улица, дом 15, корпус 3;(499)404-92-70;пн-пт 8.00-20.00. сб 10.00-18.00. вс-выходной;нет информации;Аптека;5336,704;-10245,6802
2585;ООО ЗападВЕСТ;119296, город Москва, Чертановская улица, дом 63, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5711,0159;-7798,6317
3096;ООО Фирма ПОДВОРЬЕ - 1;117574, город Москва, Новоясеневский Проспект, дом 22, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;1794,7315;-6705,0841
4738;ООО Артемида;109548, город Москва, Ореховый Бульвар, дом 41;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15299,3388;-5758,8745
2854;ОАО Торговая сеть АПТЕЧКА - 308;129515, город Москва, Чертановская улица, дом 7, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6616,9394;-4114,6805
3544;ООО Управляющая компания Фармаком - 1;119269, город Москва, Профсоюзая улица, дом 124;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1232,4972;-3777,029
873;ОАО Торговая сеть АПТЕЧКА - 117;129515, город Москва, Профсоюзная улица, дом 118, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1393,6155;-3368,6768
933;ОАО Торговая сеть АПТЕЧКА - 177;129515, город Москва, Боровское шоссе, дом 43, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-8825,3899;-3143,4898
4828;ООО ФОРУМ - 3;109382, город Москва, Олонецкая улица, дом 21;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7572,5469;21042,082
5000;ООО ВДЛ-Фарм;0, город Москва, Ярославское шоссе, дом 22, корпус 3;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11753,4151;21130,989
2345;ООО Фармастар - 14;115035, город Москва, Голубинская улица, дом 32/2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;2973,0406;-8095,3543
4877;ООО Любимая аптека - 1;117042, город Москва, Липецкая улица, дом 22;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10943,3704;-8214,8
2076;ООО Клиника Современных Медицинских Технологий;109004, город Москва, Товарищеский переулок, дом 1, строение 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10029,8528;8309,9875
4987;ООО Ферон - 5;125438, город Москва, Таганская улица, дом 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10013,4104;8223,6279
4829;ООО ИнТорг;125009, город Москва, Большая Андроньевская улица, дом 22;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10793,8578;8214,5118
1913;ООО Амадея;127644, город Москва, Новокосинская улица, дом 22;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;22791,2898;8189,1225
362;ЗАО Аптеки 36.6 - 28;111250, город Москва, Барклая улица, дом 10А;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;88,9379;8419,7912
428;ЗАО Аптеки 36.6 - 94;111250, город Москва, Рогожский Вал улица, дом 5, строение 9;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;11335,7245;8613,1584
5106;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 14;127018, город Москва, Суздальская улица, дом 20А;(495)343-35-55;ПН-ПТ 09.00-21.00. СБ-ВС 10.00-18.00.;нет информации;Аптека;22201,0086;8513,613
2883;ООО Эмерис;125040, город Москва, Новокосинская улица, дом 32;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;23171,8207;8407,4077
418;ЗАО Аптеки 36.6 - 84;111250, город Москва, Новокосинская улица, дом 32А, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;23178,3319;8467,0116
672;ООО АПТЕКА-А.в.е - 23;115093, город Москва, Балчуг улица, дом 2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7981,4836;8959,8324
5030;ООО МЕДХЭЛП - 1;115172, город Москва, Яузская улица, дом 11/6, корпус 4;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9568,7367;8821,4959
4073;ЗАО САНТАННА;109544, город Москва, Школьная улица, дом 26, строение 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11100,7124;8756,7301
3013;ООО АллоФарм - 2;125047, город Москва, Школьная улица, дом 49;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11200,3249;8812,3256
3189;ООО Аптека На Дежнева;127081, город Москва, Дежнева проезд, дом 27, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;8540,3375;22639,608
5345;Общество с ограниченной ответственностью Ригла - 28;115201, город Москва, Полярная улица, дом 3, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;8685,0802;22888,1095
5302;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 74;127018, город Москва, Ярославское шоссе, дом 117;(495)343-35-55;ПН-ПТ 08.00-20.00. СБ-ВС 10.00-18.00;нет информации;Аптека;13423,8226;22938,1035
5364;Общество с ограниченной ответственностью Ригла - 47;115201, город Москва, Керамический проезд, дом 51, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;4138,7901;23199,2627
5307;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 76;127018, город Москва, Проходчиков улица, дом 10, корпус 1;(499)616-22-11;ПН-ПТ 08.00-21.00. СБ-ВС 10.00-18.00;нет информации;Аптека;14069,596;23305,5485
3087;ООО Желаем Здоровья - 7;117105, город Москва, Инженерная улица, дом 15;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;4604,2343;23679,4013
3133;ЗАО Аптека на Римского-Корсакова;127566, город Москва, Римского-Корсакова улица, дом 12;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;6459,2003;22917,9316
5383;Общество с ограниченной ответственностью Ригла - 66;115201, город Москва, Сумской проезд, дом 15, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;6218,6344;-3766,319
2621;ООО Медбиолайн - 1;119620, город Москва, Дмитрия Ульянова улица, дом 28;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5090,273;2042,6921
319;ООО САМСОН-ФАРМА - 13;127486, город Москва, Строителей улица, дом 17, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;2121,84;2353,2493
810;ОАО Торговая сеть АПТЕЧКА - 54;129515, город Москва, Шоссейная улица, дом 11;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;14355,7194;2412,3348
5306;ГУП Столичные аптеки - 163;125239, город Москва, Ферсмана улица, дом 3, корпус 1;(499)404-92-70;пн-пт с 8 до 20. сб с 10 до 18. вс вых.;нет информации;Аптека;4771,73;3158,5081
5276;ГУП Столичные аптеки - 146;125239, город Москва, Талдомская улица, дом 15;(495)343-35-55;"Пн-Пт 08.00-20.00; Суб. 10.00-18.00. Вс. - выходной";нет информации;Аптека;1479,2265;23009,4806
1043;ОАО Торговая сеть АПТЕЧКА - 286;129515, город Москва, Полярная улица, дом 5, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8668,1142;22994,8747
668;ООО АПТЕКА-А.в.е - 19;115093, город Москва, Полярная улица, дом 16, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8705,1539;23342,997
2867;ООО Рецепт;119415, город Москва, Тайнинская улица, дом 14;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11646,086;23749,6965
4058;ООО Соцстор;105094, город Москва, Стартовая улица, дом 35;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;11913,5607;24415,8195
4787;ООО Аптека-Про;129329, город Москва, Стартовая улица, дом 9, корпус 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;12728,7475;24418,905
1914;ООО ЖА Аптека;109004, город Москва, Студеный проезд, дом 28;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10619,829;25139,637
3832;ЗАО ФАРМ ГРУПП;123610, город Москва, Ратная улица, дом 16, корпус 2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4602,8165;-10044,7865
5117;ГУП Столичные аптеки - 40;125239, город Москва, Ореховый Бульвар, дом 12, корпус 2;(499)404-92-70;пн-пт 8.00-20.00. сб 10.00-18.00. вс - выходной;нет информации;Аптека;13520,3622;-6619,7395
3366;ООО Аилантус;119634, город Москва, Лукинская улица, дом 9;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-10065,7716;-2587,037
5485;ЗАО Первая помощь - 9;196233, город Москва, Профсоюзная улица, дом 98, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;1778,6387;-2358,5447
5261;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 62;127018, город Москва, Щербаковская улица, дом 32/7;(499)404-92-70;ПН-ПТ 08.00-20.00. СБ 09.00-20.00. ВС 10.00-18.00;нет информации;Аптека;14551,2119;12848,9397
4934;ООО ИнТорг - 1;125009, город Москва, Русаковская улица, дом 22;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11328,4873;13311,6385
665;ООО АПТЕКА-А.в.е - 16;115093, город Москва, Академика Янгеля улица, дом 6, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5906,344;-7896,9331
4251;ООО МарОл-99;117525, город Москва, Липецкая улица, дом 16/14, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;10911,4798;-7929,8768
1061;ООО Кемист;125373, город Москва, Одоевского проезд, дом 3, корпус 7;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;702,7841;-7426,0201
1910;ООО ДискомСтандарт;117997, город Москва, Одоевского проезд, дом 11, корпус 7;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;927,434;-7659,6061
269;Филиал № 1 Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 170 ДЗМ»;127473, город Москва, Чертановская улица, дом 62, корпус 1;(499)616-22-11;отсутствует;"ЗАО ""Вилард""";Аптечный пункт;5622,1874;-7538,4976
553;ЗАО ЭРКАФАРМ - 39;107005, город Москва, Элеваторная улица, дом 12, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10441,8807;-7330,0729
121;Аптечный пункт. Филиал № 4 Государственное бюджетное учреждениеЗ КДП № 134 ДЗМ;119530, город Москва, Новоясеневский Проспект, дом 24, корпус 2;(495)343-35-55;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00";ЗАО ФТК Время;Аптечный пункт;1984,4326;-6888,2213
4;Аптечный пункт. Государственное бюджетное учреждение здравоохранения города Москвы Городская поликлиника № 170 ДЗМ;127473, город Москва, Подольских Курсантов улица, дом 2, корпус 2;(499)616-22-11;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00";"ЗАО ""Вилард""";Аптечный пункт;6965,6637;-6780,7043
966;ОАО Торговая сеть АПТЕЧКА - 210;129515, город Москва, Шипиловский проезд, дом 59, корпус 3, строение 3;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;13206,4309;-6946,1273
3241;ООО ИнтерКом - 1;105062, город Москва, Генерала Тюленева улица, дом 4А, строение 3;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-925,4915;-4627,3953
804;ОАО Торговая сеть АПТЕЧКА - 48;129515, город Москва, Генерала Тюленева улица, дом 2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-766,3765;-4544,5988
350;ЗАО Аптеки 36.6 - 16;111250, город Москва, Перовская улица, дом 33, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;17442,1766;9030,7184
3489;ОАО Камея;121099, город Москва, Новинский Бульвар, дом 1/2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5269,7001;9295,4756
2670;ООО Флория-С;127006, город Москва, Энтузиастов шоссе, дом 18;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;13562,3667;9254,7619
4915;ООО Марс - 1;129090, город Москва, Свободный Проспект, дом 22;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;19942,7196;9333,3622
41;Аптечный пункт. Филиал № 2 Государственное бюджетное учреждение здравоохранения города Москвы Городская поликлиника № 220 ДЗМ;127238, город Москва, Шелепихинская набережная, дом 12;(495)343-35-55;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00";ООО БИОТЭК;Аптечный пункт;1446,7905;9593,3001
2862;ООО Ваш Аптекарь;115612, город Москва, Осенний Бульвар, дом 5, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;-5723,8249;9951,3649
642;ООО Славянка-фарм - 1;111555, город Москва, Шмитовский проезд, дом 19;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;3103,9501;10015,9236
5244;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 57;127018, город Москва, Осенняя улица, дом 8, корпус 2;(495)343-35-55;ПН-ПТ 08.00-20.00. СБ-ВС 10.00-18.00;нет информации;Аптека;-5849,2475;10284,6841
571;ЗАО ЭРКАФАРМ - 57;107005, город Москва, митовский проезд, дом 10/7;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;3413,5875;10256,5946
5479;ЗАО Первая помощь - 4;196233, город Москва, Покровка улица, дом 4, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;8964,775;10197,7164
1048;ОАО Торговая сеть АПТЕЧКА - 291;129515, город Москва, Уссурийская. улица, дом 7;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;20025,377;17507,9242
4494;ООО Невия - 1;123242, город Москва, Тушинская улица, дом 12;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-3134,2565;17816,6544
1668;ООО БЕНТАНА-СТРОЙИНВЕСТ;113093, город Москва, Ташкентская улица, дом 35;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;19169,9975;3139,6329
4061;ООО ФАРМ ТРЕЙД - 1;109451, город Москва, Юных Ленинцев улица, дом 3;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14952,8734;3651,0018
4381;ООО Альбион;127006, город Москва, Ташкентская улица, дом 24, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;19573,2392;3767,1253
2516;ООО Кемпбел;127434, город Москва, Пронская улица, дом 8/4;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;21764,54;3699,6727
4721;ООО ПЛАНЕТА ЗДОРОВЬЯ - 5;115093, город Москва, Трофимова улица, дом 4;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;10331,2801;4012,8871
1167;ООО ХЕЛФИ;115432, город Москва, Сайкина улица, дом 21;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10684,5292;4091,6592
4353;ООО Фармпроф;101000, город Москва, Адмирала Ушакова Бульвар, дом 11;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;3223,5973;-13457,1437
4882;ООО Голд лайнс;111395, город Москва, Скобелевская улица, дом 20;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;3606,9538;-13434,5792
2571;ИП Сорокина Наталья Валентиновна;115409, город Москва, Скобелевская улица, дом 25, корпус 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;3817,0743;-13457,654
893;ОАО Торговая сеть АПТЕЧКА - 137;129515, город Москва, Елецкая улица, дом 15;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14843,4113;-6613,7965
116;Аптечный пункт. Филиал № 1 Государственное бюджетное учреждениеЗ ГП № 134 ДЗМ;125009, город Москва, Тарусская улица, дом 6, корпус 1;(499)404-92-70;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00";ОАО Фармимекс;Аптечный пункт;2296,6512;-6276,515
5277;ГУП Столичные аптеки - 147;127018, город Москва, Ясногорская улица, дом 3А;(499)404-92-70;отсутствует;нет информации;Аптечный пункт;2600,5683;-6261,9192
4394;ООО Нова-Вита - 1;119034, город Москва, Строгинский Бульвар, дом 30;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-5747,5945;15054,496
5260;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 61;127018, город Москва, Хабаровская улица, дом 12/23;(495)343-35-55;ПН-ПТ 08.00-21.00. СБ 09.00-20.00. ВС 10.00-18.00;нет информации;Аптека;20589,4983;17265,0545
2935;ООО Здравие - 1;125459, город Москва, Стратонавтов проезд, дом 11, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-3932,5794;17846,972
3269;ООО Фортуна - 2;125464, город Москва, Дубравная улица, дом 38;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-8893,9786;19786,5158
3311;ООО ФАРМ-РЕГИОН;125368, город Москва, Дубравная улица, дом 40;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;-8986,4403;19681,1619
911;ОАО Торговая сеть АПТЕЧКА - 155;129515, город Москва, Туристская улица, дом 8;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-4627,9697;20370,6374
4031;ООО АПТЕКА ФОРТЕ - 5;123423, город Москва, Яна Райниса Бульвар, дом 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-3886,8637;20360,148
3183;ООО ПриорФарма;115184, город Москва, Пятницкое шоссе, дом 41;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;-9138,3256;21124,5705
1760;ООО Аптека 03 Фармика;119602, город Москва, Покрышкина улица, дом 9;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-2007,6839;-407,9976
2607;ООО Лету-М;119261, город Москва, Вернадского Проспект, дом 105;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-777,7245;-453,0658
4480;ООО ФАРМСИТИ - 2;109012, город Москва, Ленинский Проспект, дом 105, корпус 3;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;1215,9095;-307,313
2708;ООО Фармшоп;109559, город Москва, Витте аллея, дом 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2581,6213;-13034,6952
1132;ООО Витим и Ко - 63;115201, город Москва, Скобелевская улица, дом 12;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;3513,1911;-13094,0311
5367;Общество с ограниченной ответственностью Ригла - 50;115201, город Москва, Луганская улица, дом 7, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;10666,0163;-4703,8622
4850;ООО ЭЛАВТО;115563, город Москва, Борисовский проезд, дом 14, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14090,3475;-4574,8639
5238;ГУП Столичные аптеки - 120;125239, город Москва, Мусы Джалиля улица, дом 15, строение 2;(495)343-35-55;пн-пт с 8 до 20. сб с 10 до 18. вс вых.;нет информации;Аптека;15482,6492;-4724,3578
3089;ЗАО Фармацевитическая компания СЕСАНА;117133, город Москва, Академика Варги улица, дом 5;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;-1408,9896;-4296,5249
5068;ГУП Столичные аптеки - 11;125239, город Москва, Теплый Стан улица, дом 12, корпус 1;(495)343-35-55;пн-пт 8.00 -20.00. сб 10.00-18.00. вс - выходной;нет информации;Аптека;-738,4051;-4182,564
241;Аптечный пункт. Филиал № 1 Государственное бюджетное учреждение здравоохранения города Москвы «Кардиологический диспансер № 2 ДЗМ»;127473, город Москва, Чертановская улица, дом 14;(499)616-22-11;отсутствует;"ЗАО ""Вилард""";Аптечный пункт;6227,0815;-4153,0335
18;Аптечный пункт. Филиал № 2 Государственное бюджетное учреждение города Москвы Городская поликлиника № 166 ДЗМ;127473, город Москва, Кавказский Бульвар, дом 45;(499)404-92-70;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00";"ЗАО ""Вилард""";Аптечный пункт;9572,4148;-4373,6042
