1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
65;Культурный центр Венгерской Республики                                                                                                                                                                                                                        ;Культурный центр Венгерской Республики                                                                                                                                                                                                                        ;Поварская, 21                                                                                                                                                                                                                                                 ;5822,7376;9837,942167;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 691 31 34, 691 37 47                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
66;Особняк князя Голицына                                                                                                                                                                                                                                        ;Особняк князя Голицына                                                                                                                                                                                                                                        ;Козицкий пер., 5                                                                                                                                                                                                                                              ;6987,3751;10919,04396;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 694 03 71                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
67;Концертный зал на Пречистенке                                                                                                                                                                                                                                 ;Концертный зал на Пречистенке                                                                                                                                                                                                                                 ;Пречистенка, 32                                                                                                                                                                                                                                               ;5803,954602;8196,004564;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 637 37 83                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
68;Дом культуры КСРК ВОС                                                                                                                                                                                                                                         ;Дом культуры КСРК ВОС                                                                                                                                                                                                                                         ; Куусинена, 19а                                                                                                                                                                                                                                               ;797,56085;13424,79878;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 943 16 67, (495) 782 01 68                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
69;Центральный клуб МВД России                                                                                                                                                                                                                                   ;Центральный клуб МВД России                                                                                                                                                                                                                                   ;Б.Лубянка, 13                                                                                                                                                                                                                                                 ;8225,512575;10833,76959;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 667 12 83, 667 12 03                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
70;Лекториум                                                                                                                                                                                                                                                     ;Лекториум                                                                                                                                                                                                                                                     ;Садовническая, 61, вход в арку                                                                                                                                                                                                                                ;8247,253193;8925,459884;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 910 477 51 70, 8 916 449 17 04                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
71;Александровский                                                                                                                                                                                                                                               ;Александровский                                                                                                                                                                                                                                               ;Земледельческий пер., 20                                                                                                                                                                                                                                      ;5096,831811;8380,62167;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 739 59 75, 782 84 49                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
72;Концертный зал музея на Поклонной горе                                                                                                                                                                                                                        ;Концертный зал музея на Поклонной горе                                                                                                                                                                                                                        ;пл. Победы, 3, основное здание                                                                                                                                                                                                                                ;353,209575;7063,603025;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 148 55 70                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
73;Метелица                                                                                                                                                                                                                                                      ;Метелица                                                                                                                                                                                                                                                      ;Н.Арбат, 21                                                                                                                                                                                                                                                   ;5446,262575;9451,918941;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 691 12 12                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
74;Дом культуры им. Петлюры                                                                                                                                                                                                                                      ;Дом культуры им. Петлюры                                                                                                                                                                                                                                      ;Петровка, 28                                                                                                                                                                                                                                                  ;7295,4975;11228,02565;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 917 563 92 24                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
75;Sandler’s Concert Hall                                                                                                                                                                                                                                        ;Sandler’s Concert Hall                                                                                                                                                                                                                                        ;Потаповский пер., 3                                                                                                                                                                                                                                           ;8927,575075;10631,24951;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 662 28 24                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
76;Вдохновение                                                                                                                                                                                                                                                   ;Вдохновение                                                                                                                                                                                                                                                   ;Литовский б-р, 7                                                                                                                                                                                                                                              ;2554,414573;-5929,674591;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 425 55 11                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
77;Барвиха Luxury Village                                                                                                                                                                                                                                        ;Барвиха Luxury Village                                                                                                                                                                                                                                        ;8-й км Рублево-Успенского ш., 114                                                                                                                                                                                                                             ;37,263227;55,739055;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 933 33 99, 933 73 63                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
