1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
66;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;Мясницкая ул, д. 22, стр. 3                                                                                                                                                                                                                                   ;37,634379;55,761861;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
67;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;Оружейный переулок вл.45                                                                                                                                                                                                                                      ;37,607765;55,773873;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
68;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;Огородная слобода пер.6                                                                                                                                                                                                                                       ;37,643046;55,765248;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
69;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;Поварская 33                                                                                                                                                                                                                                                  ;37,586224;55,75734;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
70;Сквер на площади Цезаря Куникова                                                                                                                                                                                                                              ;Сквер на площади Цезаря Куникова                                                                                                                                                                                                                              ;ул. Покровка, 47                                                                                                                                                                                                                                              ;37,65521;55,764078;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
71;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;ул. Покровка,20                                                                                                                                                                                                                                               ;37,647053;55,759096;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
72;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;Пятницкая, д. 67                                                                                                                                                                                                                                              ;37,627456;55,732137;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
73;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;Хитровская площадь                                                                                                                                                                                                                                            ;37,643593;55,753056;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
74;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;Никитская 7-10                                                                                                                                                                                                                                                ;37,607133;55,755579;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
75;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;ул. Каланчевская д. 17                                                                                                                                                                                                                                        ;37,653113;55,772827;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
76;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;ул. Подвойского                                                                                                                                                                                                                                               ;37,537082;55,764094;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
77;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;Зубовская площадь                                                                                                                                                                                                                                             ;37,585206;55,738489;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
78;Сквер                                                                                                                                                                                                                                                         ;Сквер                                                                                                                                                                                                                                                         ;2-ой Щемиловский пер                                                                                                                                                                                                                                          ;37,609633;55,780097;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
