1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Электронная почтаl
402;Библиотека №106 им. В.Бианки                                                                                                                                                                                                                                  ;Библиотека №106 им. В.Бианки                                                                                                                                                                                                                                  ;121433, г.Москва, ул. Большая Филевская, д.43                                                                                                                                                                                                                 ;-1520,832975;8219,091979;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;(495) 415-90-54                                                                                                                                                                                                                                               ;(495) 415-94-04                                                                                                                                                                                                                                               ;cls-kuntsevo.ru                                                                                                                                                                                                                                               ;info@kunlib.ru                                                                                                                                                                                                                                                
403;Детская библиотека №111                                                                                                                                                                                                                                       ;Детская библиотека №111                                                                                                                                                                                                                                       ;121609, г.Москва, Рублевское ш., д.44/2                                                                                                                                                                                                                       ;-5391,20715;9524,416224;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;(495) 415-90-54                                                                                                                                                                                                                                               ;(495) 415-94-04                                                                                                                                                                                                                                               ;cls-kuntsevo.ru                                                                                                                                                                                                                                               ;info@kunlib.ru                                                                                                                                                                                                                                                
404;Детская библиотека №147                                                                                                                                                                                                                                       ;Детская библиотека №147                                                                                                                                                                                                                                       ;121353, г.Москва, ул. Беловежская, д.39/3                                                                                                                                                                                                                     ;-6499,0715;4872,454373;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;(495) 415-90-54                                                                                                                                                                                                                                               ;(495) 415-94-04                                                                                                                                                                                                                                               ;cls-kuntsevo.ru                                                                                                                                                                                                                                               ;info@kunlib.ru                                                                                                                                                                                                                                                
405;Библиотека №182                                                                                                                                                                                                                                               ;Библиотека №182                                                                                                                                                                                                                                               ;121500, г.Москва, Обводное ш., д.6                                                                                                                                                                                                                            ;-8858,727625;13074,63948;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;(495) 415-90-54                                                                                                                                                                                                                                               ;(495) 415-94-04                                                                                                                                                                                                                                               ;cls-kuntsevo.ru                                                                                                                                                                                                                                               ;info@kunlib.ru                                                                                                                                                                                                                                                
406;Библиотека семейного чтения №185                                                                                                                                                                                                                              ;Библиотека семейного чтения №185                                                                                                                                                                                                                              ;121108, г.Москва, ул. Кастанаевская, д.52                                                                                                                                                                                                                     ;-1789,571083;7523,086062;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;(495) 415-90-54                                                                                                                                                                                                                                               ;(495) 415-94-04                                                                                                                                                                                                                                               ;cls-kuntsevo.ru                                                                                                                                                                                                                                               ;info@kunlib.ru                                                                                                                                                                                                                                                
407;Библиотека №193 им. А.Ахматовой                                                                                                                                                                                                                               ;Библиотека №193 им. А.Ахматовой                                                                                                                                                                                                                               ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;-5477,53865;10913,36374;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;(495) 415-90-54                                                                                                                                                                                                                                               ;(495) 415-94-04                                                                                                                                                                                                                                               ;cls-kuntsevo.ru                                                                                                                                                                                                                                               ;info@kunlib.ru                                                                                                                                                                                                                                                
408;Юношеская библиотека №228 им.Н.Гумилева                                                                                                                                                                                                                       ;Юношеская библиотека №228 им.Н.Гумилева                                                                                                                                                                                                                       ;121357, г.Москва, ул. Кременчугская, д.22                                                                                                                                                                                                                     ;-2320,991222;5676,308974;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;(495) 415-90-54                                                                                                                                                                                                                                               ;(495) 415-94-04                                                                                                                                                                                                                                               ;cls-kuntsevo.ru                                                                                                                                                                                                                                               ;info@kunlib.ru                                                                                                                                                                                                                                                
409;Библиотека №272 «Бестселлер»                                                                                                                                                                                                                                  ;Библиотека №272 «Бестселлер»                                                                                                                                                                                                                                  ;121357, г.Москва, Аминьевское ш., д.24                                                                                                                                                                                                                        ;-2846,055083;5454,289845;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Крылатское                                                                                                                                                                                                                                                    ;121614, г.Москва, ул. Крылатские холмы, д.34                                                                                                                                                                                                                  ;(495) 415-90-54                                                                                                                                                                                                                                               ;(495) 415-94-04                                                                                                                                                                                                                                               ;cls-kuntsevo.ru                                                                                                                                                                                                                                               ;info@kunlib.ru                                                                                                                                                                                                                                                
410;Государственное бюджетное учреждение культуры города Москвы «ЦБС «Солнцево»                                                                                                                                                                                   ;ГБУК г.Москвы «ЦБС «Солнцево»                                                                                                                                                                                                                                 ;119619, г.Москва, ул. Авиаторов, д.7                                                                                                                                                                                                                          ;-5992,182875;-2861,870878;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119619, г.Москва, ул. Авиаторов, д.7                                                                                                                                                                                                                          ;(495) 439-54-29                                                                                                                                                                                                                                               ;(495) 439-54-29                                                                                                                                                                                                                                               ;cbs-solncevo.ru                                                                                                                                                                                                                                               ;art-solncevo@yandex.ru                                                                                                                                                                                                                                        
411;Библиотека №33                                                                                                                                                                                                                                                ;Библиотека №33                                                                                                                                                                                                                                                ;119027, г.Москва, ул. Большая Внуковская, д.23                                                                                                                                                                                                                ;-12678,04755;-6295,319748;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119619, г.Москва, ул. Авиаторов, д.7                                                                                                                                                                                                                          ;(495) 439-54-29                                                                                                                                                                                                                                               ;(495) 439-54-29                                                                                                                                                                                                                                               ;cbs-solncevo.ru                                                                                                                                                                                                                                               ;art-solncevo@yandex.ru                                                                                                                                                                                                                                        
412;Центральная детская библиотека №163                                                                                                                                                                                                                           ;Центральная детская библиотека №163                                                                                                                                                                                                                           ;119618, г.Москва, ул. Богданова, д.14                                                                                                                                                                                                                         ;-5703,95555;-1054,575552;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119619, г.Москва, ул. Авиаторов, д.7                                                                                                                                                                                                                          ;(495) 439-54-29                                                                                                                                                                                                                                               ;(495) 439-54-29                                                                                                                                                                                                                                               ;cbs-solncevo.ru                                                                                                                                                                                                                                               ;art-solncevo@yandex.ru                                                                                                                                                                                                                                        
413;Библиотека №166                                                                                                                                                                                                                                               ;Библиотека №166                                                                                                                                                                                                                                               ;119634, г.Москва, Боровское ш., д.46                                                                                                                                                                                                                          ;-9458,9403;-3417,011589;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119619, г.Москва, ул. Авиаторов, д.7                                                                                                                                                                                                                          ;(495) 439-54-29                                                                                                                                                                                                                                               ;(495) 439-54-29                                                                                                                                                                                                                                               ;cbs-solncevo.ru                                                                                                                                                                                                                                               ;art-solncevo@yandex.ru                                                                                                                                                                                                                                        
414;Библиотека №179                                                                                                                                                                                                                                               ;Библиотека №179                                                                                                                                                                                                                                               ;119297, г.Москва, ул. Родниковая, д.12 корп.1                                                                                                                                                                                                                 ;-7416,5938;-3341,396914;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119619, г.Москва, ул. Авиаторов, д.7                                                                                                                                                                                                                          ;(495) 439-54-29                                                                                                                                                                                                                                               ;(495) 439-54-29                                                                                                                                                                                                                                               ;cbs-solncevo.ru                                                                                                                                                                                                                                               ;art-solncevo@yandex.ru                                                                                                                                                                                                                                        
