№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Официальный сайт	Адрес электронной почты	Округ	Район	Тип объекта
2266	Дворовая площадка	улица Мурановская, дом 21	Муниципалитет	(499) 745-33-38	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2267	Дворовая площадка	улица Мурановская, дом 4	Муниципалитет	(499) 745-33-39	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2268	Дворовая площадка	улица Мурановская, дом 7	Муниципалитет	(499) 745-33-17	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2269	Дворовая площадка	улица Мусоргского, дом 1	Муниципалитет	(499) 903-34-47	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	дворовые спортивные площадки
2270	Дворовая площадка	улица Мусоргского, дом 5, корпус 2	Муниципалитет	(499) 903-34-47	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	дворовые спортивные площадки
2271	Дворовая площадка	улица Мусоргского, дом 5, корпус 3	Муниципалитет	(499) 903-34-47	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	дворовые спортивные площадки
2272	Дворовая площадка	улица Мусы Джалиля, дом 23/53	Муниципалитет	(495) 396-15-76	zyablikovo-mos.ru	-	ЮАО	Зябликово	дворовые спортивные площадки
2273	Дворовая площадка	улица Мусы Джалиля, дом 27, корпус 2	Муниципалитет	(495) 396-15-76	zyablikovo-mos.ru	-	ЮАО	Зябликово	дворовые спортивные площадки
2274	Дворовая площадка	улица Мусы Джалиля, дом 28, корпу с1	Муниципалитет	(495) 396-15-76	zyablikovo-mos.ru	-	ЮАО	Зябликово	дворовые спортивные площадки
2275	Дворовая площадка	улица Планерная, дом 14, корпус 5	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	дворовые спортивные площадки
2276	Дворовая площадка	улица Нижегородская, дом 94, корпус 2	Муниципалитет	(495) 678-11-93	-	-	ЮВАО	Нижегородский	дворовые спортивные площадки
2277	Дворовая площадка	улица Нижегородская, дом 9Б	Муниципалитет	(499) 764-23-48 (499) 707-24-79	tag-mun.ru sportcentrmsk.ru	-	ЦАО	Таганский	дворовые спортивные площадки
2278	Дворовая площадка	улица Нижняя Масловка, дом 14	Муниципалитет	(495) 656-41-47	sav.sao.mos.ru	-	САО	Савеловский	дворовые спортивные площадки
2279	Дворовая площадка	улица Нижняя Масловка, дом 5	Муниципалитет	(495) 656-36-67	begovoe.ru	-	САО	Беговой	дворовые спортивные площадки
2280	Дворовая площадка	улица Нижняя Первомайская, дом 53	Муниципалитет	(495) 965-57-64	vostizm.ru	-	ВАО	Восточное Измайлово	дворовые спортивные площадки
2281	Дворовая площадка	улица Нижняя, дом 11	Муниципалитет	(495) 656-36-67	begovoe.ru	-	САО	Беговой	дворовые спортивные площадки
2282	Дворовая площадка	улица Никитинская, дом 1, корпус 2	Муниципалитет	(499) 165-99-83	izmaylovo-vao.ru	-	ВАО	Измайлово	дворовые спортивные площадки
2283	Дворовая площадка	улица Никитинская, дом 22	Муниципалитет	(495) 287-80-05	-	-	ВАО	Северное Измайлово	дворовые спортивные площадки
2284	Дворовая площадка	улица Никитинская, дом 27, корпус 2	Муниципалитет	(495) 287-80-05	-	-	ВАО	Северное Измайлово	дворовые спортивные площадки
2285	Дворовая площадка	улица Николая Старостина, дом 7	Муниципалитет	(499) 742-22-50	-	-	ВАО	Новокосино	дворовые спортивные площадки
2286	Дворовая площадка	улица Николая Химушкина, дом 9, корпус 1	Муниципалитет	(499) 966-72-18	-	-	ВАО	Метрогородок	открытые ледовые катки на месте спортивных площадок (сезонные)
2287	Дворовая площадка	улица Никулинская, дом 11	Муниципалитет	(499) 730-37-18	troparevo-zao.ru	-	ЗАО	Тропарёво-Никулино	дворовые спортивные площадки
2288	Дворовая площадка	улица Никулинская, дом 23, корпус 3	Муниципалитет	(499) 730-37-18	troparevo-zao.ru	-	ЗАО	Тропарёво-Никулино	открытые ледовые катки на месте спортивных площадок (сезонные)
2289	Дворовая площадка	улица Новаторов, дом 26	Муниципалитет	(499) 723-05-15	munobruchevskoe.ru	-	ЮЗАО	Обручевский	дворовые спортивные площадки
2290	Дворовая площадка	улица Привольная, дом 65/32	Муниципалитет	(495) 657-60-59	vihyno.org	-	ЮВАО	Выхино-Жулебино	дворовые спортивные площадки
2291	Дворовая площадка	улица Новоорловская, дом 8, корпус 1	Муниципалитет	(495) 733-06-45	np-mos.ru	mun-np@mail.ru	ЗАО	Ново-Переделкино	открытые ледовые катки на месте спортивных площадок (сезонные)
2292	Дворовая площадка	улица Новоостаповская, дом 6	Муниципалитет	(495) 958-98-64	-	-	ЮВАО	Южнопортовый	открытые ледовые катки на месте спортивных площадок (сезонные)
2293	Дворовая площадка	улица Новопеределкинская, дом 12, корпус 1	Муниципалитет	(495) 733-06-45	np-mos.ru	mun-np@mail.ru	ЗАО	Ново-Переделкино	открытые ледовые катки на месте спортивных площадок (сезонные)
2294	Дворовая площадка	улица Новопеределкинская, дом 16	Муниципалитет	(495) 733-06-45	np-mos.ru	mun-np@mail.ru	ЗАО	Ново-Переделкино	открытые ледовые катки на месте спортивных площадок (сезонные)
2295	Дворовая площадка	улица Новопеределкинская, дом 8	Муниципалитет	(495) 733-06-45	np-mos.ru	mun-np@mail.ru	ЗАО	Ново-Переделкино	открытые ледовые катки на месте спортивных площадок (сезонные)
2296	Дворовая площадка	улица Новопесчаная, дом 17/7	Муниципалитет	(499) 195-96-96	sok.sao.mos.ru	-	САО	Сокол	открытые ледовые катки на месте спортивных площадок (сезонные)
2297	Дворовая площадка	улица Новопоселковая, дом 11А	Муниципалитет	(495) 949-48-09	u-tushino.ru	-	СЗАО	Южное Тушино	дворовые спортивные площадки
2298	Дворовая площадка	улица Новороссийская, дом 32	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2299	Дворовая площадка	улица Новосибирская, дом 6, корпус 2	Муниципалитет	(495) 462-03-59	-	-	ВАО	Гольяново	дворовые спортивные площадки
2300	Дворовая площадка	улица Новочеремушкинская, дом 23	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	открытые ледовые катки на месте спортивных площадок (сезонные)
2301	Дворовая площадка	улица Краснодарская, дом 35	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2302	Дворовая площадка	улица Краснодарская, дом 38/20	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2303	Дворовая площадка	улица Краснодарская, дом 52	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2304	Дворовая площадка	улица Краснодарская, дом 57	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2305	Дворовая площадка	улица Медынская, дом 8, корпус 2	Муниципалитет	-	-	-	ЮАО	Бирюлёво Западное	дворовые спортивные площадки
2306	Дворовая площадка	улица Мелиховская, дом 2	Муниципалитет	(499) 745-33-48	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2307	Дворовая площадка	улица Мелиховская, дом 4	Муниципалитет	(499) 745-33-49	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2308	Дворовая площадка	улица Менжинского, дом 23, корпус 2	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2309	Дворовая площадка	улица Менжинского, дом 24, корпус 2	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2310	Дворовая площадка	улица Менжинского, дом 26, корпус 2	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2311	Дворовая площадка	улица Менжинского, дом 38, корпус 2	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2312	Дворовая площадка	улица Металлургов, дом 19	Муниципалитет	(495) 303-86-00	perovo-moscow.ru	-	ВАО	Перово	дворовые спортивные площадки
2313	Дворовая площадка	улица Металлургов, дом 30	Муниципалитет	(495) 303-86-00	perovo-moscow.ru	-	ВАО	Перово	открытые ледовые катки на месте спортивных площадок (сезонные)
2314	Дворовая площадка	улица Металлургов, дом 41, корпус 6	Муниципалитет	(495) 300-62-56	ivanovskoe-vostok.ru	-	ВАО	Ивановское	дворовые спортивные площадки
2315	Дворовая площадка	улица Оренбургская, дом 26	Муниципалитет	(495) 700-00-43	-	-	ВАО	Косино-Ухтомский	дворовые спортивные площадки
2316	Дворовая площадка	улица Оршанская, дом 2, корпус 1	Муниципалитет	(495) 657-60-59	vihyno.org	-	ЮВАО	Выхино-Жулебино	дворовые спортивные площадки
2317	Дворовая площадка	улица Оршанская, дом 3, корпус 1	Муниципалитет	(495) 657-60-59	vihyno.org	-	ЮВАО	Выхино-Жулебино	дворовые спортивные площадки
2318	Дворовая площадка	улица Оршанская, дом 9	Муниципалитет	-	-	-	ЗАО	Кунцево	дворовые спортивные площадки
2319	Дворовая площадка	улица Осенняя, дом 16	Муниципалитет	-	-	-	ЗАО	Крылатское	дворовые спортивные площадки
2320	Дворовая площадка	улица Планерная, дом 16, корпус 5	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	дворовые спортивные площадки
2321	Дворовая площадка	улица Планерная, дом 18, корпус 1	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	дворовые спортивные площадки
2322	Дворовая площадка	улица Планерная, дом 5, корпус 3	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	открытые ледовые катки на месте спортивных площадок (сезонные)
2323	Дворовая площадка	улица Планерная, дом 7, корпус 1	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	дворовые спортивные площадки
2324	Дворовая площадка	улица Планетная, дом 24	Муниципалитет	(499) 747-71-55	aer.sao.mos.ru	-	САО	Аэропорт	дворовые спортивные площадки
2325	Дворовая площадка	улица Планетная, дом 29	Муниципалитет	(499) 747-71-55	-	-	САО	Аэропорт	дворовые спортивные площадки
2326	Дворовая площадка	улица Планетная, дом 47	Муниципалитет	(499) 747-71-55	aer.sao.mos.ru	-	САО	Аэропорт	дворовые спортивные площадки
2327	Дворовая площадка	улица Планетная, дома 40-42	Муниципалитет	(499) 747-71-55	aer.sao.mos.ru	-	САО	Аэропорт	дворовые спортивные площадки
2328	Дворовая площадка	улица Платовская, дом 4	Муниципалитет	(499) 249-07-67	dorogomilovo.info	dorogomilovomun@yandex.ru	ЗАО	Дорогомилово	дворовые спортивные площадки
2329	Дворовая площадка	улица Плеханова, дом 18, корпус 1	Муниципалитет	(495) 303-86-00	perovo-moscow.ru	-	ВАО	Перово	дворовые спортивные площадки
2330	Дворовая площадка	улица Плеханова, дом 22, корпус 1	Муниципалитет	(495) 303-86-00	perovo-moscow.ru	-	ВАО	Перово	дворовые спортивные площадки
2331	Дворовая площадка	улица Плеханова, дом 35	Муниципалитет	(495) 303-86-00	perovo-moscow.ru	-	ВАО	Перово	дворовые спортивные площадки
2332	Дворовая площадка	улица Плещеева, дом 11	Муниципалитет	(499) 745-33-26	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2333	Дворовая площадка	улица Расплетина, дом 1	Муниципалитет	(499) 194-99-01	shukino.ru	-	СЗАО	Щукино	дворовые спортивные площадки
2334	Дворовая площадка	улица Расплетина, дом 12, корпус 2	Муниципалитет	(499) 194-99-01	shukino.ru	-	СЗАО	Щукино	дворовые спортивные площадки
2335	Дворовая площадка	улица Привольная, дом 73, корпус 2	Муниципалитет	(495) 657-60-59	vihyno.org	-	ЮВАО	Выхино-Жулебино	дворовые спортивные площадки
2336	Дворовая площадка	улица Привольная, дом 9, корпус 1	Муниципалитет	(495) 657-60-59	vihyno.org	-	ЮВАО	Выхино-Жулебино	дворовые спортивные площадки
2337	Дворовая площадка	улица Пришвина, дом 11	Муниципалитет	(499) 745-33-21	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
2338	Дворовая площадка	улица Производственная, дом 4, корпус 2	Муниципалитет	(495) 439-00-01	munsolncevo.ru	-	ЗАО	Солнцево	дворовые спортивные площадки
2339	Дворовая площадка	улица Пронская, дом 8/4	Муниципалитет	(495) 657-60-59	vihyno.org	-	ЮВАО	Выхино-Жулебино	дворовые спортивные площадки
2340	Дворовая площадка	улица Пронская, дом 9, корпус 1	Муниципалитет	(495) 657-60-59	vihyno.org	-	ЮВАО	Выхино-Жулебино	дворовые спортивные площадки
2341	Дворовая площадка	улица Просторная, дом 14	Муниципалитет	(495) 168-60-77	-	-	ВАО	Преображенское	дворовые спортивные площадки
2342	Дворовая площадка	улица Просторная, дом 2	Муниципалитет	(495) 168-60-77	-	-	ВАО	Преображенское	дворовые спортивные площадки
2343	Дворовая площадка	улица Профсоюзная, дом 11/11	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	открытые ледовые катки на месте спортивных площадок (сезонные)
2344	Дворовая площадка	улица Профсоюзная, дом 113, корпус 3	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
2345	Дворовая площадка	улица Профсоюзная, дом 114, корпус 5	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
2346	Дворовая площадка	улица Профсоюзная, дом 115, корпус 2	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
2347	Дворовая площадка	улица Профсоюзная, дом 116, корпус 1	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
2348	Дворовая площадка	улица Саянская, дом 15, корпус 1	Муниципалитет	(495) 300-62-56	ivanovskoe-vostok.ru	-	ВАО	Ивановское	дворовые спортивные площадки
2349	Дворовая площадка	улица Саянская, дом 16, корпус 2	Муниципалитет	(495) 300-62-56	ivanovskoe-vostok.ru	-	ВАО	Ивановское	дворовые спортивные площадки
2350	Дворовая площадка	улица Краснодарская, дом 60	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2351	Дворовая площадка	улица Краснодарская, дом 72, корпус 3	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2352	Дворовая площадка	улица Краснодонская, дом 14	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2353	Дворовая площадка	улица Краснодонская, дом 27	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2354	Дворовая площадка	улица Краснодонская, дом 34/2	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2355	Дворовая площадка	улица Краснодонская, дом 53	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2356	Дворовая площадка	улица Красноказарменная, дом 9	Муниципалитет	(495) 361-30-71 (495) 361-17-84	lefmun.ru	-	ЮВАО	Лефортово	дворовые спортивные площадки
2357	Дворовая площадка	улица Красный Казанец, дом 19, корпус 2	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	открытые ледовые катки на месте спортивных площадок (сезонные)
2358	Дворовая площадка	улица Красный Казанец, дом 3, корпус 4	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
2359	Дворовая площадка	улица Красный Казанец, дом 3, корпус 7	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
2360	Дворовая площадка	улица Красный Маяк, дом 11, корпус 1	Муниципалитет	-	-	-	ЮАО	Чертаново Центральное	дворовые спортивные площадки
2361	Дворовая площадка	улица Красных Зорь, дом 37	Муниципалитет	(495) 446-57-83	mozhayskoe.ru	-	ЗАО	Можайский	дворовые спортивные площадки
2362	Дворовая площадка	улица Снежная дом 14, корпус 1	Муниципалитет	(495) 471-40-13	vmosviblovo.ru	-	СВАО	Свиблово	дворовые спортивные площадки
2363	Дворовая площадка	улица Советская, дом 11	Муниципалитет	-	-	-	ЗАО	Кунцево	дворовые спортивные площадки
2364	Дворовая площадка	улица Совхозная улица, дом 16, корпус 1	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2365	Дворовая площадка	улица Совхозная, дом 10, корпус 1	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2366	Дворовая площадка	улица Осенняя, дом 22	Муниципалитет	-	-	-	ЗАО	Крылатское	дворовые спортивные площадки
2367	Дворовая площадка	улица Осташковская, дом 19	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2368	Дворовая площадка	улица Осташковская, дом 26	Муниципалитет	(495) 476-52-31	-	-	СВАО	Северное Медведково	дворовые спортивные площадки
2369	Дворовая площадка	улица Осташковская, дом 7, корпус 3	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2370	Дворовая площадка	улица Осташковская, дом 7, корпус 4	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2371	Дворовая площадка	улица Осташковская, дом 8	Муниципалитет	(499) 181-87-10	mlosinka.ru	-	СВАО	Лосиноостровский	дворовые спортивные площадки
2372	Дворовая площадка	улица Остоженка, дом 39/47	Муниципалитет	(499) 766-99-90 (499) 707-24-79	uprava-hamovniki.ru sportcentrmsk.ru	bazhenoff@inbox.ru	ЦАО	Хамовники	дворовые спортивные площадки
2373	Дворовая площадка	улица Островитянова, дом 22, корпус 2	Муниципалитет	(495) 338-35-22	mun-tstan.ru	-	ЮЗАО	Теплый Стан	открытые ледовые катки на месте спортивных площадок (сезонные)
2374	Дворовая площадка	улица Островитянова, дом 31	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
2375	Дворовая площадка	улица Островитянова, дом 32	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
2376	Дворовая площадка	улица Лебедянская, дом 36	Муниципалитет	-	-	-	ЮАО	Бирюлёво Восточное	дворовые спортивные площадки
2377	Дворовая площадка	улица Лебедянская, дом 4	Муниципалитет	-	-	-	ЮАО	Бирюлёво Восточное	дворовые спортивные площадки
2378	Дворовая площадка	улица Ленинская Слобода, дом 4/10	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
2379	Дворовая площадка	улица Ленская, дом 21	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2380	Дворовая площадка	улица Ленская, дом 23	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2381	Дворовая площадка	улица Расплетина, дом 15	Муниципалитет	(499) 194-99-01	shukino.ru	-	СЗАО	Щукино	дворовые спортивные площадки
2382	Дворовая площадка	улица Расплетина, дом 4, корпус 2	Муниципалитет	(499) 194-99-01	shukino.ru	-	СЗАО	Щукино	дворовые спортивные площадки
2383	Дворовая площадка	улица Расплетина, дом 9	Муниципалитет	(499) 194-99-01	shukino.ru	-	СЗАО	Щукино	дворовые спортивные площадки
2384	Дворовая площадка	улица Ратная, дом 10, корпус 2	Муниципалитет	(495) 713-53-57	ms-butovo.ru	-	ЮЗАО	Северное Бутово	открытые ледовые катки на месте спортивных площадок (сезонные)
2385	Дворовая площадка	улица Ратная, дом 14	Муниципалитет	(495) 713-53-57	ms-butovo.ru	-	ЮЗАО	Северное Бутово	дворовые спортивные площадки
2386	Дворовая площадка	улица Ратная, дом 8, корпус 3	Муниципалитет	(495) 713-53-57	ms-butovo.ru	-	ЮЗАО	Северное Бутово	открытые ледовые катки на месте спортивных площадок (сезонные)
2387	Дворовая площадка	улица Ращупкина, дом 9	Муниципалитет	(495) 446-57-83	mozhayskoe.ru	-	ЗАО	Можайский	дворовые спортивные площадки
2388	Дворовая площадка	улица Ремизова, дом 3, корпус 2	Муниципалитет	(499) 122-55-21	mun-kotlovka.ru	info@mun-kotlovka.ru	ЮЗАО	Котловка	дворовые спортивные площадки
2389	Дворовая площадка	улица Ремизова, дом 5	Муниципалитет	(499) 122-55-21	mun-kotlovka.ru	info@mun-kotlovka.ru	ЮЗАО	Котловка	дворовые спортивные площадки
2390	Дворовая площадка	улица Реутовская, дом 12, корпус 1	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	дворовые спортивные площадки
2391	Дворовая площадка	улица Реутовская, дом 24	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	открытые ледовые катки на месте спортивных площадок (сезонные)
2392	Дворовая площадка	улица Реутовская, дом 4	Муниципалитет	(495) 770-09-44	veshnyaki.su	-	ВАО	Вешняки	открытые ледовые катки на месте спортивных площадок (сезонные)
2393	Дворовая площадка	улица Речников, дом 14, корпус 2	Муниципалитет	(499) 616-57-13	nzaton.ru	munnz@mail.ru	ЮАО	Нагатинский Затон	дворовые спортивные площадки
2394	Дворовая площадка	улица Трофимова, дом 15А	Муниципалитет	(495) 679-24-75	-	-	ЮВАО	Южнопортовый	открытые ледовые катки на месте спортивных площадок (сезонные)
2395	Дворовая площадка	улица Саянская, дом 3, корпус 1	Муниципалитет	(495) 300-62-56	ivanovskoe-vostok.ru	-	ВАО	Ивановское	дворовые спортивные площадки
2396	Дворовая площадка	улица Саянская, дом 5, корпус 2	Муниципалитет	(495) 300-62-56	ivanovskoe-vostok.ru	-	ВАО	Ивановское	дворовые спортивные площадки
2397	Дворовая площадка	улица Свободы, дом 1, корпус 3	Муниципалитет	(495) 490-68-59	pkstr.ru	-	СЗАО	Покровское-Стрешнево	дворовые спортивные площадки
2398	Дворовая площадка	улица Свободы, дом 40, корпус 1	Муниципалитет	(495) 949-48-09	u-tushino.ru	-	СЗАО	Южное Тушино	дворовые спортивные площадки
2399	Дворовая площадка	улица Свободы, дом 51, корпус 1	Муниципалитет	(495) 949-48-09	u-tushino.ru	-	СЗАО	Южное Тушино	дворовые спортивные площадки
2400	Дворовая площадка	улица Свободы, дом 61, корпус 2	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	открытые ледовые катки на месте спортивных площадок (сезонные)
2401	Дворовая площадка	улица Свободы, дом 67, корпус 4	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	дворовые спортивные площадки
2402	Дворовая площадка	улица Свободы, дом 69	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	дворовые спортивные площадки
2403	Дворовая площадка	улица Свободы, дом 8, корпус 4	Муниципалитет	(495) 490-68-59	pkstr.ru	-	СЗАО	Покровское-Стрешнево	дворовые спортивные площадки
2404	Дворовая площадка	улица Свободы, дом 81, строение 5	Муниципалитет	(495) 949-75-49	severnoetushino.ru	mst_moskva@mail.ru	СЗАО	Северное Тушино	дворовые спортивные площадки
2405	Дворовая площадка	улица Святоозерская, дом 16	Муниципалитет	(495) 700-00-43	-	-	ВАО	Косино-Ухтомский	дворовые спортивные площадки
2406	Дворовая площадка	улица Святоозерская, дом 2	Муниципалитет	(495) 700-00-43	-	-	ВАО	Косино-Ухтомский	дворовые спортивные площадки
2407	Дворовая площадка	улица Флотская, дом 28, корпус 2	Муниципалитет	(495) 456-06-81 (499) 747-05-27	nashe-golovino.ru	-	САО	Головинский	дворовые спортивные площадки
2408	Дворовая площадка	улица Флотская, дом 44	Муниципалитет	(495) 456-06-81 (499) 747-05-27	nashe-golovino.ru	-	САО	Головинский	открытые ледовые катки на месте спортивных площадок (сезонные)
2409	Дворовая площадка	улица Совхозная, дом 18, корпус 2	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2410	Дворовая площадка	улица Совхозная, дом 3	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2411	Дворовая площадка	улица Совхозная, дом 4/3	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
2412	Дворовая площадка	улица Соколово-Мещерская, дом 26, корпус 1	Муниципалитет	(495) 648-02-69	kurkino-vmo.ru	munkurkino@mail.ru	СЗАО	Куркино	дворовые спортивные площадки
2413	Дворовая площадка	улица Соколово-Мещерская, дом 36	Муниципалитет	(495) 648-02-69	kurkino-vmo.ru	munkurkino@mail.ru	СЗАО	Куркино	дворовые спортивные площадки
2414	Дворовая площадка	улица Соколово-Мещерская, дом 4	Муниципалитет	(495) 648-02-69	kurkino-vmo.ru	munkurkino@mail.ru	СЗАО	Куркино	дворовые спортивные площадки
2415	Дворовая площадка	улица Солнечногорская, дом 5	Муниципалитет	(495) 456-06-81 (499) 747-05-27	nashe-golovino.ru	-	САО	Головинский	дворовые спортивные площадки
2416	Дворовая площадка	улица Софьи Ковалевской, дом 2, корпус 1	Муниципалитет	(495) 486-70-96	dmitrovsky.ru	-	САО	Дмитровский	дворовые спортивные площадки
2417	Дворовая площадка	улица Софьи Ковалевской, дом 2, корпус 4	Муниципалитет	(495) 486-70-96	dmitrovsky.ru	-	САО	Дмитровский	дворовые спортивные площадки
2418	Дворовая площадка	улица Спартаковская, дом 19, строение 3	Муниципалитет	(499) 263-27-53	basman.ru	-	ЦАО	Басманный	дворовые спортивные площадки
2419	Дворовая площадка	улица Средняя Калитниковская, дом 51/2	Муниципалитет	(495) 678-11-93	-	-	ЮВАО	Нижегородский	открытые ледовые катки на месте спортивных площадок (сезонные)
2420	Дворовая площадка	улица Мартеновская, дом 4	Муниципалитет	(495) 303-86-00	perovo-moscow.ru	-	ВАО	Перово	дворовые спортивные площадки
2421	Дворовая площадка	улица Маршала Бирюзова, дом 12	Муниципалитет	(499) 194-99-01	shukino.ru	-	СЗАО	Щукино	дворовые спортивные площадки
2422	Дворовая площадка	улица Маршала Бирюзова, дом 35, корпус 2	Муниципалитет	(499) 194-99-01	shukino.ru	-	СЗАО	Щукино	открытые ледовые катки на месте спортивных площадок (сезонные)
2423	Дворовая площадка	улица Маршала Бирюзова, дом 4, корпус 1	Муниципалитет	(499) 194-99-01	shukino.ru	-	СЗАО	Щукино	дворовые спортивные площадки
2424	Дворовая площадка	улица Ленская, дом 28	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2425	Дворовая площадка	улица Ленская, дома 14-16	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
2426	Дворовая площадка	улица Лескова, дом 10	Муниципалитет	(499) 745-33-11	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	дворовые спортивные площадки
