0_Номер строки;1_Номер маршрута;1_Наименование маршрута;1_Трасса следования маршрута;1_Количество ТС;1_Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы, рабочие/выходные, начало;1_Режим работы, рабочие/выходные, окончание;1_Наименование перевозчика;0_Координаты Х;0_Координаты Y;0_Состояние подписи
544;977;Москва (ул.Исаковского) - ТЦ Ашан Красногорск;-прям. напр. :,улица Исаковского,улица Маршала Катукова,Строгинский бульвар,Неманский проезд,Мякининский проезд,4-я Мякининская улица,Мякининский проезд,Неманский проезд,улица Исаковскогообр. напр. ::;5;Не регламентируется;Не регламентируется;3,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.:; кол-во рейсов: ";"день нед.:; кол-во рейсов: ";ООО ШАДИС-АВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
549;979;Ставрополь-Москва;Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссеобр. напр. :: г Москва,г Воронеж,г Ростов-на-Дону,г Ставрополь;11;Не регламентируется;Не регламентируется;1505;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .20:06отпр.13:30";"день нед.: 1,2,3,4,5,6,7; приб. .20:06отпр.13:30";ИП СЕМЕНОВ А.В.,ООО СТАВРОПОЛЬ-ТРАНСТУР;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
554;981;м.Планерная - ТЦ МЕГА (г.Химки);Планерная-прям. напр. :,Планерная улица,улица Свободы,Молодёжная улица,Куркинское шоссе,Воротынская улица,Родионовская улица,улица Соловьиная Роща,Юровская улица,Соколово-Мещерская улица,Новокуркинское шоссеобр. напр. :: г Москва,г Химки;4;Не регламентируется;Не регламентируется;12;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 28";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 28";ООО СЕВЕРНЫЙ ТРАКТ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
559;982;Москва-Елец;Новоясеневская-прям. напр. :,Новоясеневский тупик,Новоясеневский проспект,улица Паустовского,проезд Карамзина,МКАД, 27-й километробр. напр. :: г Москва,г Елец;2;Не регламентируется;Не регламентируется;375;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .21:20 20:20отпр.09:00 08:20";"день нед.: 1,2,3,4,5,6,7; приб. .21:20 20:20отпр.09:00 08:20";ООО АВТОТРАНСЮГ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
562;984;Пенза-Москва;Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 10-й километробр. напр. :: г Москва,г Рязань,г Шацк,г Спасск,г Нижний Ломов,г Пенза;2;Не регламентируется;Не регламентируется;646;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .17:30 19:00отпр.23:00 08:30";"день нед.: 1,2,3,4,5,6,7; приб. .17:30 19:00отпр.23:00 08:30";ИП ВЫХРИСТЮК И.А.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
567;995;Заволжье-Н.Новгород-Москва;Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 109-й километробр. напр. :: г Москва,г Покров,г Лакинск,г Владимир,г Вязники,г Гороховец,г Нижний Новгород,г Заволжье;2;Не регламентируется;Не регламентируется;700;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .05:40отпр.23:00";"день нед.: 1,2,3,4,5,6,7; приб. .05:40отпр.23:00";ИП ЗОЛОТУХИН А.С.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
572;Б/Н;"ТЦ Ашан""(Алтуфьево)-Москва (м.Алтуфьево)""";Алтуфьево-прям. напр. :,Алтуфьевское шоссеобр. напр. ::;10;Не регламентируется;Не регламентируется;6,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО ЭКСПРЕССАВТОТУР;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
577;Б/Н;г.Реутов (ул.Дзержинского)-Москва (м.Новогиреево);Новогиреево-прям. напр. :,Зелёный проспект,улица Сталеваров,МКАД, 1-й километробр. напр. ::;10;Не регламентируется;Не регламентируется;5,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО ЭКСПРЕССАВТОТУР;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
582;Б/Н;Химки (ул.Библиотечная)-Москва (м.Речной вокзал);Речной вокзал-прям. напр. :,Фестивальная улица,улица Лавочкина,улица Дыбенко,Библиотечный проездобр. напр. ::;10;Не регламентируется;Не регламентируется;6,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО ЭКСПРЕССАВТОТУР;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
587;Б/Н;г.Видное(ул.Булатниковская)-Москва (м.Домодедовская);Домодедовская-прям. напр. :,Ореховый бульвар,Каширское шоссеобр. напр. ::;10;Не регламентируется;Не регламентируется;15,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 160";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 160";ООО МАРШРУТТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
592;Б/Н;п.Грибки-Москва (ст.м.Алтуфьево);Алтуфьево-прям. напр. :,Алтуфьевское шоссе,Череповецкая улица,Лианозовский проезд,Дмитровское шоссеобр. напр. ::;10;Не регламентируется;Не регламентируется;15;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 120";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 120";ООО ТРАНС-ЛАЙН;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
596;Б/Н;Киевский вокзал - пос.Трехгорка;-прям. напр. :,площадь Киевского Вокзала,Бережковская набережная,Кутузовский проспект,Можайское шоссе,Московская Кольцевая Автодорогаобр. напр. ::;5;Не регламентируется;Не регламентируется;18,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 20";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 20";ООО АВТОРОУД (ОАО ГРУППА АВТОЛАЙН);;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
601;Б/Н;Тула-Москва;Новоясеневская-прям. напр. :,Новоясеневский тупик,Новоясеневский проспект,улица Айвазовского,Симферопольский проезд,Балаклавский проспект,Варшавское шоссе,МКАД, 33-й километробр. напр. :: г Тула,г Москва;1;Не регламентируется;Не регламентируется;188;М3 класс II, класс III, ЭК не ниже Евро 2;"приб. С 06:30 до 20:30 с интервалом 30 минут; отпр. С 07:00 до 23:30 с интервалом 30 минут";"приб. С 06:30 до 20:30 с интервалом 30 минут; отпр. С 07:00 до 23:30 с интервалом 30 минут";ИП ГРИГОРЬЕВА Е.В.,ООО МИГ ТУЛАТРАНС,ООО ТУЛЬСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
606;Б/Н;Людиново-Москва;Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улица,МКАД, 45-й километробр. напр. ::;1;Не регламентируется;Не регламентируется;155;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .23:50отпр.09:30";"день нед.: 1,2,3,4,5,6,7; приб. .23:50отпр.09:30";ОАО ТРАНСПОРТНИК;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
611;Б/Н;Узловая(Тульская обл)-Москва;Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссе,МКАД, 33-й километробр. напр. ::;1;Не регламентируется;Не регламентируется;242,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .07:30отпр.09:40";"день нед.: 1,2,3,4,5,6,7; приб. .07:30отпр.09:40";ООО МЕЖДУГОРОДНАЯ ТРАНСПОРТНАЯ КОМПАНИЯ-4;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
616;Б/Н;Волгодонск(Ростовская обл)-Москва;Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссе,МКАД, 24-й километробр. напр. :: г Волгодонск,г Морозовск,г Белая Калитва,г Каменск-Шахтинский,г Москва;2;Не регламентируется;Не регламентируется;1245;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .14:30 08:30отпр.21:00 14:00";"день нед.: 1,2,3,4,5,6,7; приб. .14:30 08:30отпр.21:00 14:00";ИП БЕЛОВ Э.Е.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
621;Б/Н;Москва-Белинский (Пензенская обл);Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 11-й километробр. напр. :: г Москва,г Коломна,г Рязань,г Шацк,г Белинский;1;Не регламентируется;Не регламентируется;719;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .05:55отпр.20:05";"день нед.: 1,2,3,4,5,6,7; приб. .05:55отпр.20:05";ИП МАЧНЕВ А.В.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
626;Б/Н;Алатырь (Чувашская Республика)-Москва;Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 109-й километробр. напр. :: г Алатырь,г Москва;1;Не регламентируется;Не регламентируется;716,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,3,5,7; приб. .05:15отпр.17:30";"день нед.: 1,3,5,7; приб. .05:15отпр.17:30";ИП АКИМОВ А.Н.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
631;Б/Н;Осташков (Тверская обл.)-Москва;Тушинская-прям. напр. :,проезд Стратонавтов,Волоколамское шоссеобр. напр. :: г Осташков,г Ржев,г Зубцов,г Волоколамск;2;Не регламентируется;Не регламентируется;366,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. . 22:20 17:05 отпр. 07:45 16:30";"день нед.: 1,2,3,4,5,6,7; приб. . 22:20 17:05 отпр. 07:45 16:30";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
636;Б/Н;Москва-Липецк;Новоясеневская-прям. напр. :,Новоясеневский тупик,Новоясеневский проспект,улица Паустовского,проезд Карамзина,МКАД, 27-й километробр. напр. :: г Москва,г Чаплыгин,г Липецк;2;Не регламентируется;Не регламентируется;438;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .05:30 04:30отпр.14:40 11:45";"день нед.: 1,2,3,4,5,6,7; приб. .05:30 04:30отпр.14:40 11:45";ООО АВТОТРАНСЮГ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
656;Б/Н;Аэропорт Шереметьево-1- Москва (м.Речной Вокзал);Речной вокзал-прям. напр. :,Ленинградское шоссе,Беломорская улица,Смольная улица,Фестивальная улицаобр. напр. ::;15;Не регламентируется;Не регламентируется;24,7;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 240";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 240";ООО ЭКСПРЕССАВТОТУР;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
3;1001;п.Киевский-Троицк (Торговый центр);-прям. напр. :,Киевское шоссе,Калужское шоссе,Солнечная улицаобр. напр. ::;2;Не регламентируется;Не регламентируется;49,9;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 15";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 15";ООО ГЕПАРТ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
8;1006;"плтф.Дегунино"" - гипермаркет ""Ашан"" (84 км.МКАД)""";-прям. напр. :,Дегунинский проезд,Дубнинская улица,улица 800-летия Москвы,Дмитровское шоссе,Лианозовский проезд,Череповецкая улица,Алтуфьевское шоссе,МКАД, 84-й километр,Дмитровское шоссе,переулок 800-летия Москвы,Дубнинская улица,Дегунинский проездобр. н;8;Не регламентируется;Не регламентируется;13,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";ООО ТРАНС-ВЕЙ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
28;1041;Подольск(мкр.Кутузово)-Москва(Ерино);"прям. напр. : Подольск(мкр.Кутузово)-Москва(Ерино)
обр. напр. : Москва(Ерино) - Подольск(мкр.Кутузово)";2;Не регламентируется;Не регламентируется;10,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 41";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 41";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
38;1052;ст.Подольск-ЦСИО-Подольск(Стройиндустрия);"прям. напр. : ст.Подольск-ЦСИО-Подольск(Стройиндустрия)
обр. напр. : Подольск(Стройиндустрия) - ЦСИО - ст.Подольск";2;Не регламентируется;Не регламентируется;24,7;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 25";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 25";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
43;1077;ст.Подольск-Москва(Чернецкое);"прям. напр. : ст.Подольск-Москва(Чернецкое)
обр. напр. : Москва(Чернецкое) - ст.Подольск";2;Не регламентируется;Не регламентируется;48,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,71,2,3,45,6,7; кол-во рейсов: 4410";"день нед.: 1,2,3,4,5,6,71,2,3,45,6,7; кол-во рейсов: 4410";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
48;127;Зеленоград(ст.Крюково) - Льялово (МО);-прям. напр. :,город Зеленоград,Панфиловский проспектобр. напр. ::;2;Не регламентируется;Не регламентируется;10,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 24";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 24";ООО АВТО-ВОЯЖ (ОАО ГРУППА АВТОЛАЙН);;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
53;14;ст.Реутово - 4-й мкр.Кожухово;"прям. напр. : ст.Реутово - 4-й мкр.Кожухово
обр. напр. : 4-й мкр.Кожухово - ст.Реутово";3;Не регламентируется;Не регламентируется;8,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 74";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 74";ГУП МОСГОРТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
58;164;ст.Крюково(Зеленоград) - платф.Алабушево;-прям. напр. :,Панфиловский проспект,Новокрюковская улицаобр. напр. ::;5;Не регламентируется;Не регламентируется;6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 85";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 85";ООО АВТО-ВОЯЖ (ОАО ГРУППА АВТОЛАЙН);;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
81;283;Москва (м. Щелковская) – Москва (п. Восточный);"прям. напр. : Москва (м. Щелковская) – Москва (п. Восточный)
обр. напр. : Москва (п. Восточный) - Москва (м. Щелковская)";3;Не регламентируется;Не регламентируется;5,2;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";ГУП МОСГОРТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
82;284;Плавск-Москва(Красногвардейская);Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссе,МКАД, 24-й километробр. напр. :: г Плавск;9;Не регламентируется;Не регламентируется;230;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .06:00 18:00отпр.19:40 09:05";"день нед.: 1,2,3,4,5,6,7; приб. .06:00 18:00отпр.19:40 09:05";ООО ТУЛЬСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ,ИП ГРИГОРЬЕВА Е.В.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
86;301;Верея – Москва (а/с Тушинская);Тушинская-прям. напр. :обр. напр. ::;5;Не регламентируется;Не регламентируется;118,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 20";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 20";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
87;302;Троицкое – Москва (м. Алтуфьево);Алтуфьево-прям. напр. :,Дмитровское шоссе,Лианозовский проезд,Череповецкая улицаобр. напр. ::;2;Не регламентируется;Не регламентируется;15,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 28";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 28";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
