0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Электронная почта;0_moddate;0_moduser
108;Городской отдел жилищных субсидий района Гагаринский                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Гагаринский                                                                                                                                                                                                          ;Ленинский пр-т, д. 62/1                                                                                                                                                                                                                                       ;3546,261;3017,58173;0;                                                                                                                                                                                                                                                              ;Ленинский пр-т                                                                                                                                                                                                                                                ;62/1                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;(499)137-18-34                                                                                                                                                                                                                                                ;113@uzao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
109;Городской отдел жилищных субсидий района Зюзино                                                                                                                                                                                                               ;Городской отдел жилищных субсидий района Зюзино                                                                                                                                                                                                               ;Симферопольский бульв., д. 16, кор. 1                                                                                                                                                                                                                         ;6695,25239;-1677,101857;0;                                                                                                                                                                                                                                                              ;Симферопольский бульв.                                                                                                                                                                                                                                        ;16;кор.1                                                                                                                                                                                                                                                         ;(495)310-82-29                                                                                                                                                                                                                                                ;103@uzao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
110;Городской отдел жилищных субсидий района Коньково                                                                                                                                                                                                             ;Городской отдел жилищных субсидий района Коньково                                                                                                                                                                                                             ;ул. Академика Арцимовича, д. 12, кор. 2                                                                                                                                                                                                                       ;681,8824791;-2796,01391;0;                                                                                                                                                                                                                                                              ;ул. Академика Арцимовича                                                                                                                                                                                                                                      ;12;кор.2                                                                                                                                                                                                                                                         ;(495)330-32-98                                                                                                                                                                                                                                                ;51@uzao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
111;Городской отдел жилищных субсидий района Котловка                                                                                                                                                                                                             ;Городской отдел жилищных субсидий района Котловка                                                                                                                                                                                                             ;Севастопольский пр-т,  д. 51, кор. 4                                                                                                                                                                                                                          ;5546,3935;-46,93738773;0;                                                                                                                                                                                                                                                              ;Севастопольский пр-т                                                                                                                                                                                                                                          ;51;кор.4                                                                                                                                                                                                                                                         ;(499)121-90-09                                                                                                                                                                                                                                                ;123@uzao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
112;Городской отдел жилищных субсидий района Обручевский                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Обручевский                                                                                                                                                                                                          ;ул. Архитектора Власова, д. 41                                                                                                                                                                                                                                ;2947,8435;109,9234931;0;                                                                                                                                                                                                                                                              ;ул. Архитектора Власова                                                                                                                                                                                                                                       ;41;                                                                                                                                                                                                                                                              ;(499)120-31-44                                                                                                                                                                                                                                                ;56@uzao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
113;Городской отдел жилищных субсидий района Северное Бутово                                                                                                                                                                                                      ;Городской отдел жилищных субсидий района Северное Бутово                                                                                                                                                                                                      ;ул. Старобитцевская, д.19, кор. 1                                                                                                                                                                                                                             ;5177,658297;-10013,39372;0;                                                                                                                                                                                                                                                              ;ул. Старобитцевская                                                                                                                                                                                                                                           ;19;кор.1                                                                                                                                                                                                                                                         ;(495)711-44-97                                                                                                                                                                                                                                                ;44@uzao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
114;Городской отдел жилищных субсидий района Теплый Стан                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Теплый Стан                                                                                                                                                                                                          ;ул. Академика Варги, д.26а                                                                                                                                                                                                                                    ;-1505,229624;-3628,040861;0;                                                                                                                                                                                                                                                              ;ул. Академика Варги                                                                                                                                                                                                                                           ;26а                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;(499)940-98-58                                                                                                                                                                                                                                                ;94@uzao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
115;Городской отдел жилищных субсидий района Черемушки                                                                                                                                                                                                            ;Городской отдел жилищных субсидий района Черемушки                                                                                                                                                                                                            ;ул. Профсоюзная, д.25, кор. 4                                                                                                                                                                                                                                 ;4172,82125;698,0968824;0;                                                                                                                                                                                                                                                              ;ул. Профсоюзная                                                                                                                                                                                                                                               ;25;кор.4                                                                                                                                                                                                                                                         ;(499)128-57-60                                                                                                                                                                                                                                                ;65@uzao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
116;Городской отдел жилищных субсидий района Южное Бутово                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Южное Бутово                                                                                                                                                                                                         ;Южнобутовская ул., д. 23                                                                                                                                                                                                                                      ;2600,139205;-14141,74913;0;                                                                                                                                                                                                                                                              ;Южнобутовская ул.                                                                                                                                                                                                                                             ;23;                                                                                                                                                                                                                                                              ;(499)723-54-45                                                                                                                                                                                                                                                ;134@uzao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
117;Городской отдел жилищных субсидий района Южное Бутово                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Южное Бутово                                                                                                                                                                                                         ;ул. Маршала Савицкого, д.30                                                                                                                                                                                                                                   ;6408,4005;-18187,83725;0;                                                                                                                                                                                                                                                              ;ул. Маршала Савицкого                                                                                                                                                                                                                                         ;30;                                                                                                                                                                                                                                                              ;(499)940-98-18                                                                                                                                                                                                                                                ;134@uzao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
118;Городской отдел жилищных субсидий района Ясенево                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Ясенево                                                                                                                                                                                                              ;ул. Голубинская, д.31, кор. 1                                                                                                                                                                                                                                 ;2751,56185;-7869,080821;0;                                                                                                                                                                                                                                                              ;ул. Голубинская                                                                                                                                                                                                                                               ;31;кор.1                                                                                                                                                                                                                                                         ;(495)427-68-00                                                                                                                                                                                                                                                ;58@uzao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
119;Окружной отдел Зеленоградского  Административного Округа Зеленоград N 30 Матушкино-Савелки, Савелки                                                                                                                                                           ;Окружной отдел Зеленоградского  Административного Округа Зеленоград N 30 Матушкино-Савелки, Савелки                                                                                                                                                           ;Г.Зеленоград корпус 606А                                                                                                                                                                                                                                      ;-16992,72699;36186,7437;0;                                                                                                                                                                                                                                                              ;Г.Зеленоград                                                                                                                                                                                                                                                  ;корпус 606А                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;(495)944-61-92                                                                                                                                                                                                                                                ;info@z-eirc.subsident.ru                                                                                                                                                                                                                                      ;0;                                                                                                    
120;Городской отдел жилищных субсидий района Крюково                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Крюково                                                                                                                                                                                                              ;Г.Зеленоград корпус 1553                                                                                                                                                                                                                                      ;-21370,26998;34887,23225;0;                                                                                                                                                                                                                                                              ;Г.Зеленоград                                                                                                                                                                                                                                                  ;корпус 1553                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;(499)717-66-75                                                                                                                                                                                                                                                ;info@z-eirc.subsident.ru                                                                                                                                                                                                                                      ;0;                                                                                                    
121;Городской отдел жилищных субсидий района Матушкино                                                                                                                                                                                                            ;Городской отдел жилищных субсидий района Матушкино                                                                                                                                                                                                            ;Г.Зеленоград корпус 406                                                                                                                                                                                                                                       ;-17969,49065;36894,0255;0;                                                                                                                                                                                                                                                              ;Г.Зеленоград                                                                                                                                                                                                                                                  ;корпус 406                                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;(495)944-63-10                                                                                                                                                                                                                                                ;info@z-eirc.subsident.ru                                                                                                                                                                                                                                      ;0;                                                                                                    
122;Городской отдел жилищных субсидий района Панфиловский                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Панфиловский                                                                                                                                                                                                         ;Г.Зеленоград корпус 1105                                                                                                                                                                                                                                      ;-19379,2799;36585,25709;0;                                                                                                                                                                                                                                                              ;Г.Зеленоград                                                                                                                                                                                                                                                  ;корпус 1105                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;(499)732-07-46                                                                                                                                                                                                                                                ;info@z-eirc.subsident.ru                                                                                                                                                                                                                                      ;0;                                                                                                    
123;Городской отдел жилищных субсидий района Панфиловский                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Панфиловский                                                                                                                                                                                                         ;Г.Зеленоград корпус 828                                                                                                                                                                                                                                       ;-19725,92292;34976,37035;0;                                                                                                                                                                                                                                                              ;Г.Зеленоград                                                                                                                                                                                                                                                  ;корпус 828                                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;495)276-11-12                                                                                                                                                                                                                                                 ;info@z-eirc.subsident.ru                                                                                                                                                                                                                                      ;0;                                                                                                    
124;Городской отдел жилищных субсидий района Матушкино-Савелки                                                                                                                                                                                                    ;Городской отдел жилищных субсидий района Матушкино-Савелки                                                                                                                                                                                                    ;Г.Зеленоградкорпус 337                                                                                                                                                                                                                                        ;-17637,12575;36644,57738;0;                                                                                                                                                                                                                                                              ;Г.Зеленоград                                                                                                                                                                                                                                                  ;корпус 337                                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;(499)940-15-55                                                                                                                                                                                                                                                ;info@z-eirc.subsident.ru                                                                                                                                                                                                                                      ;0;                                                                                                    
12;Городской отдел жилищных субсидий Поселения Московский, Филимонковское, Внуковское                                                                                                                                                                            ;Городской отдел жилищных субсидий Поселения Московский, Филимонковское, Внуковское                                                                                                                                                                            ;п. Московский, д.23а                                                                                                                                                                                                                                          ;37,353197;55,603082;0;                                                                                                                                                                                                                                                              ;п. Московский                                                                                                                                                                                                                                                 ;23а                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;(495)424-66-23                                                                                                                                                                                                                                                ;moskovskiy@nm.subsident.ru                                                                                                                                                                                                                                    ;0;                                                                                                    
13;Городской отдел жилищных субсидий Поселения Кокошкино, Марушкинское                                                                                                                                                                                           ;Городской отдел жилищных субсидий Поселения Кокошкино, Марушкинское                                                                                                                                                                                           ;п. Кокошкино, ул. Ленина, д.2                                                                                                                                                                                                                                 ;37,165001;55,600728;0;                                                                                                                                                                                                                                                              ;ул. Ленина                                                                                                                                                                                                                                                    ;2;                                                                                                                                                                                                                                                              ;(495)436-76-69                                                                                                                                                                                                                                                ;kokoshkino@subsident.ru                                                                                                                                                                                                                                       ;0;                                                                                                    
