0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
226;Город N                                                                                                                                                                                                                                                       ;Город N                                                                                                                                                                                                                                                       ;Петровские линии, 1                                                                                                                                                                                                                                           ;37,618031;55,76418;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 903 123 63 70                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
227;Театр песни «Собеседник»                                                                                                                                                                                                                                      ;Театр песни «Собеседник»                                                                                                                                                                                                                                      ;просп. Мира, 119, ВВЦ, павильон 62 «Республика Песни»                                                                                                                                                                                                         ;37,633652;55,828694;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 905 785 35 50                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
228;Театр 31                                                                                                                                                                                                                                                      ;Театр 31                                                                                                                                                                                                                                                      ;Бойцовая, 22, стр. 3                                                                                                                                                                                                                                          ;37,724813;55,81537;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 915 470 70 55                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
229;Фэст                                                                                                                                                                                                                                                          ;Фэст                                                                                                                                                                                                                                                          ;г.Мытищи, Щербакова, 6а                                                                                                                                                                                                                                       ;37,734668;55,908847;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 586 22 99, 586 07 77                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
230;Кремлевский балет                                                                                                                                                                                                                                             ;Кремлевский балет                                                                                                                                                                                                                                             ;Кремль                                                                                                                                                                                                                                                        ;37,615525;55,751528;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 620 77 27                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
231;Театр-студия оперы РАМ им. Гнесиных                                                                                                                                                                                                                           ;Театр-студия оперы РАМ им. Гнесиных                                                                                                                                                                                                                           ;М.Ржевский пер., 1                                                                                                                                                                                                                                            ;37,592204;55,755754;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 290 67 37                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
232;Театр кукол «Огниво»                                                                                                                                                                                                                                          ;Театр кукол «Огниво»                                                                                                                                                                                                                                          ;г.Мытищи, Шараповская, 4, корп. 1.                                                                                                                                                                                                                            ;37,750157;55,912813;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 586 05 06, 583 36 70                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
233;Дельфинарий                                                                                                                                                                                                                                                   ;Дельфинарий                                                                                                                                                                                                                                                   ;просп. Мира, 119, ВВЦ                                                                                                                                                                                                                                         ;37,633652;55,828694;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 796 88 26                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
234;Серпуховский музыкально-драматический театр                                                                                                                                                                                                                   ;Серпуховский музыкально-драматический театр                                                                                                                                                                                                                   ;г. Серпухов, Чехова, 58/27                                                                                                                                                                                                                                    ;37,422094;54,910554;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(4967) 72 19 94, 72 14 31                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
235;Стрела                                                                                                                                                                                                                                                        ;Стрела                                                                                                                                                                                                                                                        ;г. Жуковский, Кирова, 3                                                                                                                                                                                                                                       ;38,145588;55,579541;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 556 57 72                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
236;Театр живой анимации                                                                                                                                                                                                                                          ;Театр живой анимации                                                                                                                                                                                                                                          ;Б.Никитская, 53                                                                                                                                                                                                                                               ;37,587738;55,758011;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 785 61 95                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
237;Наш дом                                                                                                                                                                                                                                                       ;Наш дом                                                                                                                                                                                                                                                       ;г. Химки, Маяковского, 22                                                                                                                                                                                                                                     ;37,437747;55,892015;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 573 80 47                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
