0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Электронная почта
146;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.В.Андреева»                                                                                                           ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени В.В.Андреева»                                                                                                                                                                                              ;123103, г.Москва, ул. Живописная, д.1                                                                                                                                                                                                                         ;-2860,21215;12553,26139;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Хорошево-Мневники                                                                                                                                                                                                                                             ;123103, г.Москва, ул. Живописная, д.1                                                                                                                                                                                                                         ;(495) 942-05-52                                                                                                                                                                                                                                               ;(495) 942-05-52                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;tdsimonova@list.ru                                                                                                                                                                                                                                            
147;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.С.Голованова»                                                                                                         ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Н.С.Голованова»                                                                                                                                                                                            ;123308, г.Москва, ул. Мневники, д.7 корп.1                                                                                                                                                                                                                    ;-345,59285;11674,06619;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Хорошево-Мневники                                                                                                                                                                                                                                             ;123308, г.Москва, ул. Мневники, д.7 корп.1                                                                                                                                                                                                                    ;(499) 191-68-00                                                                                                                                                                                                                                               ;(499) 946-26-30                                                                                                                                                                                                                                               ;camerafestival.ru                                                                                                                                                                                                                                             ;music51@mail.ru                                                                                                                                                                                                                                               
148;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени С.М.Майкапара»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени С.М.Майкапара»                                                                                                                                                                                             ;123181, г.Москва, ул. Маршала Катукова, д.19 корп.3                                                                                                                                                                                                           ;-5471,414481;15630,85216;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Строгино                                                                                                                                                                                                                                                      ;123181, г.Москва, ул. Маршала Катукова, д.19 корп.3                                                                                                                                                                                                           ;(495) 750-07-17                                                                                                                                                                                                                                               ;(495) 757-42-64                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;msm_school@mail.ru                                                                                                                                                                                                                                            
149;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Т.А.Докшицера»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Т.А.Докшицера»                                                                                                                                                                                             ;123592, г.Москва, Неманский пр-д, д.7 корп.2                                                                                                                                                                                                                  ;-6547,131403;16117,88243;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Строгино                                                                                                                                                                                                                                                      ;123592, г.Москва, ул. Маршала Катукова, д.2 корп.4                                                                                                                                                                                                            ;(495) 756-50-09                                                                                                                                                                                                                                               ;(495) 756-50-09                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmsh95@yandex.ru                                                                                                                                                                                                                                              
150;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Т.А.Докшицера»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Т.А.Докшицера»                                                                                                                                                                                             ;123181, г.Москва, Неманский пр-д, д.5 корп.2                                                                                                                                                                                                                  ;-6504,2556;16418,08139;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Строгино                                                                                                                                                                                                                                                      ;123592, г.Москва, ул. Маршала Катукова, д.2 корп.4                                                                                                                                                                                                            ;(495) 756-50-09                                                                                                                                                                                                                                               ;(495) 756-50-09                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmsh95@yandex.ru                                                                                                                                                                                                                                              
159;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №71»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №71»                                                                                                                                                                                                             ;124460, г.Москва, Зеленоград, Панфиловский пр-т, д.24                                                                                                                                                                                                         ;-19091,55051;37140,0024;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Зеленоградский АО                                                                                                                                                                                                                                             ;Панфиловский                                                                                                                                                                                                                                                  ;124460, г.Москва, Зеленоград, Панфиловский пр-т, д.24                                                                                                                                                                                                         ;(499) 731-63-15                                                                                                                                                                                                                                               ;(499) 731-63-15, (499) 731-72-40                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;dmsh71@gmail.com                                                                                                                                                                                                                                              
164;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Т.Гречанинова»                                                                                                        ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени А.Т.Гречанинова»                                                                                                                                                                                           ;127566, г.Москва, Северный б-р, д.7в                                                                                                                                                                                                                          ;37,60482;55,867426;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Отрадное                                                                                                                                                                                                                                                      ;127566, г.Москва, Северный б-р, д.7в                                                                                                                                                                                                                          ;(499) 204-45-78, (499) 204-38-22, (499) 204-12-36                                                                                                                                                                                                             ;(499) 204-45-78, (499) 204-38-22, (499) 204-12-36                                                                                                                                                                                                             ;dmsh28.ru                                                                                                                                                                                                                                                     ;musikschool@dmsh28.ru                                                                                                                                                                                                                                         
165;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени М.П.Мусоргского»                                                                                                        ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени М.П.Мусоргского»                                                                                                                                                                                           ;124536, г.Москва, Зеленоград, ул. Юности, д.7                                                                                                                                                                                                                 ;37,223496;55,998166;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Зеленоградский АО                                                                                                                                                                                                                                             ;Матушкино-Савелки                                                                                                                                                                                                                                             ;124536, г.Москва, Зеленоград, ул. Юности, д.7                                                                                                                                                                                                                 ;(499) 734-45-40, (499) 734-26-14                                                                                                                                                                                                                              ;(499) 734-45-40, (499) 734-26-14                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;muzshkola53@mail.ru                                                                                                                                                                                                                                           
172;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Первомайская детская музыкальная школа»                                                                                                                 ;ГБОУ ДОД г.Москвы «Первомайская детская музыкальная школа»                                                                                                                                                                                                    ;143396, г.Москва, Наро-Фоминский р-н, пос. Птичное, Центральная ул., д.101                                                                                                                                                                                    ;37,23255;55,515675;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Троицкий АО                                                                                                                                                                                                                                                   ;Первомайское                                                                                                                                                                                                                                                  ;143396, г.Москва, Наро-Фоминский р-н, пос. Птичное, Центральная ул., д.101                                                                                                                                                                                    ;(495) 345-73-73                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;muzshkola-4@mail.ru                                                                                                                                                                                                                                           
173;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Киевская детская музыкальная школа»                                                                                                                     ;ГБОУ ДОД г. Москвы «Киевская детская музыкальная школа»                                                                                                                                                                                                       ;143381, г.Москва, Наро-Фоминский р-н, пос. Киевский, д.17, кв.75                                                                                                                                                                                              ;36,869873;55,433603;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Троицкий АО                                                                                                                                                                                                                                                   ;Киевский                                                                                                                                                                                                                                                      ;143381, г.Москва, Наро-Фоминский р-н, пос. Киевский, д.17, кв.75                                                                                                                                                                                              ;(495) 346-30-76                                                                                                                                                                                                                                               ;(929) 628-66-05                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmsh10@mail.ru                                                                                                                                                                                                                                                
174;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Ново-федоровская музыкальная школа»                                                                                                                     ;ГБОУ ДОД г.Москвы «Ново-федоровская музыкальная школа»                                                                                                                                                                                                        ;143340, г.Москва, Наро-Фоминский р-н, пос. Яковлевское, д.1                                                                                                                                                                                                   ;36,94112;55,465134;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Троицкий АО                                                                                                                                                                                                                                                   ;Новофедоровское                                                                                                                                                                                                                                               ;143340, г.Москва, Наро-Фоминский р-н, пос. Яквлевское, д.1                                                                                                                                                                                                    ;(495) 342-02-18,    (495) 342-03-43                                                                                                                                                                                                                           ;(906) 753-93-08                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;yulyanab@gmail.com                                                                                                                                                                                                                                            
207;"Государственное бюджетное образовательное учреждение города Москвы детская музыкально-хоровая школа ""Радость""                                                                                                                                                 ";"Детская музыкально-хоровая школа ""Радость""                                                                                                                                                                                                                    ";125008 Михалковская улица, д. 22                                                                                                                                                                                                                              ;1922,665925;19230,90257;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Коптево                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;(499) 154-35-20                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
