0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Адрес электронной почты;1_Режим работы;0_moddate;0_moduser
92;Государственное казенное учреждение инженерная служба района Зюзино                                                                                                                                                                                           ;ГКУ ИС района Зюзино                                                                                                                                                                                                                                          ;г.Москва, ул.Фруктовая, д.18                                                                                                                                                                                                                                  ;6915,606575;-548,6908251;0;                                                                                                                                                                                                                                                              ;Фруктовая                                                                                                                                                                                                                                                     ;18;                                                                                                                                                                                                                                                              ;(499) 613-59-00, (499) 613-22-70                                                                                                                                                                                                                              ;guis_abotdel@mail.ru                                                                                                                                                                                                                                          ;пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
94;Государственное казенное учреждение инженерная служба района Коньково                                                                                                                                                                                         ;ГКУ ИС района Коньково                                                                                                                                                                                                                                        ;г.Москва, ул.Островитянова д.32                                                                                                                                                                                                                               ;1560,55075;-3844,225622;0;                                                                                                                                                                                                                                                              ;Островитянова                                                                                                                                                                                                                                                 ;32;                                                                                                                                                                                                                                                              ;(495)429-75-59                                                                                                                                                                                                                                                ;konkovo1@mail.ru                                                                                                                                                                                                                                              ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
95;Государственное казенное учреждение инженерная служба района Котловка                                                                                                                                                                                         ;ГКУ ИС района Котловка                                                                                                                                                                                                                                        ;г.Москва, ул.Нагорная, д.31, корп.1                                                                                                                                                                                                                           ;6223,728856;800,8101758;0;                                                                                                                                                                                                                                                              ;Нагорная                                                                                                                                                                                                                                                      ;31;1;(499)123-54-83                                                                                                                                                                                                                                                ;Отсутствует                                                                                                                                                                                                                                                   ;пн.-технический день, вт.-сб. 09.00-19.00, без перерыва, вс. - выходной                                                                                                                                                                                       ;25.01.2013;opens\fedinaon                                                                                      
96;Государственное казенное учреждение инженерная служба Ломоносовского района                                                                                                                                                                                   ;ГКУ ИС Ломоносовского района                                                                                                                                                                                                                                  ;г.Москва, ул.Ак.Пилюгина, д.16, корп.1                                                                                                                                                                                                                        ;2324,5875;167,584;0;                                                                                                                                                                                                                                                              ;Ак.Пилюгина                                                                                                                                                                                                                                                   ;16;1;(499) 132-04-44                                                                                                                                                                                                                                               ;guis_lomo@bk.ru                                                                                                                                                                                                                                               ;пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                      ;25.01.2013;opens\fedinaon                                                                                      
93;Государственное казенное учреждение инженерная служба Гагаринкого района                                                                                                                                                                                      ;ГКУ ИС Гагаринкого района                                                                                                                                                                                                                                     ;г.Москва, Ленинский просп., д.62/1                                                                                                                                                                                                                            ;3546,261;3017,58173;0;                                                                                                                                                                                                                                                              ;Ленинский                                                                                                                                                                                                                                                     ;60;2;(499) 137-39-19                                                                                                                                                                                                                                               ;guisgagarinsky@yandex.ru                                                                                                                                                                                                                                      ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
97;Государственное казенное учреждение инженерная служба Академического района                                                                                                                                                                                   ;ГКУ ИС Академического района                                                                                                                                                                                                                                  ;г.Москва, ул.Новочеремушкинская, д.23, корп.5                                                                                                                                                                                                                 ;5147,781734;1529,087024;0;                                                                                                                                                                                                                                                              ;Новочеремушкинская                                                                                                                                                                                                                                            ;23;5;"(499) 129-58-66;                                                                                                                                                                                                                                              ";eirc-akadem@mail.ru                                                                                                                                                                                                                                           ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
98;Государственное казенное учреждение инженерная служба Обручевского района                                                                                                                                                                                     ;ГКУ ИС Обручевского района                                                                                                                                                                                                                                    ;г.Москва, ул.Новаторов д.4 к.8                                                                                                                                                                                                                                ;1189,4735;-198,2135267;0;                                                                                                                                                                                                                                                              ;Новаторов                                                                                                                                                                                                                                                     ;4;8;7358267;obruch-eirc@mail.ru                                                                                                                                                                                                                                           ;пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
99;Государственное казенное учреждение  инженерная служба района Северное Бутово                                                                                                                                                                                 ;ГКУ  ИС района Северное Бутово                                                                                                                                                                                                                                ;г.Москва, ул.Грина д.1 к.2                                                                                                                                                                                                                                    ;5300,4392;-11700,75369;0;                                                                                                                                                                                                                                                              ;Грина                                                                                                                                                                                                                                                         ;1;2;499 744 23 85                                                                                                                                                                                                                                                 ;eircs288@yandex.ru                                                                                                                                                                                                                                            ;пн.-технический день, вт.-пт. 09.00-19.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
100;Государственное казенное учреждение инженерная служба района Теплый Стан                                                                                                                                                                                      ;ГКУ ИС района Теплый Стан                                                                                                                                                                                                                                     ;г.Москва, ул.Профсоюзная, д.128                                                                                                                                                                                                                               ;1140,983;-3954,196389;0;                                                                                                                                                                                                                                                              ;Профсоюзная                                                                                                                                                                                                                                                   ;128;                                                                                                                                                                                                                                                              ;499 338 50 30                                                                                                                                                                                                                                                 ;eirc-ts@mail.ru                                                                                                                                                                                                                                               ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
101;Государственное казенное учреждение инженерная служба района Черемушки                                                                                                                                                                                        ;ГКУ ИС района Черемушки                                                                                                                                                                                                                                       ;г.Москва, ул.Новочеремушкинская, д.61А                                                                                                                                                                                                                        ;4292,611346;107,5462128;0;                                                                                                                                                                                                                                                              ;Новочеремушкинская                                                                                                                                                                                                                                            ;61;А                                                                                                                                                                                                                                                             ;(499)128-48-32                                                                                                                                                                                                                                                ;cheremush@mail.ru                                                                                                                                                                                                                                             ;пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
102;Государственное казенное учреждение инженерная служба района Южное Бутово                                                                                                                                                                                     ;ГКУ ИС района Южное Бутово                                                                                                                                                                                                                                    ;г.Москва, бул.Адмирала Ушакова, д.3                                                                                                                                                                                                                           ;3543,940152;-13361,30465;0;                                                                                                                                                                                                                                                              ;Адмирала Ушакова                                                                                                                                                                                                                                              ;3;                                                                                                                                                                                                                                                              ;(495) 716-24-72                                                                                                                                                                                                                                               ;titaeva_ta@uzao.asueirc.ru                                                                                                                                                                                                                                    ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 08.00-15.45, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
103;Государственное казенное учреждение инженерная служба района Ясенево                                                                                                                                                                                          ;ГКУ ИС района Ясенево                                                                                                                                                                                                                                         ;г.Москва, ул.Айвазовского, д.8, корп.2                                                                                                                                                                                                                        ;2411,20605;-5745,419849;0;                                                                                                                                                                                                                                                              ;Айвазовского                                                                                                                                                                                                                                                  ;8;2;(495) 427-95-22                                                                                                                                                                                                                                               ;gkuis-yasenevo@mail.ru                                                                                                                                                                                                                                        ;пн.-технический день, вт.-пт. 09.00-20.00, сб. 09.00-15.45, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
104;Государственное казенное учреждение инженерная служба района Орехово-Боринженерная службаово Южное                                                                                                                                                            ;ГКУ ИС района Орехово-Борисово Южное                                                                                                                                                                                                                          ;г.Москва, ул.Елецкая, д.11-2                                                                                                                                                                                                                                  ;14884,09898;-6474,47009;0;                                                                                                                                                                                                                                                              ;Елецкая                                                                                                                                                                                                                                                       ;11;2;499 782 75 40                                                                                                                                                                                                                                                 ;eirc262@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
105;Государственное казенное учреждение инженерная служба района Царицыно                                                                                                                                                                                         ;ГКУ ИС района Царицыно                                                                                                                                                                                                                                        ;г.Москва, Кантемировская 53 - 1                                                                                                                                                                                                                               ;9618,0682;-3271,186695;0;                                                                                                                                                                                                                                                              ;Кантемировская                                                                                                                                                                                                                                                ;53;1;(499)218-18-06                                                                                                                                                                                                                                                ;erc_caricino_263@mail.ru                                                                                                                                                                                                                                      ;пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
106;Государственное казенное учреждение  инженерная служба района Чертаново Северное                                                                                                                                                                              ;ГКУ  ИС района Чертаново Северное                                                                                                                                                                                                                             ;г.Москва, ул.Чертановская д.9 к.4                                                                                                                                                                                                                             ;6704,295;-4350,543617;0;                                                                                                                                                                                                                                                              ;Чертановская                                                                                                                                                                                                                                                  ;9;4;(495) 315 50 63                                                                                                                                                                                                                                               ;gyis-c-z@mail.ru                                                                                                                                                                                                                                              ;пн.-чт. 08.00-17.00 (перерыв 12.00-12.45) , пт. 8.00-15.45 (перерыв 12.00-12.45) , сб., вс. - выходной                                                                                                                                                        ;12:00:00 AM;                                                                                                    
107;Государственное казенное учреждение инженерная служба района Чертаново Центральное                                                                                                                                                                            ;ГКУ ИС района Чертаново Центральное                                                                                                                                                                                                                           ;г.Москва, ул.Кировоградская 16 -4                                                                                                                                                                                                                             ;6777,104363;-5308,717476;0;                                                                                                                                                                                                                                                              ;Кировоградская                                                                                                                                                                                                                                                ;16;4;(495) 316-73-66                                                                                                                                                                                                                                               ;irc_chc@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
108;Государственное казенное учреждение инженерная служба района Орехово-Боринженерная службаово Северное                                                                                                                                                         ;ГКУ ИС района Орехово-Борисово Северное                                                                                                                                                                                                                       ;г.Москва, ген. Белова 21 2                                                                                                                                                                                                                                    ;14062,32545;-5514,834764;0;                                                                                                                                                                                                                                                              ;ген. Белова                                                                                                                                                                                                                                                   ;21;2;(495) 394-01-96                                                                                                                                                                                                                                               ;nach-ERC261@uao-msk.ru                                                                                                                                                                                                                                        ;пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
109;Государственное казенное учреждение инженерная служба района Чертаново Южное                                                                                                                                                                                  ;ГКУ ИС района Чертаново Южное                                                                                                                                                                                                                                 ;г.Москва, ул.Газопровод, д.11-2                                                                                                                                                                                                                               ;6940,209445;-8493,958792;0;                                                                                                                                                                                                                                                              ;Газопровод                                                                                                                                                                                                                                                    ;11;2;(495) 389-40-36                                                                                                                                                                                                                                               ;zamnach266@mail.ru                                                                                                                                                                                                                                            ;пн.-пт. 09.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
110;Государственное казенное учреждение инженерная служба Нагорного района                                                                                                                                                                                        ;ГКУ ИС Нагорного района                                                                                                                                                                                                                                       ;г.Москва, Варшавское ш., д.77, корп.2                                                                                                                                                                                                                         ;7745,61118;-1034,850693;0;                                                                                                                                                                                                                                                              ; Варшавское                                                                                                                                                                                                                                                   ;77;2;(499)317-89-77                                                                                                                                                                                                                                                ;eirc260@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
