0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
254;Научно-исследовательский институт и музей антропологии им. Д.Н.Анучина Московского государственного университета им. М.В.Ломоносова                                                                                                                           ;Научно-исследовательский институт и музей антропологии им. Д.Н.Анучина Московского государственного университета им. М.В.Ломоносова                                                                                                                           ;Моховая ул., 11.                                                                                                                                                                                                                                              ;7172,487575;9875,481257;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 203-5067                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
255;Павильон-музей В.И.Ленина с паровозом У-127, (траурный поезд)                                                                                                                                                                                                 ;Павильон-музей В.И.Ленина с паровозом У-127, (траурный поезд)                                                                                                                                                                                                 ;Павелецкая пл., 1А                                                                                                                                                                                                                                            ;8935,18155;6997,318922;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;235-28-98                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
256;С.АРТ галерея                                                                                                                                                                                                                                                 ;С.АРТ галерея                                                                                                                                                                                                                                                 ;Земляной вал, дом 14/16, офис 109.                                                                                                                                                                                                                            ;9923,4251;10403,83824;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;495) 916-0366, (495) 917-5454                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
257;Археологический центр в Старом гостином дворе                                                                                                                                                                                                                 ;Археологический центр в Старом гостином дворе                                                                                                                                                                                                                 ;ул. Ильинка, дом 4                                                                                                                                                                                                                                            ;8023,6251;9551,610244;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
258;Театральная галерея на Малой Ордынке                                                                                                                                                                                                                          ;Театральная галерея на Малой Ордынке                                                                                                                                                                                                                          ;Малая Ордынка, 9, стр. 1                                                                                                                                                                                                                                      ;8019,95138;7994,05614;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 953-12-45                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
259;Центральный дом архитектора                                                                                                                                                                                                                                   ;Центральный дом архитектора                                                                                                                                                                                                                                   ;Гранатный пер., д. 7, стр. 1                                                                                                                                                                                                                                  ;5790,8604;10286,4326;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 691-49-76, (495) 690-27-50                                                                                                                                                                                                                              ;www.domarch.info                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
260;Центральный музей ФСБ России                                                                                                                                                                                                                                  ;Центральный музей ФСБ России                                                                                                                                                                                                                                  ;Б.Лубянка, 12                                                                                                                                                                                                                                                 ;8186,025075;10580,11237;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;914-85-38                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
261;Центральный музей Федеральной таможенной службы России                                                                                                                                                                                                        ;Центральный музей Федеральной таможенной службы России                                                                                                                                                                                                        ;Комсомольская пл., 1А                                                                                                                                                                                                                                         ;9729,124;12182,29867;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"265-98-94
265-98-81
                                                                                                                                                                                                                                          ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
262;Центральный музей Вооруженных сил                                                                                                                                                                                                                             ;Центральный музей Вооруженных сил                                                                                                                                                                                                                             ;ул. Советской Армии, д. 2,                                                                                                                                                                                                                                    ;7456,240596;13128,17702;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 681-48-77 спр. (495) 681-18-80                                                                                                                                                                                                                          ;www.cmaf.ru                                                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              
263;Государственный музей животноводства им. академика Е.Ф.Лискуна Московской сельскохозяйственной академии им. К.А.Тимирязева (мин.сельского хоз-ва),                                                                                                            ;Государственный музей животноводства им. академика Е.Ф.Лискуна Московской сельскохозяйственной академии им. К.А.Тимирязева (мин.сельского хоз-ва),                                                                                                            ;ул. Тимирязевская, 48                                                                                                                                                                                                                                         ;3363,697284;18383,14423;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 976-3870                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
264;"Музей ""Другое искусство""                                                                                                                                                                                                                                      ";"Музей ""Другое искусство""                                                                                                                                                                                                                                      ";Миусская площадь, д.6.                                                                                                                                                                                                                                        ;6140,069975;12346,4532;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;САО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 250-6193, 250-6908                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
265;Автовилль, музей частных коллекций                                                                                                                                                                                                                            ;Автовилль, музей частных коллекций                                                                                                                                                                                                                            ;"ул. Усачева, дом 2, стр. 1, корпус ""Д""                                                                                                                                                                                                                        ";4966,403625;7134,796729;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 705-98-81                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
266;Государственный историко-культурный музей-заповедник «Московский Кремль»                                                                                                                                                                                      ;Государственный историко-культурный музей-заповедник «Московский Кремль»                                                                                                                                                                                      ;Кремль                                                                                                                                                                                                                                                        ;37,615525;55,751528;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;Тверской                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;697-03-49, 697-44-22, 695-46-31, 695-41-46, (495) 621-55-03                                                                                                                                                                                                   ;621-63-23                                                                                                                                                                                                                                                     ;www.kreml.ru                                                                                                                                                                                                                                                  ;head@kremlin.museum.ru                                                                                                                                                                                                                                        
