1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;0_fax;0_site;0_email
220;Клуб Московского Локомотивно-ремонтного завода                                                                                                                                                                                                                ;Клуб Московского Локомотивно-ремонтного завода                                                                                                                                                                                                                ;111524, ул. Плющева, д. 18 «а»                                                                                                                                                                                                                                ;16405,96442;8299,461253;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
221;ГУП КСК «Луч»                                                                                                                                                                                                                                                 ;ГУП КСК «Луч»                                                                                                                                                                                                                                                 ;111123, ул. 1-я Владимировская, д. 10б                                                                                                                                                                                                                        ;17168,2626;10168,24576;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
222;Дом культуры «Прожектор»                                                                                                                                                                                                                                      ;ДК «Прожектор»                                                                                                                                                                                                                                                ;111123, ул. Владимировская, д. 103                                                                                                                                                                                                                            ;17168,2626;10168,24576;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
223;Дом культуры «Чайка»                                                                                                                                                                                                                                          ;ДК «Чайка»                                                                                                                                                                                                                                                    ;105118 Пр-т. Буденного, д. 14                                                                                                                                                                                                                                 ;13955,5172;12320,77066;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
224;Дворец культуры МГСУ                                                                                                                                                                                                                                          ;Дворец культуры МГСУ                                                                                                                                                                                                                                          ;107076 Стромынский переулок, д.5                                                                                                                                                                                                                              ;12328,13275;14044,66836;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
225;Дом культуры МЭЛЗ (Дворец на Яузе)                                                                                                                                                                                                                            ;ДК МЭЛЗ (Дворец на Яузе)                                                                                                                                                                                                                                      ;Площадь Журавлева, 12                                                                                                                                                                                                                                         ;12998,49818;12946,80784;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
226;Культурный центр ГУ МВД по городу Москве                                                                                                                                                                                                                      ;Культурный центр ГУ МВД по городу Москве                                                                                                                                                                                                                      ;Новослободская ул. 45/2                                                                                                                                                                                                                                       ;6004,98682;13081,18373;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
227;Дом культуры Российской экономической Академии им. Г.В. Плеханова                                                                                                                                                                                             ;Дом культуры Российской экономической Академии им. Г.В. Плеханова                                                                                                                                                                                             ;Стремянный пер., 28 кор.2а                                                                                                                                                                                                                                    ;8273,9398;6806,740787;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
228;Дом культуры Московского Государственного технического университета им. Н.Э. Баумана                                                                                                                                                                          ;ДК Московского Государственного технического университета им. Н.Э. Баумана                                                                                                                                                                                    ;Бауманская 2-я, 5                                                                                                                                                                                                                                             ;11662,28615;10927,31738;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
229;Клуб МГТУ «Станкин»                                                                                                                                                                                                                                           ;Клуб МГТУ «Станкин»                                                                                                                                                                                                                                           ;Вадковский пер, За                                                                                                                                                                                                                                            ;6097,620575;13695,7555;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
230;Центральный Дом культуры железнодорожников                                                                                                                                                                                                                    ;Центральный Дом культуры железнодорожников                                                                                                                                                                                                                    ;Комсомольская пл., 4                                                                                                                                                                                                                                          ;10060,76331;12081,11454;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
231;Дворец культуры Метростроя                                                                                                                                                                                                                                    ;Дворец культуры Метростроя                                                                                                                                                                                                                                    ;Костомаровский пер. 3                                                                                                                                                                                                                                         ;10502,35356;9420,607825;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
232;Дом культуры им. Зуева                                                                                                                                                                                                                                        ;ДК им. Зуева                                                                                                                                                                                                                                                  ;Лесная, 18                                                                                                                                                                                                                                                    ;5774,117271;12469,93875;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
