№ строки	Наименование объекта	Адрес	Муниципальный район и административный округ	Судебный район	Судья	Телефон	Факс	Адрес электронной почты
284	Судебный участок №212	119421 ул. Новаторов, д.16, корп.4	Обручевский район ЮЗАО	Гагаринский	Лапатинская Олеся Николаевна	(495)735-82-10	(495)735-82-66	mirsud212@ums-mos.ru
285	Судебный участок №213	119421 ул. Новаторов, д.16, корп.4	Ломоносовский район  ЮЗАО	Гагаринский	Перевозчикова Екатерина Юрьевна	(495)735-83-10	(495)735-83-10	mirsud213@ums-mos.ru
286	Судебный участок №302	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Измайлово ВАО	Измайловский	Кириллова Елена Сергеевна	(495)965-98-60	(495)465-27-71	mirsud302@ums-mos.ru
287	Судебный участок №303	105203 ул. 15-я Парковая, д.6/75, стр.1	Район  Восточное  Измайлово ВАО	Измайловский	Мясникова Лариса Васильевна	(495)465-64-70	(495)465-91-52	mirsud303@ums-mos.ru
288	Судебный участок №304	105203 ул. 15-я Парковая, д.6/75, стр.1	Район  Восточное  Измайлово ВАО	Измайловский	Кузнецова Юлия Николаевна	(495)965-90-28	(495)965-95-68	mirsud304@ums-mos.ru
289	Судебный участок №305	105203 ул. 15-я Парковая, д.6/75, стр.1	Район  Северное  Измайлово ВАО	Измайловский	не назначен	(495)965-60-56	(495)465-32-96	mirsud305@ums-mos.ru
290	Судебный участок №306	105203 ул. 15-я Парковая, д.6/75, стр.1	Район  Северное  Измайлово ВАО	Измайловский	Боровиков Виталий Иванович	(495)965-20-55	(495)965-20-56	mirsud306@ums-mos.ru
291	Судебный участок №307	105203 ул. 15-я Парковая, д.6/75, стр.1	Район  Северное  Измайлово ВАО	Измайловский	Андрюхин Антон Николаевич	(495)965-71-47	(495)965-43-11	mirsud307@ums-mos.ru
292	Судебный участок №308	129329 Игарский пр-д, д. 19	Район Свиблово СВАО	Бабушкинский	Гладкова Екатерина Олеговна	(495) 656-66-90	(499)189-94-92	mirsud308@ums-mos.ru
293	Судебный участок №309	129329 Игарский пр-д, д. 19	Район Свиблово СВАО	Бабушкинский	не назначен	(499)189-24-56	(499)189-96-56	mirsud309@ums-mos.ru
294	Судебный участок №310	129226 Проспект Мира, д.177	Район Ростокино СВАО	Останкинский	не назначен	(495)602-85-92	(499)187-42-47	mirsud310@ums-mos.ru
295	Судебный участок №312	129085  ул. Бочкова, д.8, корп.1	Останкинский район СВАО	Останкинский	Ткаченко Виктория Николаевна	(495)616-23-20	(495)616-38-14	mirsud312@ums-mos.ru
296	Судебный участок №386	129347 г. Москва, Югорский пр-д, д.20	Район Северное Медведково СВАО	Бабушкинский	Зорин Алексей Васильевич	(499)188-76-61	(499)183-72-18	mirsud386@ums-mos.ru
297	Судебный участок №387	127473  3-й Самотечный пер., д.8	Басманный район  ЦАО	Басманный	Чуканова Наталия Ивановна	(495)688-31-82	(495)688-31-74	mirsud387@ums-mos.ru
298	Судебный участок №388	127473  3-й Самотечный пер., д.12	Басманный район ЦАО	Басманный	Турянская Гульназ Алексеевна	(495)688-40-08	(495)688-36-53	mirsud388@ums-mos.ru
299	Судебный участок №389	127473  3-й Самотечный пер., д.12	Басманный район ЦАО	Басманный	не назначен			mirsud389@ums-mos.ru
300	Судебный участок №333	125414  ул. Петрозаводская, д.22, к.1	Тимирязевский район САО	Коптевский	Пантыкина Ольга Викторовна	(495)451-60-12	(495)451-63-65	mirsud333@ums-mos.ru
301	Судебный участок №334	125414  ул. Петрозаводская, д.22, к.1	Тимирязевский район САО	Коптевский	Банник Антон Евгеньевич	(495)451-60-31	(495)451-26-57	mirsud334@ums-mos.ru
302	Судебный участок №335	125475 ул. Зеленоградская, д.21	Тимирязевский район САО	Коптевский	Соловьёва Валерия Витальевна	(495)455-62-66	(495)455-62-49	mirsud335@ums-mos.ru
303	Судебный участок №336	127411 ул. Лобненская, д.9А, стр.1	Дмитровский район САО	Тимирязевский	не назначен	(495)484-75-69	(495)484-73-52	mirsud336@ums-mos.ru
304	Судебный участок №337	127411 ул. Лобненская, д.9А, стр.1	Дмитровский район САО	Тимирязевский	Шепелева Наталья Евгеньевна	(495)484-64-86	(495)484-45-50	mirsud337@ums-mos.ru
305	Судебный участок №338	127411 ул. Лобненская, д.9А, стр.1	Дмитровский район  САО	Тимирязевский	Кондратьева Елена Анатольевна	(499)747-79-51	(495)484-19-14	mirsud338@ums-mos.ru
306	Судебный участок №339	127411 ул. Лобненская, д.9А, стр.1	Район Восточное Дегунино САО	Тимирязевский	Соловьёва Галина Викторовна	(495)483-95-71	(495)483-82-16	mirsud339@ums-mos.ru
307	Судебный участок №340	127411 ул. Лобненская, д.9А, стр.1	Район Восточное Дегунино САО	Тимирязевский	Белова Оксана Александровна	(495)483-88-48	(495)483-63-91	mirsud340@ums-mos.ru
308	Судебный участок №341	127411 ул. Лобненская, д.9А, стр.1	Район Восточное Дегунино САО	Тимирязевский	Соколова Анна Александровна	(495)483-85-63	(495)483-71-53	mirsud341@ums-mos.ru
309	Судебный участок №342	127411 ул. Лобненская, д.9А, стр.1	Бескудниковский район САО	Тимирязевский	Мельникова Людмила Владимировна	(495)484-86-28	(495)484-86-14	mirsud342@ums-mos.ru
310	Судебный участок №343	127411 ул. Лобненская, д.9А, стр.1	Бескудниковский район САО	Тимирязевский	Ерохина Татьяна Николаевна	(495)484-79-08	(495)484-87-98	mirsud343@ums-mos.ru
311	Судебный участок №344	127411 ул. Лобненская, д.9А, стр.1	Бескудниковский район САО	Тимирязевский	Ростов Петр Анатольевич	(495)485-45-77	(495)484-90-67	mirsud344@ums-mos.ru
312	Судебный участок №345	125319 ул. Черняховского, д.17, к.1	Хорошевский район САО	Савёловский	Денисова Жанна Владимировна	(499)152-97-30	(499)152-97-30	mirsud345@ums-mos.ru
313	Судебный участок №360	127473  3-й Самотечный пер., д.12	Басманный район ЦАО	Басманный	Петрова Алла Владимировна	(495)688-40-21	(495)688-59-82	mirsud360@ums-mos.ru
314	Судебный участок №361	105064 ул. Казакова, д.3, стр.1	Басманный район ЦАО	Басманный	не назначен	(495)916-01-91	(495)917-91-36	mirsud361@ums-mos.ru
315	Судебный участок №362	105064 ул. Казакова,д.3, стр.1	Басманный район ЦАО	Басманный	Приз Галина Александровна	(495)916-18-63	(495)917-98-97	mirsud362@ums-mos.ru
316	Судебный участок №363	123022 ул.1905 года, д.4, стр.1	Район Хамовники ЦАО	Хамовнический	Морозова Карина Александровна	(499)790-04-25	(499)790-04-32	mirsud363@ums-mos.ru
317	Судебный участок №364	119121 Земледельческий пер., д.12	Район Хамовники ЦАО	Хамовнический	Шатрова Светлана Анатольевна	(499)241-81-16	(499)241-95-13	mirsud364@ums-mos.ru
318	Судебный участок №365	119049 ул. Донская, д.8	Район Хамовники ЦАО	Хамовнический	Веклич Екатерина Андреевна	(499)236-25-42	(499)237-63-45	mirsud365@ums-mos.ru
319	Судебный участок №366	115035 Космодамианская наб., д.26/55, с.7	Район Хамовники ЦАО	Хамовнический	Демидова Ирина Юрьевна	(495)953-53-37	(495)953-36-06	mirsud366@ums-mos.ru
320	Судебный участок №367	127473  3-й Самотечный пер., д.8	Тверской район ЦАО	Тверской	Коробкова Мария Евгеньевна	(495)688-10-56	(495)688-10-92	mirsud367@ums-mos.ru
321	Судебный участок №368	127473  3-й Самотечный пер., д.8	Тверской район ЦАО	Тверской	Некучаева Алеся Юрьевна	(495)688-26-04	(495)688-26-54	mirsud368@ums-mos.ru
322	Судебный участок №369	109012  Новая площадь, д.8,стр.1	Тверской район ЦАО	Тверской	Затомская (Боровкова) Ольга Юрьевна	(495)621-24-63	(495)621-38-65	mirsud369@ums-mos.ru
323	Судебный участок №370	109012  Новая площадь, д.8,стр.1	Тверской район ЦАО	Тверской	Стеклиев Алексей Викторович	(495)606-27-23	(495)621-48-60	mirsud370@ums-mos.ru
324	Судебный участок №371	109544 ул. Рабочая, д.29В	Таганский район ЦАО	Таганский	Горохова Татьяна Владимировна	(495)911-42-17	(495)911-81-10	mirsud371@ums-mos.ru
325	Судебный участок №372	109544 ул. Рабочая, д.29В	Таганский район ЦАО	Таганский	Долгашов Павел Васильевич	(495)911-54-19	(495)911-43-69	mirsud372@ums-mos.ru
326	Судебный участок №373	109544 ул. Рабочая, д.29В	Таганский район ЦАО	Таганский	Прохорова Софья Михайловна	(495)911-80-93	(495)911-80-93	mirsud373@ums-mos.ru
327	Судебный участок №374	109544 ул. Новорогожская,д.28	Таганский район ЦАО	Таганский	не назначен	(495)911-59-88	(495)911-58-79	mirsud374@ums-mos.ru
328	Судебный участок №206	121357 ул. Верейская, д.21 ;	Район Дорогомилово ЗАО	Дорогомиловский	не назначен	(495)443-96-13	(495)443-60-42	mirsud206@ums-mos.ru
329	Судебный участок №241	115280 ул. Автозаводская, д.17, корп. 2	Район Нагатинский затон ЮАО	Симоновский	не назначен	(495)675-23-64	(495)675-25-57	mirsud241@ums-mos.ru
330	Судебный участок №290	111141 ул. Коренная, д.8, корп.2	Район Перово ВАО	Перовский	не назначен	(499)748-77-92	(495)309-42-79	mirsud290@ums-mos.ru
331	Судебный участок №317	129347 Югорский пр-д, 20	Ярославский район СВАО	Бабушкинский	не назначен	(499)182-89-52	(499)182-88-32	mirsud317@ums-mos.ru
332	Судебный участок №327	129327 ул. Коминтерна, д.32/5	Лосиноостровский район СВАО	Бабушкинский	не назначен	(499)184-81-92	(499)184-36-95	mirsud327@ums-mos.ru
333	Судебный участок №381	127473  3-й Самотечный пер., д.12	Красносельский район  ЦАО	Мещанский	Каракешишева Елена Николаевна	(495)688-32-37	(495)688-32-47	mirsud381@ums-mos.ru
334	Судебный участок №382	127473  3-й Самотечный пер., д.12	Красносельский район  ЦАО	Мещанский	Шанина Татьяна Викторовна	(495)688-33-74	(495)688-34-74	mirsud382@ums-mos.ru
335	Судебный участок №383	129090 ул. Гиляровского, д.16, стр.2	Мещанский район  ЦАО	Мещанский	Городилов Алексей Дмитриевич	(495)681-22-57	(495)681-21-57	mirsud383@ums-mos.ru
336	Судебный участок №384	129090,  ул. Гиляровского, д.16, стр.2	Мещанский район  ЦАО	Мещанский	Локтев Сергей Валерьевич	(495)681-13-56	(495)680-17-62	mirsud384@ums-mos.ru
337	Судебный участок №385	129347 г. Москва, Югорский пр-д, д.20	Ярославский район СВАО	Бабушкинский	Ганус Дмитрий Иванович	(499)182-55-47	(499)182-91-73	mirsud385@ums-mos.ru
338	Судебный участок №430	пос. Кокошкино, ул.Дачная, д.7а	Поселения Внуковское, Кокошкино, Марушкинское, Филимоновское	Щербинский	не назначен	(495)847-80-42	(495)847-80-42	нет
339	судебный участок № 79	3-я Северная линия д. 6	Район Северный СВАО	Бутырский	Воронин Алексей Владимирович	(499)745-11-10	(499)767-61-90	mirsud79@ums-mos.ru
340	Судебный участок №153	ул. Демьяна Бедного д. 4 к. 2	Район Хорошево-Мневники СЗАО	Хорошевский	не назначен	(499) 728-36-30	(495) 946-36-69	mirsud153@ums-mos.ru
341	судебный участок № 275	Новокосинская ул. д. 13 к. 3	Район Новокосино ВАО	Перовский	не назначен	(495)703-29-96	(495)703-29-94	mirsud275@ums-mos.ru
342	Судебный участок №346	125252,  Ходынский бульвар,  д. 5, к. 3	Хорошевский район САО	Савёловский	Чистова Ольга Юрьевна	(499)762-84-07	(499)762-84-07	mirsud346@ums-mos.ru
343	Судебный участок №347	125130 ул.  Б. Академическая, д.15, корп.1	Савёловский район САО	Савёловский	Шилова Ирина Александровна	499)159-41-45	(499)159-35-48	mirsud347@ums-mos.ru
344	Судебный участок №348	125252,  Ходынский бульвар,  д. 5, к. 3	Савёловский район САО	Савёловский	Иванова Марина Александровна	(499)762-84-10	(499)762-84-13	mirsud348@ums-mos.ru
345	Судебный участок №349	125319 ул. Черняховского, д.17, к.1	Район Беговой САО	Савёловский	не назначен	(499)152-94-61	(499)152-94-61	mirsud349@ums-mos.ru
346	Судебный участок №350	125319 ул. Черняховского, д.17, к.1	Район Беговой САО	Савёловский	Лысенко Светлана Васильевна	(499)152-94-48	(499)152-97-68	mirsud350@ums-mos.ru
347	Судебный участок №351	125319 Б.Коптевский пр-д, д.10, к.2	Район Аэропорт САО	Савёловский	Валентейчик Екатерина Евгеньевна	(499)152-64-07	(499)152-75-82	mirsud351@ums-mos.ru
348	Судебный участок №352	125319 Б.Коптевский пр-д, д.10, к.2	Район Аэропорт САО	Савёловский	Бондаренко Константин Витальевич	(499)152-84-81	(499)152-83-38	mirsud352@ums-mos.ru
349	Судебный участок №353	125319 Б.Коптевский пр-д, д.10, к.2	Район Аэропорт САО	Савёловский	не назначен	(499)152-76-18	(499)152-83-25	mirsud353@ums-mos.ru
350	Судебный участок №354	125581 ул. Лавочкина, д.34	Район Коптево САО	Коптевский	Тюркина Ольга Михайловна	(495)454-94-54	(495)454-94-58	mirsud354@ums-mos.ru
351	Судебный участок №355	125581 ул. Лавочкина, д.34	Район Коптево САО	Коптевский	Рубанова Тамара Александровна	(495)453-61-52	(495)453-55-80	mirsud355@ums-mos.ru
352	Судебный участок №356	125581 ул. Лавочкина, д.34	Район Коптево САО	Коптевский	Сало Максим Валериевич	(495)453-64-82	(495)453-74-19	mirsud356@ums-mos.ru
353	Судебный участок №357	125635 ул. Талдомская, д.1	Район Западное Дегунино САО	Тимирязевский	Филиппова Оксана Викторовна	(499)905-00-47	(495)707-30-85	mirsud357@ums-mos.ru
354	Судебный участок №358	127411 ул. Лобненская, д.9А, стр.1	Район Западное Дегунино САО	Тимирязевский	Сычкова Светлана Анатольевна	(495)483-88-61	(495)484-90-73	mirsud358@ums-mos.ru
355	Судебный участок №359	127473  3-й Самотечный пер., д.8	Басманный район ЦАО	Басманный	не назначен	(495)688-31-47	(495)688-30-42	mirsud359@ums-mos.ru
356	Судебный участок №390	105064 ул. Казакова, д.3, стр.1	Басманный район ЦАО	Басманный	не назначен	(495)917-95-34	(495)917-95-34	mirsud390@ums-mos.ru
357	Судебный участок №391	127253 ул. Псковская, д.7,к.1	район Лианозово СВАО	Бутырский	Соколов Алексей Юрьевич	(495)668-32-51	(495)668-32-52	mirsud391@ums-mos.ru
358	Судебный участок №392	127221, г. Москва, пр-д. Шокальского, д.55, к.2	район Отрадное СВАО	Бутырский	не назначен	(499)798-30-48	(499)798-30-54	mirsud392@ums-mos.ru
359	Судебный участок №393	117421, г.Москва, ул.Новаторов, д. 16, корп. 4.	Обручевский район ЮЗАО	Гагаринский	Названова (Лысова) Диана Владимировна	(495)735-80-55	(495)735-80-55	mirsud393@ums-mos.ru
360	Судебный участок №394	117292, г. Москва, Нахимовский пр-т, д.56	Академический район  ЮЗАО	Гагаринский	Кротков Денис Сергеевич	(495)718-94-28	(495)718-95-61	mirsud394@ums-mos.ru
361	Судебный участок №395	121170 г. Москва ул. Поклонная, д. 6.	Район Дорогомилово ЗАО	Дорогомиловский	не назначен	(499)249-42-59	(499)249-44-92	mirsud395@ums-mos.ru
362	Судебный участок №396	115162 г. Москва, ул. Мытная,  д. 46/2, стр. 3.	Район Якиманка ЦАО	Замоскворецкий	Сибирев Глеб Аликович	(499)236-24-58	(499)236-47-25	mirsud396@ums-mos.ru
363	Судебный участок №397	109028 Подколокольный пер., д.4, стр.7	Район Замоскворечье ЦАО	Замоскворецкий	Патык Мария Юрьевна	(495)917-87-28	(495)917-52-32	mirsud397@ums-mos.ru
364	Судебный участок №399	115184 Б.Овчинниковский пер., д.20	Район Замоскворечье ЦАО	Замоскворецкий	Шемякина Яна Алексеевна	(499)951-19-14	(499) 951-19-15	mirsud399@ums-mos.ru
365	Судебный участок №400	124681,  ул. Заводская, д. 14	Район Крюково Зеленоград	Зеленоградский	Соганов Дмитрий Геннадьевич	(499)729-33-01	(499)729-35-40	mirsud400@ums-mos.ru
366	Судебный участок №401	117149 Азовская ул., д. 13	Район Зюзино ЮЗАО	Зюзинский	Грицких Андрей Иванович	(495)318-57-81	(495)318-21-63	mirsud401@ums-mos.ru
367	Судебный участок №402	117623 ул. Старонародная, д.2	Район Южное Бутово ЮЗАО	Зюзинский	Картузова Ольга Владимировна	(495)712-52-27	(495)712-58-72	mirsud402@ums-mos.ru
368	Судебный участок №403	125008,  ул. Б.Академическая, д.49, стр.2	Тимирязевский  район САО	Коптевский	Климкина Екатерина Викторовна	(499)153-85-91	(499)153-94-31	mirsud403@ums-mos.ru
369	Судебный участок №404	125008,  ул. Б.Академическая, д.49, стр.2	Район Коптево САО	Коптевский	Родина Татьяна Васильевна	(499)153-86-84	(499)153-85-71	mirsud404@ums-mos.ru
370	Судебный участок №405	121596, г. Москва,  ул. Толбухина, д. 11, корп. 2	Можайский район ЗАО	Кунцевский	Гороховатская Евгения Сергеевна	(499)737-86-94	(499)737-88-25	mirsud405@ums-mos.ru
371	Судебный участок №406	111024, г. Москва, ул. Перовский пр-д, д. 7	Нижегородский район ЮВАО	Лефортовский	не назначен	(495)362-17-44	(495)362-38-00	mirsud406@ums-mos.ru
372	Судебный участок №407	109387, пр-т 40 лет Октября, д. 16,  корп. 1	Район Марьино ЮВАО	Люблинский	Разумовская Наталья Ивановна	(499)786-42-37	(499)786-42-36	mirsud407@ums-mos.ru
373	Судебный участок №408	127473  3-й Самотечный пер., д.12	Красносельский район  ЦАО	Мещанский	Иванченко Амра Викторовна	(495)688-92-02	(495)688-76-89	mirsud408@ums-mos.ru
374	Судебный участок №410	127473  3-й Самотечный пер., д.12	Мещанский район  ЦАО	Мещанский	Фурс  Елена Николаевна	(495)688-95-26	(495)688-98-13	mirsud410@ums-mos.ru
375	Судебный участок №411	127473  3-й Самотечный пер., д.8	Мещанский район   ЦАО	Мещанский	Пивоварова Яна Геворговна	(495)688-27-93	(495)688-29-50	mirsud411@ums-mos.ru
376	Судебный участок №412	129085 пр-т Мира, д.89	Останкинский район СВАО	Останкинский	не назначен	(495)687-06-01	(495)687-13-92	mirsud412@ums-mos.ru
377	Судебный участок №413	127521,  ул. Анненская, д.8	Район Марьина Роща СВАО	Останкинский	Петрякова Антонина Васильевна	(495)618-31-51	(495)618-68-10	mirsud413@ums-mos.ru
378	Судебный участок №414	129164, г. Москва, ул. Маломосковская, д. 2, к. 1	Алексеевский район СВАО	Останкинский	Лапина Виктория Владимировна	(495)682-11-86	(495)682-16-52	mirsud414@ums-mos.ru
379	Судебный участок №415	111625 ул. Святоозерская, д.30	Район Косино-Ухтомский ВАО	Перовский	НЕ ФУНКЦИОНИРУЕТ	нет	нет	mirsud415@ums-mos.ru
380	Судебный участок №311	129085  ул. Бочкова, д.8, корп.1	Останкинский район СВАО	Останкинский	Головченко Оксана Васильевна	(495)616-35-80	(495)616-34-79	mirsud311@ums-mos.ru
381	Судебный участок №313	127018 ул. Сущёвский вал, д.14/22, корп.7	Район Марьина Роща СВАО	Останкинский	Шарифьянова Екатерина Владимировна	(499)978-00-84	(499)972-18-28	mirsud313@ums-mos.ru
382	Судебный участок №314	127018 ул. Сущёвский вал, д.14/22, корп.7	Район Марьина Роща СВАО	Останкинский	Сушкова Олеся Александровна	(499)972-47-18	(499)978-13-91	mirsud314@ums-mos.ru
383	Судебный участок №315	129301 Проспект Мира, д.184, корп.1	Алексеевский район СВАО	Останкинский	не назначен	(495)686-01-11	(495)686-53-84	mirsud315@ums-mos.ru
384	Судебный участок №316	129301 Проспект Мира, д.184, корп.1 ;	Алексеевский район СВАО	Останкинский	Яковлева Светлана Борисовна	(495)686-12-33	(495)686-56-88	mirsud316@ums-mos.ru
385	Судебный участок №318	129347 Югорский пр-д,20	Ярославский район СВАО	Бабушкинский	Киселева Мария Константиновна	(499)188-67-57	(499)188-06-29	mirsud318@ums-mos.ru
386	Судебный участок №319	129347 Югорский пр-д,20	Ярославский район СВАО	Бабушкинский	Ломанова Марина Васильевна	(499)183-73-10	(499)188-76-63	mirsud319@ums-mos.ru
387	Судебный участок №320	127221 ул. Молодцова, д.3	Район Южное Медведково СВАО	Бабушкинский	не назначен	(495)602-79-41	(495)708-53-20	mirsud320@ums-mos.ru
388	Судебный участок №321	127221 ул. Молодцова, д.3	Район Южное Медведково СВАО	Бабушкинский	Акимова Вера Викторовна	(495)708-53-11	(495)708-54-11	mirsud321@ums-mos.ru
389	Судебный участок №322	127221 ул. Молодцова, д.3	Район Южное Медведково СВАО	Бабушкинский	Кучаева Ирина Дамировна	(495)708-52-66	(495)602-77-64	mirsud322@ums-mos.ru
390	Судебный участок №323	129347 Югорский пр-д, д.20	Район Северное Медведково СВАО	Бабушкинский	не назначен	(499)188-64-07	(499)188-78-07	mirsud323@ums-mos.ru
391	Судебный участок №324	129347 Югорский пр-д, д.20	Район Северное Медведково СВАО	Бабушкинский	Гусева Ирина Вячеславовна	(499)188-87-23	(499)183-76-03	mirsud324@ums-mos.ru
392	Судебный участок №325	129347 Югорский пр-д, д.20	Район Северное Медведково СВАО	Бабушкинский	не назначен	(499)183-74-28	(499)183-88-88	mirsud325@ums-mos.ru
393	Судебный участок №326	129347 Югорский пр-д, д.20	Район Северное Медведково СВАО	Бабушкинский	Баженова Анна Анатольевна	(499)182-70-52	(499)182-37-54	mirsud326@ums-mos.ru
394	Судебный участок №328	129327 ул. Коминтерна, д.32/5	Лосиноостровский район СВАО	Бабушкинский	Осокина Ирина Васильевна	(499)184-81-65	(499)184 -39-34	mirsud328@ums-mos.ru
395	Судебный участок №329	129327 ул. Коминтерна, д.32/5	Лосиноостровский район СВАО	Бабушкинский	не назначен	(499)184-26-19	(499)184-30-66	mirsud329@ums-mos.ru
396	Судебный участок №330	129347 Югорский пр-д, д.20	Бабушкинский район СВАО	Бабушкинский	Дегтярева Анна Владимировна	(499)188-66-88	(499)188-74-57	mirsud330@ums-mos.ru
397	Судебный участок №331	129327 ул. Коминтерна, д.32/5	Бабушкинский район СВАО	Бабушкинский	не назначен	(499)184-42-97	(499)184-81-56	mirsud331@ums-mos.ru
398	Судебный участок №332	129327 ул. Коминтерна, д.32/5	Бабушкинский район СВАО	Бабушкинский	Курышева Наталья Сергеевна	(499)184-86-10	(499)184-70-10	mirsud332@ums-mos.ru
399	судебный участок № 276	Новокосинская ул. д. 13 к. 3	район Новокосино ВАО	Перовский	Шилободина Инна Евгеньевна	(495)703-29-69	(495)703-29-88	mirsud276@ums-mos.ru
400	судебный участок № 277	Новокосинская ул. д. 13 к. 3	Район Новокосино ВАО	Перовский	Кондрашкина Евгения Николаевна	(495)703-29-89	(495)703-29-98	mirsud277@ums-mos.ru
401	Судебный участок №25	115280 ул. Автозаводская д.17, корп. 2	Район Царицыно ЮАО	Нагатинский	не назначен	(499)764-19-48	(499)764-19-70	mirsud25@ums-mos.ru
402	Судебный участок №114	115582 ул. Домодедовская д.24, корп.5	Район Орехово-Борисово Южное ЮАО	Нагатинский	не назначен	(495)343-23-25	(495)391-50-46	mirsud114@ums-mos.ru
403	Судебный участок №62	117574 пр-д Одоевского д.11, корп.7	Район Ясенево ЮЗАО	Черёмушкинский	не назначен	(495)427-93-04	(495)427-93-94	mirsud62@ums-mos.ru
404	Судебный участок №144	119618 ул.  50-лет Октября, д.6, к.2	Район Солнцево ЗАО	Солнцевский	не назначен	(499)792-36-75	(495)439-01-21	mirsud144@ums-mos.ru
405	Судебный участок №187	119602 ул. Никулинская, д.6, корп.1	Район Тропарёво-Никулино ЗАО	Никулинский	не назначен	(495)735-60-50	(495)735-63-64	mirsud187@ums-mos.ru
406	Судебный участок №375	123242 ул. Зоологическая, д.20, стр.1	Район Арбат ЦАО	Пресненский	не назначен	(499)254-20-31	(499)254-10-46	mirsud375@ums-mos.ru
407	Судебный участок №409	127473  3-й Самотечный пер., д.12	Красносельский район  ЦАО	Мещанский	не назначен	(495)688-97-83	(495)688-95-28	mirsud384@ums-mos.ru
408	Судебный участок №376	ул. 3-я Красногвардейская, д.3	Пресненский ЦАО	Пресненский	не назначен	(495) 707-23-24	(495) 707-20-30	mirsud376@ums-mos.ru
409	Судебный участок №416	123557,  ул. Пресненский Вал, д.16, стр.2	Район Арбат ЦАО	Пресненский	Азарова Диана Евгеньевна	(499)790-03-31	(499)790-00-19	mirsud416@ums-mos.ru
410	Судебный участок №417	127051,  Петровский б-р,  д. 9, стр.1.	Район Арбат ЦАО	Пресненский	Гусакова Дина Витальевна	(495)650-45-25	(495)650-47-60	mirsud417@ums-mos.ru
411	Судебный участок №418	123557,  ул. Пресненский Вал, д.16, стр.2	Пресненский район ЦАО	Пресненский	Копчак Светлана Николаевна	(499)790-03-32	(499)790-03-29	mirsud418@ums-mos.ru
412	Судебный участок №419	125252,  Ходынский бульвар,  д. 5, к. 3	Хорошевский район САО	Савеловский	Иванова Ольга Александровна	(499)762-84-02	(499)762-84-03	mirsud419@ums-mos.ru
413	Судебный участок №420	125252,  Ходынский бульвар,  д. 5, к. 3	Савеловский район САО	Савеловский	Гостюжева Инна Анатольевна	(499)762-84-10	(499)762-8412	mirsud420@ums-mos.ru
414	Судебный участок №421	119618 ул. 50 лет Октября, д.6, корп.2	Район Солнцево ЗАО	Солнцевский	Афанасьева Татьяна Юрьевна	(499)439-03-32	(499)792-36-76	mirsud421@ums-mos.ru
415	Судебный участок №422	109544, г. Москва, ул. Рабочая, д. 29В	Таганский район ЦАО	Таганский	Тимакова Альбина Юрьевна	(495)911-81-08	(495)911-81-08	mirsud422@ums-mos.ru
416	Судебный участок №423	127473  3-й Самотечный пер., д.12	Тверской район ЦАО	Тверской	Комлев Сергей Владимирович	(495)688-40-17	(495)688-63-50	mirsud423@ums-mos.ru
417	Судебный участок №424	125635, г. Москва, ул. Талдомская, д. 1	Район Западное Дегунино САО	Тимирязевский	Рысенков Дмитрий Александрович	(495)707-30-75	(495)707-31-15	mirsud424@ums-mos.ru
418	Судебный участок №425	119121, г. Москва,  7-ой Ростовский пер., д. 21	Район Хамовники ЦАО	Хамовнический	не назначен	(499)248-65-92	(499)248-65-92	mirsud425@ums-mos.ru
419	Судебный участок №426	123458 ул. Твардовского, д.4, корп.4	Район Строгино СЗАО	Хорошевский	Зиняков Дмитрий Николаевич	(495)750-11-07	(495)750-16-74	mirsud426@ums-mos.ru
420	Судебный участок №427	123098, г. Москва, ул. Гамалеи, д. 9	Район Щукино СЗАО	Хорошевский	Волк Дмитрий Чеславович	(499)196-09-52	(499)196-09-53	mirsud427@ums-mos.ru
421	Судебный участок №428	123154, г. Москва, б-р Генерала Карбышева, д. 16	Район Хорошево-Мневники СЗАО	Хорошевский	не назначен	(499)720-60-42	(499)720-60-48	mirsud428@ums-mos.ru
422	Судебный участок №429	117418  ул. Новочерёмушкинская д.49, корп.1	Район Черемушки  ЮЗАО	Черемушкинский	Молчанова Наталья Радионовна	(499)128-39-09	(499)723-04-18	mirsud429@ums-mos.ru
423	Судебный участок №431	поселение Сосенское, пос.Газопровод, д.18, корп.1	Поселения Воскресенское, Десеновское, Сосенское	Щербинский	не назначен	(495)817-83-54	(495)817-83-54	нет
424	Судебный участок №432	пос.Московский , зд. «Бытовой корпус», ЗАО «Агрокомбинат Московский»	Щербинский район	Щербинский	не назначен	нет	нет	
425	Судебный участок №433	Подольск, пос.Фабрика 1 Мая, д.1	Щербинский район	Щербинский	Гаврилова Виктория Игоревна	(495)867-83-64	(495)867-83-64	нет
426	Судебный участок №434	Щербинка, ул.Пушкинская, д.8	Щербинский район	Щербинский	Фоминых Валерий Аркадьевич	(495)867-10-09	(495)867-10-09	нет
427	Судебный участок №435	Пос.Вороново, ЛМС. Микр. Центральный, д.12б	Троицкий район	Троицкий	не назначен	(495)850-66-67	(495)850-66-67	нет
428	Судебный участок №436	Щаповский с/о, пос.Щапово, д.2	Троицкий район	Троицкий	не назначен	(495)865-60-19	(495)865-60-19	нет
429	Судебный участок №437	Троицк, Октябрьский пр-т, д.20	Троицкий район	Троицкий	Сухов Алексей Анатольевич	(495)850-21-49	(495)850-21-49	нет
