№ строки	Название	Наименование ансамбля	Категория
3170	Бюст Ф.П.Гааза, 1909 г., ск. Н.А.Андреев, бронза, гранит		Объект культурного наследия федерального значения
3171	Флигель	Усадьба Нарышкиных, XVIII-XIX вв.	Объект культурного наследия федерального значения
3172	Флигель	Усадьба Нарышкиных, XVIII-XIX вв.	Объект культурного наследия федерального значения
3173	Службы	Усадьба Нарышкиных, XVIII-XIX вв.	Объект культурного наследия федерального значения
3174	Службы	Усадьба Нарышкиных, XVIII-XIX вв.	Объект культурного наследия федерального значения
3175	Службы	Усадьба Нарышкиных, XVIII-XIX вв.	Объект культурного наследия федерального значения
3176	Ограда с пилонами ворот	Усадьба Нарышкиных, XVIII-XIX вв.	Объект культурного наследия федерального значения
3177	Ограда с пилонами ворот	Усадьба Нарышкиных, XVIII-XIX вв.	Объект культурного наследия федерального значения
3178	Ограда	Городская усадьба, XVIII-XIX вв.	Объект культурного наследия регионального значения
3179	Ограда	Городская усадьба, XVIII-XIX вв.	Объект культурного наследия регионального значения
3180	Ограда	Городская усадьба, XVIII-XIX вв.	Объект культурного наследия регионального значения
3181	Службы западные	Городская усадьба, XVIII-XIX вв.	Объект культурного наследия регионального значения
3182	Службы восточные	Городская усадьба, XVIII-XIX вв.	Объект культурного наследия регионального значения
3183	Службы северные	Городская усадьба, XVIII-XIX вв.	Объект культурного наследия регионального значения
3184	Флигель западный	Городская усадьба, XVIII-XIX вв.	Объект культурного наследия регионального значения
3185	Главный дом	Городская усадьба, XVIII-XIX вв.	Объект культурного наследия регионального значения
3186	Дом, конец XVIII в. начало XIX в. Росписи, начало XIX в.		Объект культурного наследия федерального значения
3187	Дом жилой, XVII XIX вв.		Объект культурного наследия федерального значения
3188	Оранжерея, 1833 г., арх-ры С.И.Чевакинский, И.Жеребцов, Д.И.Жилярди	Дача Дмитриева-Мамонова	Объект культурного наследия федерального значения
3189	Дворец, 1756-1761 гг., арх-ры С.И.Чевакинский, И.Жеребцов, Д.И.Жилярди	Дача Дмитриева-Мамонова	Объект культурного наследия федерального значения
3190	Ограда с воротами, 1864 г., архитектор А.С.Каминский	Городская усадьба, Д.А.Четверикова - Ф.Л.Кнопа, XVIII в. - XIX в., нач. XX в., архитекторы А.С.Каминский, Б.В.Фрейденберг, техник архитектуры К.Г.Трейман	Объект культурного наследия регионального значения
3191	Ограда с воротами, 1864 г., архитектор А.С.Каминский	Городская усадьба, Д.А.Четверикова - Ф.Л.Кнопа, XVIII в. - XIX в., нач. XX в., архитекторы А.С.Каминский, Б.В.Фрейденберг, техник архитектуры К.Г.Трейман	Объект культурного наследия регионального значения
3192	Церковь Троицы, 1693 г.		Объект культурного наследия федерального значения
3193	Храм Рождества Пресвятой Богородицы в Капотне, 1860-е 1870-е гг.		Объект культурного наследия регионального значения
3194	Палаты в Кадашевской слободе, XVII в.		Объект культурного наследия федерального значения
3195	Палаты в Кадашевской слободе, XVII начало XVIII вв.		Объект культурного наследия федерального значения
3196	Палаты, XVII в.		Объект культурного наследия федерального значения
3197	Жилой дом фрагмент застройки Кадашевской набережной, XVIII-XIX вв.	Комплекс застройки Кадашевской набережной, XVIII-XIX вв.	Объект культурного наследия регионального значения
3198	Жилой дом	Комплекс застройки Кадашевской набережной, XVIII-XIX вв.	Объект культурного наследия регионального значения
3199	Палаты Симона Ушакова, XVII в.		Объект культурного наследия федерального значения
3200	Палаты Симона Ушакова, XVII в.		Объект культурного наследия федерального значения
3201	Сооружения Красного двора, 1809 г.: южный флигель	Ансамбль подмосковной усадьбы "Кузьминки", конец XVIII - начало XX вв.	Объект культурного наследия федерального значения
3202	гараж	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский	Объект культурного наследия регионального значения
3203	Конторские здания	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский	Объект культурного наследия регионального значения
3204	Конторские здания	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский	Объект культурного наследия регионального значения
3205	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский		Объект культурного наследия регионального значения
3206	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский		Объект культурного наследия регионального значения
3207	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский		Объект культурного наследия регионального значения
3208	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский		Объект культурного наследия регионального значения
3209	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский		Объект культурного наследия регионального значения
3210	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский		Объект культурного наследия регионального значения
3211	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский		Объект культурного наследия регионального значения
3212	Сквер "Ильинский" (2.4 Га)		Объект культурного наследия регионального значения
3213	Памятник гренадерам, павшим под Плевной, 1887 г., ск. В.О.Шервуд, камень, чугун, цинк		Объект культурного наследия федерального значения
3214	Доходный дом И.Г.Хрящева В.И.Варгина Серпуховского городского общества, 1760-1772 гг., 1780-е гг., 1888 г., 1901-1904 гг., архитекторы М.Ф.Казаков, Р.И.Клейн		Объект культурного наследия регионального значения
3215	Доходный дом А.С.Павлова Н.С.Калинина Торгово-административное здание Московского Торгового банка ("Банк Н.А.Найденова"), 1790-е гг., 1882 г., архитекторы М.Ф.Казаков, Б.В.Фрейденберг		Объект культурного наследия регионального значения
3216	Здание биржи, 1873-1875 гг., арх. Каминский А.С.		Объект культурного наследия федерального значения
3217	Церковь Илии Пророка в Новгородском подворье, XVI-XVII вв.		Объект культурного наследия федерального значения
3218	Дом, XIX в.		Объект культурного наследия федерального значения
3219	перронный зал, архитектор Виленский Б.С. (при участии Григорьева Л., Шагуриной Л.А.), скульптор Манизер М.Г.	Станция Московского метрополитена Арбатско-Покровской линии "Измайловский парк", 1944 г.	Объект культурного наследия регионального значения
3220	Станция Московского метрополитена Арбатско-Покровской линии "Измайловский парк", 1944 г.		Объект культурного наследия регионального значения
3221	Рождественская церковь, 1676 г.  Колокольня, I половина XVIII в.		Объект культурного наследия федерального значения
3222	Здание Московской таможни, XIX в.	Ансамбль площади, XIX-XX вв.	Объект культурного наследия федерального значения
3223	Флигель восточный	Усадьба, XVIII-XIX вв.	Объект культурного наследия федерального значения
3224	"Усадьба "Разумовского" (29,0 га)		Объект культурного наследия регионального значения
3225	Ограда и Ворота	Усадьба А.К.Разумовского	Объект культурного наследия федерального значения
3226	Главный дом, 1799-1802 гг.	Усадьба А.К.Разумовского	Объект культурного наследия федерального значения
3227	Городская усадьба А.Тихонова, XIX в. XX в.Главный дом, 1800-е гг., 1830-е гг., XX в.		Объект культурного наследия регионального значения
3228	Церковь Воскресения в Кадашах, 1687 г., арх. С.Турчанинов. Колокольня, 1695 г.		Объект культурного наследия федерального значения
3229	Храм св. прп. Сергия Радонежского в Бусинове, 1857-1860-е гг., гражданский инженер В.О. Грудзин, помощник гражданского инженера А.Ф. Ярошевский		Объект культурного наследия регионального значения
3230	Дом причта южный	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3231	Дом причта северный	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3232	Дом Дворцового ведомства, начало XIX в.		Объект культурного наследия федерального значения
3233	Дом, начало XIX в. главный дом	Усадьба Делесаля Д.Ф. - Любощинской А.Е., XIX - нач. ХХ вв.	Объект культурного наследия федерального значения
3234	Ограда с тремя воротами	Провиантские магазины, 1832-1835 гг., арх. В.П.Стасов	Объект культурного наследия федерального значения
3235	Ограда с тремя воротами	Провиантские магазины, 1832-1835 гг., арх. В.П.Стасов	Объект культурного наследия федерального значения
3236	Ограда с тремя воротами	Провиантские магазины, 1832-1835 гг., арх. В.П.Стасов	Объект культурного наследия федерального значения
3237	Ограда с тремя воротами	Провиантские магазины, 1832-1835 гг., арх. В.П.Стасов	Объект культурного наследия федерального значения
3238	Три корпуса Корпус	Провиантские магазины, 1832-1835 гг., арх. В.П.Стасов	Объект культурного наследия федерального значения
3239	Гауптвахта	Провиантские магазины, 1832-1835 гг., арх. В.П.Стасов	Объект культурного наследия федерального значения
3240	Школа, в которой училась Космодемьянская Зоя Анатольевна в 1933-1941 гг.		Объект культурного наследия федерального значения
3241	Главный дом городской усадьбы ("Шталмейстерский дворец"), XVII-XVIII вв.		Объект культурного наследия регионального значения
3242	Дом директора Института К. Маркса и Ф. Энгельса ("дом Д.Б. Рязанова") 1925 г., архитектор С.Н. Грузенберг. Здесь в 1920 1930 -х гг. жил и работал первый директор ИМЛ Д.Б. Рязанов	Городская усадьба С.А. Голицына - А.И. Вяземского - И.Г. Покровского - Н.В. и П.Д. Долгоруковых (с 1920-х годов Институт К. Маркса и Ф. Энгельса), 2-я пол. XVII - XIX вв., начало XX в., 1920-е гг.	Объект культурного наследия регионального значения
3243	Главный дом (в основе палаты XVII в.) конец XVIII в., XIX в., начало XX в. Здесь 12 июля 1792 года родился поэт П.А.Вяземский, долгое время жил историк Н.М.Карамзин	Городская усадьба С.А. Голицына - А.И. Вяземского - И.Г. Покровского - Н.В. и П.Д. Долгоруковых (с 1920-х годов Институт К. Маркса и Ф. Энгельса), 2-я пол. XVII - XIX вв., начало XX в., 1920-е гг.	Объект культурного наследия регионального значения
3244	Флигель усадьбы Лопухиных, XIX в.		Объект культурного наследия регионального значения
3245	Дом, XVIII в. c палатами XVII в. главный дом		Объект культурного наследия федерального значения
3246	Жилой дом, начало XIX в.		Объект культурного наследия федерального значения
3247	Городская усадьба Трубецких-Щукиных, сер. XVIII в. нач. XX в. Главный дом с флигелем, 1740-е гг., кон. XVIII в., 1850-е гг., 1907-1912 гг., гражданский инженер Л.Н.Кекушев. Здесь в 1888-1909 гг. жил предприниматель и коллекционер С.И.Щукин, в 1909-1917 г		Объект культурного наследия регионального значения
3248	Здание кинотеатра "Вулкан", в котором 13 мая 1920 г. Ленин Владимир Ильич выступал на рабоче-красноармейской конференции Рогожско-Симоновского района		Объект культурного наследия федерального значения
3249	Дом жилой, 2-я пол. XVIII в.		Объект культурного наследия федерального значения
3250	Ворота и решетка ограды парка	Усадьба Усачевых-Найденовых, 1829-1831 гг.	Объект культурного наследия федерального значения
3251	Парк	Усадьба Усачевых-Найденовых, 1829-1831 гг.	Объект культурного наследия федерального значения
3252	Грот	Усадьба Усачевых-Найденовых, 1829-1831 гг.	Объект культурного наследия федерального значения
3253	Беседка-ротонда западная	Усадьба Усачевых-Найденовых, 1829-1831 гг.	Объект культурного наследия федерального значения
3254	Беседка-ротонда восточная	Усадьба Усачевых-Найденовых, 1829-1831 гг.	Объект культурного наследия федерального значения
3255	Амбар и Каретный сарай	Усадьба Усачевых-Найденовых, 1829-1831 гг. Здания служб:	Объект культурного наследия федерального значения
3256	Кладовые	Усадьба Усачевых-Найденовых, 1829-1831 гг. Здания служб:	Объект культурного наследия федерального значения
3257	конюшни и сараи	Усадьба Усачевых-Найденовых, 1829-1831 гг. Здания служб:	Объект культурного наследия федерального значения
3258	Главный дом усадьбы с пандусом в сад, интерьеры с живописью плафонов	Усадьба Усачевых-Найденовых, 1829-1831 гг.	Объект культурного наследия федерального значения
3259	Жилой дом, XVIII в.		Объект культурного наследия федерального значения
3260	Дом, конец XVIII в.		Объект культурного наследия федерального значения
3261	Жилой дом, XVIII в.		Объект культурного наследия федерального значения
3262	Квартира, в которой жил Чкалов Валерий Павлович в 1936-1938 гг.	Здание, где находится	Объект культурного наследия регионального значения
3263	Земледельческое училище, нач. ХХ в.		Объект культурного наследия регионального значения
3264	Дом, в котором в 1880-х гг. жил Репин Илья Ефимович. Здесь у него бывал Л.Н.Толстой		Объект культурного наследия федерального значения
3265	Мозаичное панно и рельеф на фасаде здания торгового центра и ресторана "Русский лес", 1970 г., худ. Аблин Е.М., Велижева М.А.		Объект культурного наследия регионального значения
3266	Церковь Николы Чудотворца в деревне Ржавки, 1827 г., с колокольней Колокольня		Объект культурного наследия регионального значения
3267	Церковь Николы Чудотворца в деревне Ржавки, 1827 г., с колокольней Церковь		Объект культурного наследия регионального значения
3268	Дом, в котором в 1904-1907 гг. жил артист Ф.И. Шаляпин		Объект культурного наследия регионального значения
3269	Стена-ограда, XIX вв.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3270	Стена-ограда, XIX вв.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3271	Стена-ограда, XIX вв.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3272	Стена-ограда, XIX вв.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3273	Стена-ограда, XIX вв.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3274	Новый трапезный корпус, 1909 г.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3275	Старый трапезный корпус, 1-я треть XIX в.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3276	Южный корпус келий, нач. XX в.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3277	Деревянные келии, 2-я пол. XIX в.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3278	Северо-восточный корпус келий, XIX в.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3279	Северный корпус келий, 1-я четв. XIX в.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3280	Настоятельский корпус, XVII, XIX вв.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3281	Церковь Сошествия Духа Святого с больничным корпусом, 1844-1850 гг., арх. М.Д.Быковский	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3282	Надвратная церковь Зачатьевского монастыря, XVII в.	Ансамбль Зачатьевского монастыря, XVII в., XIX вв.	Объект культурного наследия федерального значения
3283	перронный зал, архитекторы Демченко Е.С., Лященко С.В.	Станция Московского метрополитена Горьковско-Замоскворецкой линии "Павелецкая", 1943 г.	Объект культурного наследия регионального значения
3284	Базисный склад	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский	Объект культурного наследия регионального значения
3285	Базисный склад	Комплекс  складов и гаражей Снабгрэсса, 1934 г., арх. В.Н.Никольский	Объект культурного наследия регионального значения
3286	Здание Реввоенсовета республики, в котором 6 декабря 1919 г. Ленин Владимир Ильич посетил Главнокомандующего вооруженными силами С.С.Каменева		Объект культурного наследия федерального значения
3287	Памятник М.В.Фрунзе, 1959 г., скульптор Виленский З.М., архитекторы Гаврилов Г.И., Кутырев Е.И.		Объект культурного наследия регионального значения
3288	Флигель	Усадьба, 1-я пол. XIX в.	Объект культурного наследия федерального значения
3289	Главный дом	Усадьба, 1-я пол. XIX в.	Объект культурного наследия федерального значения
3290	Ограда с воротами	Городская усадьба, начало XIX в.	Объект культурного наследия федерального значения
3291	Жилой дом	Городская усадьба, начало XIX в.	Объект культурного наследия федерального значения
3292	Доходный дом Шамшина, 1909 г., арх. Шехтель Ф.О.		Объект культурного наследия федерального значения
3293	Дом жилой, 1-я пол. XIX в., арх. Тюрин Е.Д.		Объект культурного наследия федерального значения
3294	Дом и школа, арх. М.Ф.Казаков, XVIII в.		Объект культурного наследия федерального значения
3295	Церковь, начало ХХ в.		Объект культурного наследия федерального значения
3296	Церковь Покрова,  XVI-XVII вв.		Объект культурного наследия федерального значения
3297	Дом, в котором в 1834-1841 гг. жил драматург А.Н.Островский		Объект культурного наследия регионального значения
3298	Памятник С.А.Есенину, 1972 г., ск. Цигаль В.Е., арх. Вахтангов С.Е., Юров Ю.В., бронза		Объект культурного наследия регионального значения
3299	Жилой дом, начало XIX в., 1915 г., проф. А.В.Кузнецов. Дом архитектора Кузнецова А.В, котором он жил и работал в 1915-1954 гг.	Усадьба Кузнецова А.В., 1-я треть XIX - нач. XX вв.	Объект культурного наследия федерального значения
3300	Ограда	Особняк Ф.О.Шехтеля в Ермолаевском переулке, с флигелем и оградой, 1896 г., арх. Ф.О.Шехтель	Объект культурного наследия регионального значения
3301	Ограда	Особняк Ф.О.Шехтеля в Ермолаевском переулке, с флигелем и оградой, 1896 г., арх. Ф.О.Шехтель	Объект культурного наследия регионального значения
3302	Флигель	Особняк Ф.О.Шехтеля в Ермолаевском переулке, с флигелем и оградой, 1896 г., арх. Ф.О.Шехтель	Объект культурного наследия регионального значения
3303	Особняк Шехтеля Ф.О., 1896 г., арх. Шехтель Ф.О.	Особняк Ф.О.Шехтеля в Ермолаевском переулке, с флигелем и оградой, 1896 г., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
3304	Дом Московского архитектурного общества, 1913 г., арх. Марков Д.С. Здесь работали архитекторы: Жолтовский И.В., Кузнецов А.В., Шехтель Ф.О., Великовский Б.М. и др.		Объект культурного наследия федерального значения
3305	Жилой дом, начало XIX в.	Комплекс жилой застройки, XVIII-XIX вв.	Объект культурного наследия федерального значения
3306	Жилой дом, 2-я пол. XIX в.	Комплекс жилой застройки, XVIII-XIX вв.	Объект культурного наследия федерального значения
3307	Флигель, XIX в.	Комплекс жилой застройки, XVIII-XIX вв.	Объект культурного наследия федерального значения
3308	Жилой дом (Головкина), конец XVIII начало XIX вв.	Комплекс жилой застройки, XVIII-XIX вв.	Объект культурного наследия федерального значения
3309	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3310	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3311	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3312	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3313	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3314	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3315	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3316	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3317	Ограда с башнями	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3318	Часовня Иоанна Предтечи	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3319	Кельи южные	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3320	Восточный дом причта со служебными постройками	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3321	Восточный дом причта со служебными постройками	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3322	Корпус больничный и Храм прп. Елисаветы	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3323	Корпус настоятельский	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3324	Собор Усекновения главы Иоанна Предтечи	Ансамбль Ивановского монастыря, XVIII-XIX вв., 1860-1879 гг., арх. Быковский М.Д.	Объект культурного наследия федерального значения
3325	Памятник Н.Э.Бауману, 1931 г., ск. Б.Д.Королев, бронза, гранит		Объект культурного наследия регионального значения
3326	Памятник В.Ф.Снегиреву, 1967 г., скульп. Коненков С.Т., Козачок А.Д., арх. Стамо Е.Н., бронза, гранит		Объект культурного наследия регионального значения
3327	Здание парадных конюшен	Ансамбль подмосковной усадьбы "Люблино", конец XVIII - начало XIX вв., арх. Н.В.Еготов  Конный двор:	Объект культурного наследия федерального значения
3328	западный одноэтажный Флигель	Ансамбль подмосковной усадьбы "Люблино", конец XVIII - начало XIX вв., арх. Н.В.Еготов. Конный двор:	Объект культурного наследия федерального значения
3329	северо-западный Жилой Флигель	Ансамбль подмосковной усадьбы "Люблино", конец XVIII - начало XIX вв., арх. Н.В.Еготов. Конный двор:	Объект культурного наследия федерального значения
3330	Церковь Ивана Богослова, 1748 г.	Андреевский монастырь	Объект культурного наследия федерального значения
3331	Церковь Андрея Стратилата (надвратная), 1675 г.	Андреевский монастырь	Объект культурного наследия федерального значения
3332	Парк "Дубки" (18.3 Га)		Объект культурного наследия регионального значения
3333	Дом жилой, 1-я треть XIX в.		Объект культурного наследия федерального значения
3334	Ограда, XVIII в., 1800-е гг.	Усадьба,  XIX в.	Объект культурного наследия федерального значения
3335	Ограда, XVIII в., 1800-е гг.	Усадьба,  XIX в.	Объект культурного наследия федерального значения
3336	Главный дом	Усадьба,  XIX в.	Объект культурного наследия федерального значения
3337	Усадьба,  XIX в.		Объект культурного наследия федерального значения
3338	Усадьба,  XIX в.		Объект культурного наследия федерального значения
3339	Усадьба,  XIX в.		Объект культурного наследия федерального значения
3340	Церковь Флора и Лавра, XVIII в.		Объект культурного наследия федерального значения
3341	Горбатый  мост, XVIII-XIX вв.		Объект культурного наследия федерального значения
3342	подпорная стена XIX в.	Городская усадьба Татарниковых, XIX в., архитектор Э.С.Юдицкий	Объект культурного наследия регионального значения
3343	Ворота, XIX в.	Городская усадьба Татарниковых, XIX в., архитектор Э.С.Юдицкий	Объект культурного наследия регионального значения
3344	Ворота, 1890-е гг.	Городская усадьба Татарниковых, XIX в., архитектор Э.С.Юдицкий	Объект культурного наследия регионального значения
3345	Конюшня, 1894-1895 гг., архитектор Э.С.Юдицкий	Городская усадьба Татарниковых, XIX в., архитектор Э.С.Юдицкий	Объект культурного наследия регионального значения
3346	Главный дом, нач. XIX в., 1894-1895 гг., архитектор Э.С.Юдицкий	Городская усадьба Татарниковых, XIX в., архитектор Э.С.Юдицкий	Объект культурного наследия регионального значения
3347	Жилой дом, первая треть XIX в.		Объект культурного наследия регионального значения
3348	Жилой дом Расторгуевых, 1894 г., архитектор Г.А.Кайзер		Объект культурного наследия регионального значения
3349	Белокаменная ограда	Пятницкое кладбище, XIX в.	Объект культурного наследия федерального значения
3350	Белокаменная ограда	Пятницкое кладбище, XIX в.	Объект культурного наследия федерального значения
3351	Белокаменная ограда	Пятницкое кладбище, XIX в.	Объект культурного наследия федерального значения
3352	Храм свмч. Симеона, епископа Персидского, XIX в.	Пятницкое кладбище, XIX в.	Объект культурного наследия федерального значения
3353	Южный флигель	Пятницкое кладбище, XIX в.	Объект культурного наследия федерального значения
3354	Служебный флигель Александровского института, нач. XIX в.		Объект культурного наследия регионального значения
3355	Боковой флигель, 1807-1818 гг.	Александровский институт, 1809-1811 гг., арх. И.Д.Жилярди	Объект культурного наследия федерального значения
3356	Боковой флигель, середина XIX в.	Александровский институт, 1809-1811 гг., арх. И.Д.Жилярди	Объект культурного наследия федерального значения
3357	Интерьеры церкви и актового зала, начало XIX в.	Александровский институт, 1809-1811 гг., арх. И.Д.Жилярди	Объект культурного наследия федерального значения
3358	Памятник Ф.М.Достоевскому, 1918 г., ск. С.Д.Меркуров, гранит		Объект культурного наследия федерального значения
3359	Мариинская больница (9.9 Га)		Объект культурного наследия регионального значения
3360	Двое ворот со львами и оградой, начало XIX в.	Мариинская больница	Объект культурного наследия федерального значения
3361	Дворовый флигель и корпус служб в ансамбле Мариинской больницы, начало XIX в. Корпус служб		Объект культурного наследия регионального значения
3362	Дворовый флигель и корпус служб в ансамбле Мариинской больницы, начало XIX в. Дворовый флигель		Объект культурного наследия регионального значения
3363	Боковой флигель, середина XIX в.	Мариинская больница	Объект культурного наследия федерального значения
3364	Боковой флигель, 1807-1818 гг.	Мариинская больница	Объект культурного наследия федерального значения
