streetname,areaid,okrug,area
3-й Останкинский переулок,79,СВАО,Останкинский район
6-й Останкинский переулок,79,СВАО,Останкинский район
5-й Останкинский переулок,79,СВАО,Останкинский район
улица Вильгельма Пика,79,СВАО,Останкинский район
1-й Поперечный проезд,79,СВАО,Останкинский район
2-й Поперечный проезд,79,СВАО,Останкинский район
1-й Зачатьевский переулок,20,ЦАО,Район Хамовники
Прасковьина улица,79,СВАО,Останкинский район
Продольный проезд,79,СВАО,Останкинский район
Прудовой проезд,79,СВАО,Останкинский район
Сельскохозяйственная улица,79,СВАО,Останкинский район
Узкий переулок,79,СВАО,Останкинский район
Хованская улица,79,СВАО,Останкинский район
улица Цандера,79,СВАО,Останкинский район
Широкий проезд,79,СВАО,Останкинский район
улица Сергея Эйзенштейна,79,СВАО,Останкинский район
Малое кольцо Московской железной дороги (МКМЖД),79,СВАО,Останкинский район
улица Доватора,20,ЦАО,Район Хамовники
Алтуфьевское шоссе,80,СВАО,Район Отрадное
Берёзовая аллея,80,СВАО,Район Отрадное
улица Бестужевых,80,СВАО,Район Отрадное
Высоковольтный проезд,80,СВАО,Район Отрадное
улица Декабристов,80,СВАО,Район Отрадное
Каргопольская улица,80,СВАО,Район Отрадное
улица Мусоргского,80,СВАО,Район Отрадное
Нововладыкинский проезд,80,СВАО,Район Отрадное
Олонецкая улица,80,СВАО,Район Отрадное
Отрадная улица,80,СВАО,Район Отрадное
улица Еланского,20,ЦАО,Район Хамовники
Отрадный проезд,80,СВАО,Район Отрадное
улица Пестеля,80,СВАО,Район Отрадное
Поморская улица,80,СВАО,Район Отрадное
Проектируемый проезд N 4251,80,СВАО,Район Отрадное
улица Римского-Корсакова,80,СВАО,Район Отрадное
улица Санникова,80,СВАО,Район Отрадное
Северный бульвар,80,СВАО,Район Отрадное
Сельскохозяйственная улица,80,СВАО,Район Отрадное
Сигнальный проезд,80,СВАО,Район Отрадное
улица Хачатуряна,80,СВАО,Район Отрадное
Еропкинский переулок,20,ЦАО,Район Хамовники
Юрловский проезд,80,СВАО,Район Отрадное
проезд Якушкина,80,СВАО,Район Отрадное
Малое кольцо Московской железной дороги (МКМЖД),80,СВАО,Район Отрадное
улица Бажова,81,СВАО,Район Ростокино
Будайская улица,81,СВАО,Район Ростокино
Будайский проезд,81,СВАО,Район Ростокино
улица Докукина,81,СВАО,Район Ростокино
проезд Кадомцева,81,СВАО,Район Ростокино
1-я улица Леонова,81,СВАО,Район Ростокино
1-й проезд Леонова,81,СВАО,Район Ростокино
улица Ефремова,20,ЦАО,Район Хамовники
Малахитовая улица,81,СВАО,Район Ростокино
проспект Мира,81,СВАО,Район Ростокино
улица Вильгельма Пика,81,СВАО,Район Ростокино
Ростокинская улица,81,СВАО,Район Ростокино
Сельскохозяйственная улица,81,СВАО,Район Ростокино
1-й Сельскохозяйственный проезд,81,СВАО,Район Ростокино
2-й Сельскохозяйственный проезд,81,СВАО,Район Ростокино
проезд Серебрякова,81,СВАО,Район Ростокино
улица Сергея Эйзенштейна,81,СВАО,Район Ростокино
Малое кольцо Московской железной дороги (МКМЖД),81,СВАО,Район Ростокино
2-й Зачатьевский переулок,20,ЦАО,Район Хамовники
1-й Ростокинский мост,81,СВАО,Район Ростокино
2-й Ростокинский мост,81,СВАО,Район Ростокино
улица Грекова,83,СВАО,Район Северное Медведково
Заревый проезд,83,СВАО,Район Северное Медведково
улица Молодцова,83,СВАО,Район Северное Медведково
Московская Кольцевая Автодорога,83,СВАО,Район Северное Медведково
Осташковская улица,83,СВАО,Район Северное Медведково
Полярная улица,83,СВАО,Район Северное Медведково
Полярный проезд,83,СВАО,Район Северное Медведково
Северодвинская улица,83,СВАО,Район Северное Медведково
3-й Зачатьевский переулок,20,ЦАО,Район Хамовники
Студёный проезд,83,СВАО,Район Северное Медведково
Сухонская улица,83,СВАО,Район Северное Медведково
улица Тихомирова,83,СВАО,Район Северное Медведково
Чермянская улица,83,СВАО,Район Северное Медведково
Чермянский проезд,83,СВАО,Район Северное Медведково
Широкая улица,83,СВАО,Район Северное Медведково
проезд Шокальского,83,СВАО,Район Северное Медведково
"МКАД, 89-й километр",83,СВАО,Район Северное Медведково
"МКАД, 90-й километр",83,СВАО,Район Северное Медведково
Дмитровское шоссе,84,СВАО,Район Северный
Земледельческий переулок,20,ЦАО,Район Хамовники
Долгопрудная аллея,84,СВАО,Район Северный
Долгопрудненское шоссе,84,СВАО,Район Северный
посёлок Ильинский,84,СВАО,Район Северный
посёлок Лесные Сторожки,84,СВАО,Район Северный
улица Мичурина,84,СВАО,Район Северный
Московская Кольцевая Автодорога,84,СВАО,Район Северный
Новодачная улица,84,СВАО,Район Северный
Северный проезд,84,СВАО,Район Северный
1-я Северная линия,84,СВАО,Район Северный
2-я Северная линия,84,СВАО,Район Северный
Малый Знаменский переулок,20,ЦАО,Район Хамовники
3-я Северная линия,84,СВАО,Район Северный
4-я Северная линия,84,СВАО,Район Северный
5-я Северная линия,84,СВАО,Район Северный
6-я Северная линия,84,СВАО,Район Северный
7-я Северная линия,84,СВАО,Район Северный
8-я Северная линия,84,СВАО,Район Северный
9-я Северная линия,84,СВАО,Район Северный
Челобитьевское шоссе,84,СВАО,Район Северный
"МКАД, 82-й километр",84,СВАО,Район Северный
"МКАД, 83-й километр",84,СВАО,Район Северный
Зубовская площадь,20,ЦАО,Район Хамовники
улица Амундсена,82,СВАО,Район Свиблово
улица Лётчика Бабушкина,82,СВАО,Район Свиблово
Новый Берингов проезд,82,СВАО,Район Свиблово
Берингов проезд,82,СВАО,Район Свиблово
1-й Ботанический проезд,82,СВАО,Район Свиблово
2-й Ботанический проезд,82,СВАО,Район Свиблово
Вересковая улица,82,СВАО,Район Свиблово
улица Декабристов,82,СВАО,Район Свиблово
Енисейская улица,82,СВАО,Район Свиблово
Ивовая улица,82,СВАО,Район Свиблово
Зубовская улица,20,ЦАО,Район Хамовники
Игарский проезд,82,СВАО,Район Свиблово
Кольская улица,82,СВАО,Район Свиблово
Лазоревый проезд,82,СВАО,Район Свиблово
проспект Мира,82,СВАО,Район Свиблово
проезд Нансена,82,СВАО,Район Свиблово
улица Просвещения,82,СВАО,Район Свиблово
проезд Русанова,82,СВАО,Район Свиблово
улица Седова,82,СВАО,Район Свиблово
Сельскохозяйственная улица,82,СВАО,Район Свиблово
проезд Серебрякова,82,СВАО,Район Свиблово
Зубовский бульвар,20,ЦАО,Район Хамовники
Сибиряковская улица,82,СВАО,Район Свиблово
Снежная улица,82,СВАО,Район Свиблово
Тенистый проезд,82,СВАО,Район Свиблово
Уржумская улица,82,СВАО,Район Свиблово
Малое кольцо Московской железной дороги (МКМЖД),82,СВАО,Район Свиблово
2-й Медведковский мост,82,СВАО,Район Свиблово
площадь Маршала Бабаджаняна,92,СЗАО,Район Хорошево-Мневники
улица Демьяна Бедного,92,СЗАО,Район Хорошево-Мневники
улица Берзарина,92,СЗАО,Район Хорошево-Мневники
посёлок Главмосстроя,92,СЗАО,Район Хорошево-Мневники
Зубовский проезд,20,ЦАО,Район Хамовники
проезд Главмосстроя,92,СЗАО,Район Хорошево-Мневники
улица Генерала Глаголева,92,СЗАО,Район Хорошево-Мневники
Живописная улица,92,СЗАО,Район Хорошево-Мневники
проспект Маршала Жукова,92,СЗАО,Район Хорошево-Мневники
Звенигородское шоссе,92,СЗАО,Район Хорошево-Мневники
Карамышевская набережная,92,СЗАО,Район Хорошево-Мневники
Карамышевский проезд,92,СЗАО,Район Хорошево-Мневники
бульвар Генерала Карбышева,92,СЗАО,Район Хорошево-Мневники
улица Нижние Мнёвники,92,СЗАО,Район Хорошево-Мневники
посёлок Нижние Мнёвники,92,СЗАО,Район Хорошево-Мневники
Комсомольский проспект,20,ЦАО,Район Хамовники
улица Мнёвники,92,СЗАО,Район Хорошево-Мневники
улица Народного Ополчения,92,СЗАО,Район Хорошево-Мневники
набережная Новикова-Прибоя,92,СЗАО,Район Хорошево-Мневники
Новохорошевский проезд,92,СЗАО,Район Хорошево-Мневники
улица Паршина,92,СЗАО,Район Хорошево-Мневники
Причальный проезд,92,СЗАО,Район Хорошево-Мневники
улица Саляма Адиля,92,СЗАО,Район Хорошево-Мневники
1-й Силикатный проезд,92,СЗАО,Район Хорошево-Мневники
2-й Силикатный проезд,92,СЗАО,Район Хорошево-Мневники
3-й Силикатный проезд,92,СЗАО,Район Хорошево-Мневники
Кооперативная улица,20,ЦАО,Район Хамовники
Таманская улица,92,СЗАО,Район Хорошево-Мневники
посёлок Терехово,92,СЗАО,Район Хорошево-Мневники
улица Маршала Тухачевского,92,СЗАО,Район Хорошево-Мневники
3-я Хорошёвская улица,92,СЗАО,Район Хорошево-Мневники
1-я линия Хорошёвского Серебряного Бора,92,СЗАО,Район Хорошево-Мневники
2-я линия Хорошёвского Серебряного Бора,92,СЗАО,Район Хорошево-Мневники
3-я линия Хорошёвского Серебряного Бора,92,СЗАО,Район Хорошево-Мневники
4-я линия Хорошёвского Серебряного Бора,92,СЗАО,Район Хорошево-Мневники
Центральный проезд Хорошёвского Серебряного Бора,92,СЗАО,Район Хорошево-Мневники
Шелепихинская набережная,92,СЗАО,Район Хорошево-Мневники
Коробейников переулок,20,ЦАО,Район Хамовники
улица Шеногина,92,СЗАО,Район Хорошево-Мневники
Живописный мост,92,СЗАО,Район Хорошево-Мневники
Малое кольцо Московской железной дороги (МКМЖД),92,СЗАО,Район Хорошево-Мневники
Карамышевский мост,92,СЗАО,Район Хорошево-Мневники
Крылатский мост,92,СЗАО,Район Хорошево-Мневники
Хорошёвский мост,92,СЗАО,Район Хорошево-Мневники
Воротынская улица,87,СЗАО,Район Куркино
Захарьинская улица,87,СЗАО,Район Куркино
Куркинское шоссе,87,СЗАО,Район Куркино
Ландышевая улица,87,СЗАО,Район Куркино
Кремлёвская набережная,20,ЦАО,Район Хамовники
Машкинское шоссе,87,СЗАО,Район Куркино
Московская Кольцевая Автодорога,87,СЗАО,Район Куркино
посёлок Нагорное,87,СЗАО,Район Куркино
Новогорская улица,87,СЗАО,Район Куркино
Новокуркинское шоссе,87,СЗАО,Район Куркино
Путилковское шоссе,87,СЗАО,Район Куркино
Родионовская улица,87,СЗАО,Район Куркино
Соколово-Мещерская улица,87,СЗАО,Район Куркино
улица Соловьиная Роща,87,СЗАО,Район Куркино
Юровская улица,87,СЗАО,Район Куркино
Пречистенская набережная,20,ЦАО,Район Хамовники
"МКАД, 72-й километр",87,СЗАО,Район Куркино
"МКАД, 73-й километр",87,СЗАО,Район Куркино
"МКАД, 74-й километр",87,СЗАО,Район Куркино
Ангелов переулок,88,СЗАО,Район Митино
улица Барышиха,88,СЗАО,Район Митино
улица Генерала Белобородова,88,СЗАО,Район Митино
Волоколамское шоссе,88,СЗАО,Район Митино
Волоцкой переулок,88,СЗАО,Район Митино
Дубравная улица,88,СЗАО,Район Митино
улица Зенитчиков,88,СЗАО,Район Митино
площадь Пречистенские Ворота,20,ЦАО,Район Хамовники
3-й Митинский проезд,88,СЗАО,Район Митино
2-й Митинский переулок,88,СЗАО,Район Митино
1-й Митинский переулок,88,СЗАО,Район Митино
Митинская улица,88,СЗАО,Район Митино
Московская Кольцевая Автодорога,88,СЗАО,Район Митино
Муравская улица,88,СЗАО,Район Митино
1-я Муравская улица,88,СЗАО,Район Митино
2-я Муравская улица,88,СЗАО,Район Митино
посёлок Новобратцевский,88,СЗАО,Район Митино
Новотушинская улица,88,СЗАО,Район Митино
улица Пречистенка,20,ЦАО,Район Хамовники
Новотушинский проезд,88,СЗАО,Район Митино
Парковая улица,88,СЗАО,Район Митино
1-й Пенягинский проезд,88,СЗАО,Район Митино
2-й Пенягинский проезд,88,СЗАО,Район Митино
1-я Пенягинская улица,88,СЗАО,Район Митино
2-я Пенягинская улица,88,СЗАО,Район Митино
Пенягинская улица,88,СЗАО,Район Митино
Путилковское шоссе,88,СЗАО,Район Митино
Пятницкое шоссе,88,СЗАО,Район Митино
1-я улица Рославка,88,СЗАО,Район Митино
Кропоткинский переулок,20,ЦАО,Район Хамовники
2-я улица Рославка,88,СЗАО,Район Митино
улица Рословка,88,СЗАО,Район Митино
Староспасская улица,88,СЗАО,Район Митино
Уваровский переулок,88,СЗАО,Район Митино
Фабричная улица,88,СЗАО,Район Митино
Цариков переулок,88,СЗАО,Район Митино
Центральная улица,88,СЗАО,Район Митино
"МКАД, 68-й километр",88,СЗАО,Район Митино
"МКАД, 69-й километр",88,СЗАО,Район Митино
"МКАД, 70-й километр",88,СЗАО,Район Митино
1-й Обыденский переулок,20,ЦАО,Район Хамовники
Спасский мост,88,СЗАО,Район Митино
Береговая улица,89,СЗАО,Район Покровское-Стрешнево
Вишнёвая улица,89,СЗАО,Район Покровское-Стрешнево
улица Водников,89,СЗАО,Район Покровское-Стрешнево
5-й Войковский проезд,89,СЗАО,Район Покровское-Стрешнево
Волоколамский проезд,89,СЗАО,Район Покровское-Стрешнево
Волоколамское шоссе,89,СЗАО,Район Покровское-Стрешнево
Врачебный проезд,89,СЗАО,Район Покровское-Стрешнево
улица Габричевского,89,СЗАО,Район Покровское-Стрешнево
улица Долгова,89,СЗАО,Район Покровское-Стрешнево
Крымская площадь,20,ЦАО,Район Хамовники
Иваньковское шоссе,89,СЗАО,Район Покровское-Стрешнево
Лётная улица,89,СЗАО,Район Покровское-Стрешнево
улица Мещерякова,89,СЗАО,Район Покровское-Стрешнево
Московская Кольцевая Автодорога,89,СЗАО,Район Покровское-Стрешнево
Большая Набережная улица,89,СЗАО,Район Покровское-Стрешнево
Малая Набережная улица,89,СЗАО,Район Покровское-Стрешнево
Никольский тупик,89,СЗАО,Район Покровское-Стрешнево
Подмосковная улица,89,СЗАО,Район Покровское-Стрешнево
Полесский проезд,89,СЗАО,Район Покровское-Стрешнево
Походный проезд,89,СЗАО,Район Покровское-Стрешнево
Крымский проезд,20,ЦАО,Район Хамовники
улица Свободы,89,СЗАО,Район Покровское-Стрешнево
Сосновая аллея,89,СЗАО,Район Покровское-Стрешнево
проезд Стратонавтов,89,СЗАО,Район Покровское-Стрешнево
Сходненский тупик,89,СЗАО,Район Покровское-Стрешнево
Тушинская улица,89,СЗАО,Район Покровское-Стрешнево
1-й Тушинский проезд,89,СЗАО,Район Покровское-Стрешнево
2-й Тушинский проезд,89,СЗАО,Район Покровское-Стрешнево
3-й Тушинский проезд,89,СЗАО,Район Покровское-Стрешнево
улица Циолковского,89,СЗАО,Район Покровское-Стрешнево
"МКАД, 68-й километр",89,СЗАО,Район Покровское-Стрешнево
Ксеньинский переулок,20,ЦАО,Район Хамовники
Малое кольцо Московской железной дороги (МКМЖД),89,СЗАО,Район Покровское-Стрешнево
Иваньковский мост,89,СЗАО,Район Покровское-Стрешнево
Новосходненский мост,89,СЗАО,Район Покровское-Стрешнево
Спасский мост,89,СЗАО,Район Покровское-Стрешнево
Восточный Тушинский мост,89,СЗАО,Район Покровское-Стрешнево
Западный Тушинский мост,89,СЗАО,Район Покровское-Стрешнево
Алёшкинский проезд,90,СЗАО,Район Северное Тушино
Братцевская улица,90,СЗАО,Район Северное Тушино
улица Вилиса Лациса,90,СЗАО,Район Северное Тушино
улица Героев Панфиловцев,90,СЗАО,Район Северное Тушино
Курсовой переулок,20,ЦАО,Район Хамовники
Московская Кольцевая Автодорога,90,СЗАО,Район Северное Тушино
посёлок Новобутаково,90,СЗАО,Район Северное Тушино
Планерная улица,90,СЗАО,Район Северное Тушино
бульвар Яна Райниса,90,СЗАО,Район Северное Тушино
улица Свободы,90,СЗАО,Район Северное Тушино
улица Саломеи Нерис,90,СЗАО,Район Северное Тушино
Туристская улица,90,СЗАО,Район Северное Тушино
улица Фомичёвой,90,СЗАО,Район Северное Тушино
Химкинский бульвар,90,СЗАО,Район Северное Тушино
"МКАД, 71-й километр",90,СЗАО,Район Северное Тушино
Лебяжий переулок,20,ЦАО,Район Хамовники
"МКАД, 72-й километр",90,СЗАО,Район Северное Тушино
"МКАД, 73-й километр",90,СЗАО,Район Северное Тушино
"МКАД, 74-й километр",90,СЗАО,Район Северное Тушино
Химкинский мост,90,СЗАО,Район Северное Тушино
Авиационная улица,93,СЗАО,Район Щукино
улица Берзарина,93,СЗАО,Район Щукино
улица Маршала Бирюзова,93,СЗАО,Район Щукино
улица Академика Бочвара,93,СЗАО,Район Щукино
улица Маршала Василевского,93,СЗАО,Район Щукино
улица Маршала Вершинина,93,СЗАО,Район Щукино
Малый Лёвшинский переулок,20,ЦАО,Район Хамовники
Большой Волоколамский проезд,93,СЗАО,Район Щукино
1-й Волоколамский проезд,93,СЗАО,Район Щукино
3-й Волоколамский проезд,93,СЗАО,Район Щукино
Волоколамское шоссе,93,СЗАО,Район Щукино
улица Гамалеи,93,СЗАО,Район Щукино
площадь Генерала Жадова,93,СЗАО,Район Щукино
Живописная улица,93,СЗАО,Район Щукино
улица Маршала Конева,93,СЗАО,Район Щукино
1-й Красногорский проезд,93,СЗАО,Район Щукино
2-й Красногорский проезд,93,СЗАО,Район Щукино
улица Ленивка,20,ЦАО,Район Хамовники
3-й Красногорский проезд,93,СЗАО,Район Щукино
4-й Красногорский проезд,93,СЗАО,Район Щукино
площадь Академика Курчатова,93,СЗАО,Район Щукино
улица Академика Курчатова,93,СЗАО,Район Щукино
улица Ирины Левченко,93,СЗАО,Район Щукино
улица Максимова,93,СЗАО,Район Щукино
улица Маршала Малиновского,93,СЗАО,Район Щукино
улица Маршала Мерецкова,93,СЗАО,Район Щукино
улица Народного Ополчения,93,СЗАО,Район Щукино
улица Маршала Новикова,93,СЗАО,Район Щукино
Лопухинский переулок,20,ЦАО,Район Хамовники
Новощукинская улица,93,СЗАО,Район Щукино
Пехотная улица,93,СЗАО,Район Щукино
1-й Пехотный переулок,93,СЗАО,Район Щукино
2-й Пехотный переулок,93,СЗАО,Район Щукино
улица Расплетина,93,СЗАО,Район Щукино
улица Рогова,93,СЗАО,Район Щукино
улица Маршала Рыбалко,93,СЗАО,Район Щукино
улица Маршала Соколовского,93,СЗАО,Район Щукино
Сосновая улица,93,СЗАО,Район Щукино
Тепличный переулок,93,СЗАО,Район Щукино
Лужнецкая набережная,20,ЦАО,Район Хамовники
Щукинская улица,93,СЗАО,Район Щукино
3-й Щукинский проезд,93,СЗАО,Район Щукино
Малое кольцо Московской железной дороги (МКМЖД),93,СЗАО,Район Щукино
Строгинский мост,93,СЗАО,Район Щукино
аллея Дорога Жизни,91,СЗАО,Район Строгино
улица Исаковского,91,СЗАО,Район Строгино
улица Маршала Катукова,91,СЗАО,Район Строгино
Крылатская улица,91,СЗАО,Район Строгино
улица Кулакова,91,СЗАО,Район Строгино
Лыковский проезд,91,СЗАО,Район Строгино
Лужнецкий проезд,20,ЦАО,Район Хамовники
1-й Лыковский проезд,91,СЗАО,Район Строгино
1-я Лыковская улица,91,СЗАО,Район Строгино
2-я Лыковская улица,91,СЗАО,Район Строгино
3-я Лыковская улица,91,СЗАО,Район Строгино
Московская Кольцевая Автодорога,91,СЗАО,Район Строгино
Мякининский проезд,91,СЗАО,Район Строгино
Неманский проезд,91,СЗАО,Район Строгино
Одинцовская улица,91,СЗАО,Район Строгино
посёлок Сосновка,91,СЗАО,Район Строгино
Строгинский бульвар,91,СЗАО,Район Строгино
Глазовский переулок,20,ЦАО,Район Хамовники
Строгинское шоссе,91,СЗАО,Район Строгино
Таллинская улица,91,СЗАО,Район Строгино
улица Твардовского,91,СЗАО,Район Строгино
Туркменский проезд,91,СЗАО,Район Строгино
"МКАД, 61-й километр",91,СЗАО,Район Строгино
"МКАД, 62-й километр",91,СЗАО,Район Строгино
"МКАД, 63-й километр",91,СЗАО,Район Строгино
"МКАД, 64-й километр",91,СЗАО,Район Строгино
"МКАД, 65-й километр",91,СЗАО,Район Строгино
"МКАД, 66-й километр",91,СЗАО,Район Строгино
Мансуровский переулок,20,ЦАО,Район Хамовники
"МКАД, 67-й километр",91,СЗАО,Район Строгино
Проезд N 607,91,СЗАО,Район Строгино
Строгинский мост,91,СЗАО,Район Строгино
Северо-Западный тоннель,91,СЗАО,Район Строгино
Аэродромная улица,94,СЗАО,Район Южное Тушино
проезд Донелайтиса,94,СЗАО,Район Южное Тушино
проезд Досфлота,94,СЗАО,Район Южное Тушино
Лодочная улица,94,СЗАО,Район Южное Тушино
Московская Кольцевая Автодорога,94,СЗАО,Район Южное Тушино
Нелидовская улица,94,СЗАО,Район Южное Тушино
Большой Могильцевский переулок,20,ЦАО,Район Хамовники
Новопоселковая улица,94,СЗАО,Район Южное Тушино
Окружная улица,94,СЗАО,Район Южное Тушино
Парусный проезд,94,СЗАО,Район Южное Тушино
улица Василия Петушкова,94,СЗАО,Район Южное Тушино
Походный проезд,94,СЗАО,Район Южное Тушино
Проектируемый проезд N 4025,94,СЗАО,Район Южное Тушино
бульвар Яна Райниса,94,СЗАО,Район Южное Тушино
Светлогорский проезд,94,СЗАО,Район Южное Тушино
улица Свободы,94,СЗАО,Район Южное Тушино
улица Саломеи Нерис,94,СЗАО,Район Южное Тушино
Малый Могильцевский переулок,20,ЦАО,Район Хамовники
Строительный проезд,94,СЗАО,Район Южное Тушино
Сходненская улица,94,СЗАО,Район Южное Тушино
Сходненский проезд,94,СЗАО,Район Южное Тушино
Сходненский тупик,94,СЗАО,Район Южное Тушино
Трикотажный проезд,94,СЗАО,Район Южное Тушино
Туристская улица,94,СЗАО,Район Южное Тушино
улица Фабрициуса,94,СЗАО,Район Южное Тушино
Фабричный проезд,94,СЗАО,Район Южное Тушино
Химкинский бульвар,94,СЗАО,Район Южное Тушино
Цветочный проезд,94,СЗАО,Район Южное Тушино
Молочный переулок,20,ЦАО,Район Хамовники
Штурвальная улица,94,СЗАО,Район Южное Тушино
"МКАД, 68-й километр",94,СЗАО,Район Южное Тушино
"МКАД, 69-й километр",94,СЗАО,Район Южное Тушино
"МКАД, 70-й километр",94,СЗАО,Район Южное Тушино
Новосходненский мост,94,СЗАО,Район Южное Тушино
Спасский мост,94,СЗАО,Район Южное Тушино
Восточный Тушинский мост,94,СЗАО,Район Южное Тушино
Западный Тушинский мост,94,СЗАО,Район Южное Тушино
Бирюлёвская улица,95,ЮАО,Район Бирюлево Восточное
Бутовская улица,95,ЮАО,Район Бирюлево Восточное
Большой Афанасьевский переулок,20,ЦАО,Район Хамовники
Воздушная улица,95,ЮАО,Район Бирюлево Восточное
Донбасская улица,95,ЮАО,Район Бирюлево Восточное
Дуговая улица,95,ЮАО,Район Бирюлево Восточное
посёлок Загорье,95,ЮАО,Район Бирюлево Восточное
Загорьевская улица,95,ЮАО,Район Бирюлево Восточное
Загорьевский проезд,95,ЮАО,Район Бирюлево Восточное
Касимовская улица,95,ЮАО,Район Бирюлево Восточное
проезд Кошкина,95,ЮАО,Район Бирюлево Восточное
Лебедянская улица,95,ЮАО,Район Бирюлево Восточное
Липецкая улица,95,ЮАО,Район Бирюлево Восточное
1-й Неопалимовский переулок,20,ЦАО,Район Хамовники
Лисичанская улица,95,ЮАО,Район Бирюлево Восточное
Луганская улица,95,ЮАО,Район Бирюлево Восточное
Михневская улица,95,ЮАО,Район Бирюлево Восточное
Михневский проезд,95,ЮАО,Район Бирюлево Восточное
Московская Кольцевая Автодорога,95,ЮАО,Район Бирюлево Восточное
Новоцарицынское шоссе,95,ЮАО,Район Бирюлево Восточное
Педагогическая улица,95,ЮАО,Район Бирюлево Восточное
Прохладная улица,95,ЮАО,Район Бирюлево Восточное
1-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
3-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
2-й Неопалимовский переулок,20,ЦАО,Район Хамовники
5-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
6-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
8-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
9-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
10-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
11-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
Ремесленная улица,95,ЮАО,Район Бирюлево Восточное
Ряжская улица,95,ЮАО,Район Бирюлево Восточное
1-я Стекольная улица,95,ЮАО,Район Бирюлево Восточное
улица Тюрина,95,ЮАО,Район Бирюлево Восточное
3-й Неопалимовский переулок,20,ЦАО,Район Хамовники
Элеваторная улица,95,ЮАО,Район Бирюлево Восточное
Элеваторный переулок,95,ЮАО,Район Бирюлево Восточное
Ягодная улица,95,ЮАО,Район Бирюлево Восточное
"МКАД, 25-й километр",95,ЮАО,Район Бирюлево Восточное
"МКАД, 26-й километр",95,ЮАО,Район Бирюлево Восточное
"МКАД, 27-й километр",95,ЮАО,Район Бирюлево Восточное
"МКАД, 28-й километр",95,ЮАО,Район Бирюлево Восточное
2-я Радиальная улица,95,ЮАО,Район Бирюлево Восточное
Булатниковская улица,96,ЮАО,Район Бирюлево Западное
Булатниковский проезд,96,ЮАО,Район Бирюлево Западное
Несвижский переулок,20,ЦАО,Район Хамовники
Востряковский проезд,96,ЮАО,Район Бирюлево Западное
улица Подольских Курсантов,96,ЮАО,Район Бирюлево Западное
Медынская улица,96,ЮАО,Район Бирюлево Западное
Мелитопольская улица,96,ЮАО,Район Бирюлево Западное
Московская Кольцевая Автодорога,96,ЮАО,Район Бирюлево Западное
Никопольская улица,96,ЮАО,Район Бирюлево Западное
3-я Никопольская улица,96,ЮАО,Район Бирюлево Западное
Ступинский проезд,96,ЮАО,Район Бирюлево Западное
Ступинская улица,96,ЮАО,Район Бирюлево Западное
Харьковская улица,96,ЮАО,Район Бирюлево Западное
Новодевичий проезд,20,ЦАО,Район Хамовники
Харьковский проезд,96,ЮАО,Район Бирюлево Западное
"МКАД, 29-й километр",96,ЮАО,Район Бирюлево Западное
"МКАД, 30-й километр",96,ЮАО,Район Бирюлево Западное
"МКАД, 31-й километр",96,ЮАО,Район Бирюлево Западное
"МКАД, 32-й километр",96,ЮАО,Район Бирюлево Западное
Алма-Атинская улица,97,ЮАО,Район Братеево
улица Борисовские Пруды,97,ЮАО,Район Братеево
Братеевская улица,97,ЮАО,Район Братеево
Ключевая улица,97,ЮАО,Район Братеево
Московская Кольцевая Автодорога,97,ЮАО,Район Братеево
площадь Новодевичьего Монастыря,20,ЦАО,Район Хамовники
Наташинская улица,97,ЮАО,Район Братеево
Паромная улица,97,ЮАО,Район Братеево
Хордовый проезд,97,ЮАО,Район Братеево
"МКАД, 18-й километр",97,ЮАО,Район Братеево
Проектируемый проезд N 5396,97,ЮАО,Район Братеево
Бесединский мост,97,ЮАО,Район Братеево
Бакинская улица,107,ЮАО,Район Царицыно
улица Бехтерева,107,ЮАО,Район Царицыно
Весёлая улица,107,ЮАО,Район Царицыно
Деловая улица,107,ЮАО,Район Царицыно
Новодевичья набережная,20,ЦАО,Район Хамовники
Дольская улица,107,ЮАО,Район Царицыно
Ереванская улица,107,ЮАО,Район Царицыно
Кавказский бульвар,107,ЮАО,Район Царицыно
Кантемировская улица,107,ЮАО,Район Царицыно
Каспийская улица,107,ЮАО,Район Царицыно
Коллективный проезд,107,ЮАО,Район Царицыно
1-й Котляковский переулок,107,ЮАО,Район Царицыно
Лисичанская улица,107,ЮАО,Район Царицыно
Луганская улица,107,ЮАО,Район Царицыно
Макеевская улица,107,ЮАО,Район Царицыно
Новоконюшенный переулок,20,ЦАО,Район Хамовники
улица Медиков,107,ЮАО,Район Царицыно
Новоцарицынское шоссе,107,ЮАО,Район Царицыно
Пролетарский проспект,107,ЮАО,Район Царицыно
Промышленная улица,107,ЮАО,Район Царицыно
Севанская улица,107,ЮАО,Район Царицыно
Солнечная улица,107,ЮАО,Район Царицыно
Спортивная улица,107,ЮАО,Район Царицыно
Тарный проезд,107,ЮАО,Район Царицыно
Тимуровская улица,107,ЮАО,Район Царицыно
Товарищеская улица,107,ЮАО,Район Царицыно
